good 	 Silverton great place headquarter tour Las Vegas area sight . close strip excellent interstate access , facility carry Bass Pro Shop theme resort . room tastefully decorate , quite comfortable , plush . little noise room fresh . us nonsmokers nice retreat casino . casino lot fun several restaurant , beautiful saltwater aquarium entrance . stay three time return ambiance good value Vegas . 
 great aesthetic 	 casino 15 minute strip . the theme take place original . different theme throughout casino comfortable place . music choice fun louder somewhat drown sound slot machine . seat always comfy , restaurant good friendly staff . player 's club decent - offering free night 's stay next time visit , big benefit . high speed internet $ 10 - dont pay . take laptop Starbucks free wi - fi . room basic , big perk , wall pretty thin , bed great , enough pillow . first place lose $ 40 playing crap : ( 
 Sep 18 2007 	 Average Hotel 	 hotel great location first last night trip Vegas since fairly close airport car rental facility . receive two offer Silverton Hotel Casino $ 29.99 room $ 39.99 room one night . reserve room phone month ahead time Laboe Day trip . Vegas eight day , one night Silverton . sister , husband kid travel husband , parent , give one room stay across hall room we d. , Aug. 29th . stay property several time past always enjoy stay . two bed room fairly firm , sister two much soft bed . room non - smoking not smell like smoke walk hallway . probably due room ground level hall away casino . probably will not problem 're high floor smoke issue . room spacious , well bathroom . refurbish couple year ago , fixture decoration update . , show everyone aquarium pretty neat spend little time casino use coupon American Casino Guide . Bass Pro Shop , connect , close since arrive late , not go trip . several time fairly large store everything would find Bass Pro 's home ( Missouri ) . souveni Bass Pro t - shirt find 20 % one item discount coupon free 's Magazine around town . may one room upon arrival , make sure check heading store . lot coupon magazine well . my sister family leave early Grand Canyon , stay Vegas since GC times . grab breakfast IHOP , fairly close . eat lunch Silverton buffet , much well ( expensive ) buffet past . buy - one , get - one free coupon American Casino Guide , price reasonable . check - in hotel easy . give front desk $ 100 cash deposit instead put hold credit card incidental since extend trip . pool look nice , workout room , not time use either . definitely stay property . 
 Aug 25 2007 	 well okay one night 	 stay husband hotel durre way back Utah . nice hotel , Staff ok . smell well hotel . gym small . like soap shampoo set toilet . food okay . good price hotel city dun problem staff service compare country think bit far expect 
 Aug 24 2007 	 Vegas ' Hidden Jewel 	 originally book week 2 room Planet Hollywood arrive price double , stay 2 night move Silverton rest stay . Silverton stay future trip Vegas . room nice $ 100 could upgrade fabulous suite still beat Planet Hollywood 's price $ 100 . room . staff friendly , restaurant great , suite die . also poolside concert desperado ( Tribute Eagles ) . aquarium mermaid swim nice addition lobby . drawback 5 mile south strip shuttle , either cab bus , hassle . love Silverton ! 
 Aug 18 2007 	 Bad Bad Service 	 book room read review . disappointed leave 1 day . recap 24 hour : - check wait 3 hour room ready.- Hotel employee rude act like bother her- check dirty room- go back explain , employee act like fault.- finally get clean room.- not realize room actual motel room new furnishing.- ate price buffet - Food cold- Talked Manager Buffet tell normal- go casino gamble - try find $ 5 BJ table.- Casino 1 table dealer tell & quot ; loosen play $ 15 table & quot ; wife offend check go across street near casino . call Silverton 4 time explain happen apparently , care . do stay ! 
 Jul 27 2007 	 Silverton Casino 	 beat path , Silverton Casino Las Vegas 10 year , recently make trip . locate Interstate 15 , 7 - 10 mile Strip , . car , TOTALLY worth trip ! game good , experienced ... get long play time money . like penny machine , get long play time penny , well- know that s good news . my family especially enjoy fish tank . thousand thousand gallon , tropical fish , shark ... , nice course , good part free.they also store call Great Oudoors , believe IMPRESSIVE . kind taxidermie ( word ) Animials , Moose , Lion , Giraffee , duck , fish ... get idea . amazing . get anything love outdoors , hunting , fishing , camping , boat , swimming ... good stuff . store enourmous even kind shoot range ... electronic squirrl fall hit , sound effect , whole work . fun ! do not miss Buffet , beautiful- look see huge tree slice use decoration ... really pretty . food wonderful buffet 's go , first class , totally . staff excellent . Son want hamburger something eye - sight , inquire something could get Chef go one resturaunt get one make especially ! ( tip $ 6 buck , hey , coulda say ) have not explore whole place , big , atmosphere Silverton , nice . extremely clean like much . parent come Las Vegas August visit , take there . cheer ! MelissaLynn 
 Jul 17 2007 	 F- 's nice ! stay ! 	 dirty room , dirty sheet , bad food , terrible service , be easy get strip . pretty much sum 3 day stay . complain dirty sheet room service come three hour later change , leave dirty comforter blood stain . fiasco want play crap late one table dealer not evn know play game . want play real crap table try get cab MGM , wait hour finally get one . cost $ 30 get strip teh Silverton tell would $ 10 , big deal though least get play real casino .. never stay ! 
 Jul 6 2007 	 Silverton terrific value 	 stay Silverton several time , opinion base collective experience . fan . read negative comment post other offer frequent LV visitor , good bad experience place stay . 's nature extremely high guest - traffic city . Silverton room spacious , well appoint , feature several small touch really appreciate , cd player , dimmer lamp , curve shower rod , nice cushion top mattress . negative offer A / c build - in wall unit , rather central - type . although adjustable temperature control , digital 2 setting fan . fan sort loud annoying . say , usually sleep well . mini - bar room . aquarium well ever see life . be awesome . nearby mermaid lounge tank jellyfish behind bar . Bass Pro Shops outdoorsman ( lady ) . Sundance Cafe good coffee shop . , service spotty vegas . usually good . actually like sit large granite counter alone . note breakfast fan : opt traditional hash brown potatoe choice . like & quot ; Joe 's Shuffle & quot ; scramble egg spinach , onion turkey sausage ( plus potato toast ) $ 5.25 . try Buffet Steak House . Shady Grove excellent Happy Hour special ( 4 - 7 M - F ) , like $ 2 Grey Goose shot , new mexican restaurant $ 1 Patron shot $ 2 appetizer . staff always friendly . Good Bloody Mary 's playing Sunday . pool large ( unheated ) usually quiet kid scream splash . use hot tub hour . concert pool area summer . relax water see band . please note 's drive strip ( approx . 5 mile ) want stay off - strip want really good value , . join club use card . get extremely low rate result mean heavy player . 
 Jun 29 2007 	 terrible terrible experience ! 	 first book suite not leave still charge us suite . town friend B - day play Baccarat 5 6 people play . dealer not like language use security come . next thing know kid across not even say anything ground beat security . make sick ! check go another hotel night . beware casino , room nice security beat sit baccarat table . 
 Jun 21 2007 	 bump Blowfish 	 book accommodation 3 4 month advance , although be regular visitor Vegas , little special partner 40th birthday treat book suite . arrival check - in , desk say we king non - smoking room . say incorrect give confirmation # advise ( without apology ) Hootie Blowfish play weekend decision make executive level ' bump ' exist booking suit order accommodate band instead . while understand would want give headliner good room , excuse contact we - even host say unaware decision make . make sense stay gamble place treat guest way point principal leave . hotel also start construction plan substantial expansion - check see effect planning stay . thank Golden Nugget lose respect good stay downtown year break . anyone book hotel double check reservation , whatever room type , be nothing bad make long journey disappoint arrival deal staff could not give ' Hootie Blowfish ' whether ' ve let . 
 Jun 19 2007 	 Good Visit Great Rates 	 husband spend 4 night Silverton September 2006 . hard find good rate Saturday night Vegas unless gamble ( LOT ) Silverton give we $ 89 Cheaptickets.com think really good price . room clean well keep bathroom large . also like aquarium . casino little dark pool large plain hardly anyone ever . , would stay again . I think video poker rate good local LVA . 
 May 3 2007 	 buffet 	 5 - 2 - 07 visit buffet wife 2 friend . seated take server least 10 minute come table get drink order we . bring drink back never clear dirty dish table . finally get asst . manager tell problem , get we drink refill asst . manager never see server . manage buffet las vegas strip server treat gueststhis way would work . 
 Apr 6 2007 	 much like place 	 wife stay heart strip many time time try Silverton see would like & quot ; strip feel & quot ; . defintely . casino room pleaseantly decorate . room seem little large typical mid level hotel room . good quality furnishing comfortable bed . the staff welcome friendly . food coffee shop buffet certainly good enough ( less expensive strip ) . hotel next other , apparently get walk business casino eat place super crowd . poker room good place low limit cash game twice day tournament . place good pay video poker machine . casino personal attitude small strip way go . pool area hot tub , large deck chair , table umbrella cabanas . car want hit strip and/or shopping place . car rental town much low rate airport strip office . summary relax place stay away heart strip become , crowded . 
 Apr 4 2007 	 quiet comfortable 	 First be look glitz glamour strip might want look somewhere else . simply put , property old quiet comfortable . one thing stand everyone associate Silverton friendly helpful . ' m sure compete modern establishment . stay trip see Mariners play Cubs spring training . split one one way . if plan go anywhere three choice , rent car ( ) take taxi ( 10 15 dollar strip ) take bus stop right outside minimum charge . parking vehicle valet free parking lot amount healthy walk share Bass Pro Shop next door . check breeze take 5 minute . check via express method wish leave major credit card file . bill update television room know exactly bill leave . our room clean ready upon arrival , two hour early . old one bedside lamp take special twist get work otherwise lot hot water bed comfortable , much like Marriott 's bed . one thing bother we appear house keep staff rather indifferent . forgot change water glass twice reline use ice bucket , maybe alittle picky pay return clean room . stay never hear another guest noise hallway . place apparently build time hotel actually use soundproof . we eat cafe , buffet Mexican restaurant . cafe large american style breakfast lunch menu find value taste excellent . try buffet good value also . buffet offer 5 different cuisine prime rib , do perfectly . try shrimp , excellent . dessert mediocre . mexican restaurant also good , service friendly food table slow . as Casino , hard core gambler 's place . still 5 dollar table two deck shoe machine date . not see anyone win big machine . seem lot holler crap table . part patron middle aged local mix . unlike downtown sobriety not seem problem . a tip first time stay . rent car drive strip park 15 minute know go go . stay freeway 6 9 morning anytime 4 8 afternoon . absolute gridlock . can not get Las Vegas Blvd . 11 morning not bother , unless not mind travel two mile one hour . instead drive Silverton driveway go town Dean Martin drive . road skirts strip opposite side freeway go directly town . drive town park Fashion Mall parking lot front Macy 's entrance . be one block walk strip right front Wynn 's Resort , not miss visit Wynn 's . bus stop also directly front mall one Vegas ' good keep travel secret . Hope review help . going spend anymore three day Vegas would probably stay problem . go Vegas glitz glamour , worry peace quiet , would probably stay strip . 
 Mar 30 2007 	 major disappointment hotel ! ! 	 right away check employee registration desk attitude act like favor check we . ask shuttle strip , tell long shuttle service would use taxi . reason decide hotel shuttle since family would car . get attitude ! housekeeping service leave lot desire also . not replace shampoo , conditioner soap morning cleaning . track hotel maid clean another room . short change we bath towel , 2 bath towel 3 people ? not vacuum clean around sink area bathroom . wall room paper thin . get listen neighbor one side we tv side we . lastly check bill wrong . charge $ 129.99 night weekend quote $ 89.99 . await registration desk supervisor outdone employee get really big attitude majorly rude . basically call liar . end honor price get major attitude she . I never stay ! could give room away still would not take ! stay away ! 
 Mar 26 2007 	 Amazing Stay ! 	 husband & amp ; find need room Las Vegas March Madness Weekend could find anything available ! call Silverton get we GREAT price - least $ 50 less equivalent casino . room nice bed comfortable . clientele not crazy , party Las Vegas Strip crowd , husband find refreshing ! eat Twin Creeks , steakhouse hotel HIGHLY recommend . feel like mile hustle bustle casino . mermaid show aquarium great Bass Pro Shops property definite plus we ! season name buffet food fantastic also . find something wrong would recommend put bathroom pool area . one , could not find . doubt husband & amp ; stay anywhere else Silverton - GREAT ! 
 Mar 6 2007 	 gold silverton 	 spend 4 night silverton feb 23- feb 28 . service great time check . tell front desk would need small refrigerator medication , woman immediately say would take care . ( arrive room 5 minute ) bed great ..... pillowtop matresse feather pillow ! sooo comfortable ! ! ! ! ! ( room attractive . ) toiletry bath body work . throughout stay , hotel employee pleasant . definitely return 
 Dec 2 2006 	 Average - nothing 	 stay Thanksgiving holiday . rate good ( $ 89 ) , however , overall stay make lasting impression . basically ordinary . will not come back . 
 Nov 25 2006 	 Affordable Hotel 	 initially impress hotel 's wilderness lodge decor $ 40 / night . affordable welcoming ! ample parking even back parking lot close hotel 's elevator not drag luggage casino ! every staff member cross path greet we acknowledge presence refreshing . room clean stock Bath & amp ; body work toiletry ! bed soft comfortable plenty pillow . unfortunately , issue loudness next door neighbor ' tv first night Silverton . either wall thin neighbor control night long , hard time tune tv noise even tv ! ask front desk follow morning could change room clerk accomodate give we different room without hassle . their new Seasons buffet excellent ! ! ! could new favorite Vegas buffet ! wide variety food available everything husband try top notch ! plus enjoy meal , flat screen tv display change seasonal picture remind we beautiful country live . even sit awhile dessert enjoy watching & quot ; season & quot ; change flat screen . we also try cafe call Sundance dinner disappoint . delicious food reasonable price attentive wait staff . other thin wall , thing could change make hotel excellent . comforter bed questionable stain toilet paper one - ply . also , advertise in - room safe . however , credit card charge use . opinion , seem little unfair charge guest use in - room safe . anyways , actually little luck slot end enjoy three night stay ! would definitely come back next Vegas trip give hotel / casino another try ! 
 Nov 18 2006 	 Excellent Value 	 stay Silverton 11/13 - 11/16 . rate $ 50 per night . check - in take 4 minute . room ground floor , not smell smokey . room quiet , clean date . tv , AC , blow dryer , etc . work great . bed little firm side , good we . provide plenty towel , although might want throw little fabric softener awhile . eat breakfast twice cafe okay . overall , great value , easy get , easy access strip ( car ) . party hotel , need come back busy day / night strip . concern would exception couple bartender casino bar young clerk check - out , staff not friendly . not rude necessarily , act like go motion not really care . stay great . 
 Nov 12 2006 	 nothing like read 	 pick Silverton read . however , must say not find stay enjoyable . take 30 minute check , room screw not nice . 's redesign motel probably 10 year old . could stay strip price expedia would recoomend anyone read . 
 Oct 25 2006 	 strip location 	 ' ve Las Vegas 20 time time & quot ; base & quot ; hotel part fhe stay always try find new try . time Silverton . 5 milese south strip . always car , cheap cab , get around problem . try hotel , Bass Pro Shop attach . husband not gamble much , sportsman thought would enjoy shop . absolutely fabulous . to top thing , hotel way expectation . clean , newly remodel . casino , mega place , staff great . stay strip , find great way win money go far . Silverton shuttle go strip car . return hotel . 2 night move & quot ; base & quot ; hotel Sam 's Town . far large casino Silverton , still great staff . hotel remodel variety thing bowling alley , movie theatre , several dining choice bar . crowded strip important , try one hotel . b pleasantly surprised . 
 Oct 12 2006 	 Great Beds 	 book room Vegas rate $ 44.00 Thursday night . choose hotel base TripAdvisor review . look one night 's good sleep outside Vegas family , boy , sleep great . ! bed comfortable room oversize . the hotel easy find airport use mapqu direction although time ( September 2006 ) construction go area , watch sign traffic . be little tricky . the parking lot little confusing go one - way spot find front desk challenge . know 's casino travel maze get anything , be still pain -- especially two little kid tow . come gamble comment anything like except say hate drag smokey casino . know book room . would stay long term basis reason alone , one night 7 hour flight , spacious room comfy bed worth quick entrance exit . the hotel attach Bass Pro Shop area store casino huge fish tank periodically feature live & quot ; mermaid & quot ; highlight 4 year old little girl 's stay . get see & quot ; Ariel & quot ; tastefully clothe mermaid suit flesh color suit underneath -- not really see think see . plus we prude . swam stingray , small shark fish even come glass interact daughter . our room ready arrive around 1 pm local time . oversized two queen bed heavenly pillow - top matresse comfortable pillow . 4th floor suppose non - smoking , always faint odor smoke , possibly rise casino floor . room smell smoke in . the room clean , spacious cool 90 degree heat . air conditioner work great , bit loud . mind need use white - noise machine . like quiet , loud . drape darken room well go bed early come different time zone . our room overlook pool light beautifully dark , swim . say bed fabulous ? well $ 40 hotel ' ve ever stay . come think , not think ever stay $ 40 hotel ! book Vegas.com get well price get regular website . room price limited book early can . the bathroom average include hairdryer , bonus Bath & amp ; body work toiletry . nice touch . cheap hotel soap here . I would definitely stay come town , lot room child move around , table dinner ( two chair ) Bass Pro Shops next door . believe RV Park several restaurant visit . short drive away bottom Las Vegas Blvd . several place eat grocery store . also purchase double cd contain 16 - 18 song room $ 12.99 seem reasonable . nice variety music Aretha Franklin Sonny & amp ; Cher , Captain & amp ; Tenille Bonnie Tyler . seem overprice many hotel item . speak , $ 6 bottle evian mini bar available , not even open up . I would stay long term simply faint smell smoke ( asthmatic ) child walk casino get anywhere , comfortable place stay long flight , pass adult . 
 Oct 7 2006 	 Nice Stay 	 stay rm4032 9/13/06.quiet , comfortable clean room . shuttle strip . located safe area good price value . 
 Aug 23 2006 	 strip cheap rate without comprise quality 	 husband fairly young crowd hotel ( 28 31 ) . majority crowd seem little old mature look gamble without action chaos strip . draw we casino cheap rate . husband come Vegas often little tired pay high cost room weekend decide try hotel strip . look cheap rate nice joint ( honestly , time spend room sleep shower hit casino ) take short drive main strip not much iconvenience , would reccommend hotel . room comparable main strip hotel , amenity etc . etc . etc . have money pocket gamble , rather pay big name casino ! 
 Jul 23 2006 	 Return visit ever well first ! 	 second trip Silverton Hotel & amp ; Casino even well first . arrive give we early check - in ( 11:00am ) without question . room bottom floor impeccable , bathroom amenity Bio Bath & amp ; body product , bed incredibly comfortable , room quiet ( never hear anyone either side ) , housekeeping staff keep clean comfortable . eat new Seasons Buffet ( love gelatto & amp ; chocolate fountain ) , Twin Peaks ( highly recommend New York steak ) , Sundance Grill ( always good anytime day ) . great service restaurant , front desk staff , bell valet . everyone really seem enjoy work Silverton , say alot ! enjoy visit Bass Pro Shops . boat department helpful pushy salesperson , really appreciate . , staff friendly helpful . overall , great stay continue return Silverton future . : 
 Jul 22 2006 	 Awesome ! ! ! 	 family arrive new subdivison ( new house ) . discover A / c working would take 2 day fix . inside house temperature hold 100 degree would find lodge . choose Silverton close home tired in - depth hotel search . figure Strip , hotel hole - in - the - wall . dead WRONG . walk IMMEDIATELY impress ! salt water aquarium amazing , Pro Bass Store impressive . give spacious suite clean . Twin Creeks Steakhouse tout new good restaurant ; dining option well . be live entertainment well - know musician . fitness room everything want serious work . service every employee contact simply outstanding ! also tell place take pride appearance ; also 2 Orange County custom make chopper main lobby ( aquarium really add decor ) check Thursday price reasonable , go Friday weekend . still , well worth consider overall atmosphere lodge / casino offer . we HIGHLY RECOMMEND Silverton stay . 
 Jul 5 2006 	 stay Silverton 	 visit Silverton many time , never stay guest . first experience guest hotel . room spacious nicely decorate . bed probably comfortable bed husband ever sleep . always love casino casual atmosphere great staff . employee always seem friendly , accommodate even remember name casino . restaurant superb ..... Twin Creeks wonderful ambiance , excellent food service reasonably price ! eat 2 night row thing good ! ! ! look forward new mexican restaurant come ! great experience stay Silverton thing think improve upon pool area . t.v . 's gazebo 's bar either pool area pool . 
 Jun 26 2006 	 flaw 	 return 6 day stay silverton . upon arrival , front desk clerk act like favor stay hotel . room clean , face brick wall , ( partial view pool ) . 3 we staying room , ask towel .... nothing appear next day find maid give extra . big complaint housekeeping service ! come knock door 8 , , not seem keep need . always ask shampoo , towel . twice room make chose leave room noon . take call housekeeping 10 pm toilet paper . room service quick hot . make kill casino week , slot tightend saturday . valet good , guy double bellman , take time bag take car . , like small atmosphere hotel , make feel safe . one thing , think child allow casino . see many kid sit slot mother play ! ! ! would stay night & quot ; house & quot ; . 
 Jun 5 2006 	 Great Hotel Great Price Great experience 	 husband come Vegas time stay Circus Circus . happy hotel , since crawl child parent everywhere , decide find somewhere quieter time around , strip . husband leery try new hotel , motto & quot ; change 's clean ? & quot ; stay week 22nd pleasant experience . check ask quiet , nonsmoke room mountain view . exactly give ( room mountain view , be look hotel ) . room completely new , pillowtop mattress ( like home ! ! ! ) , leather couch , huge desk two chair , two long wall mirror , minibar could stuff couple item later , free safe ( locked credit card ) . maid staff good care room first time life feel generous enough tip maid . eat new buffet grill downstairs , place treat well . swam pool think people pool give time ten . all , hotel good people want get away hustle strip . rental car must hotel , since three mile away strip ( five minute drive i-15 Mandalay Bay ) . not take shuttle , car . hotel strip free valet parking pick one park . use valet night Silverton day strip , average $ 3.00 day service ( usually give 2 dollar valet strip 1 dollar valet strip - the guy strip tell night take home $ 300 night tip , double weekend ) .As Silverton , demand non - smoking room , need get early afternoon . not 3,000 room , 300 . two hundred room set aside non - smoking . feel could change room non - smoking , probably complaint smell room exist ( probably one time completely smoke ) . room not smell , always bring citrus spray anyway lack bathroom fan . one Vegas fan another , not waste time Circus , not even compare Silverton . 
 May 21 2006 	 Nice Relaxing Experience ! 	 ok , Vegas virgin , go Vegas literary conference , week gambling , drinking , debauchery . friend want stay strip choose Silverton . pkeasant experience ! staff extremely friendly . room quite comfortable ( actually sleep first night something rarely ) since bed pillowtop high quality . restaurant buffet serve good food wait staff , , quite helpful . yes , drive strip rent car US rental excellent price upgrade we convertible . concert Commodores stay around hotel performance . previous comment board clientale look basic middle class mix , yes kid tremendous amount . gambling clientale include local . evidence 21 year old drunkeness see everywhere strip weekend . one complaint - water martini pay full price adjust . pleasant experience excellent rate obtain ! 
 Feb 16 2006 	 room 	 first let say make reservation two month advance . ask king room , non - smoking . upon arrive give 2 bed , smoking room . room REAKED SMOKED ! ! go service desk complain tell room . ask speak management tell would 5 minute . 20 minute , finally show . would acknowledge even stand proceed back room clerk . clerk came offer we different room overlook thank . go new room , find another 2 bed smoking room also reaked SMOKE ! ! Complaining , tell , take leave . would recommend lodge . management bad attitude care comfort customer . Bass Pro Shop accomodate service could well ! 
 Feb 4 2006 	 Good Strip Option 	 spend 30 day year Las Vegas . the Silverton hard beat $ 59 . prefer stay downtown possible , often find look alternate first choice available thought would give Silverton shot . we car town , location actually pretty convenient we . south 215 intersection i-15 , put we straight line downtown , strip , Primm Henderson . hotel would good choice dependent public transportation shuttle want get . way , rent car US Rental Car Paradise $ 12 change day - come $ 19 taxis . . . cheap cab . the room good , perhaps well , choice price range . clean fresh , non smoking king 4th floor . we Silverton four night enjoy quiet peaceful sleep every evening . the gym properly equip good working need . hotel staff helpful attentive every manner . all , quite pleased . property first choice , look alternate first class , would certainly return . good honest value opinion . 
 Feb 1 2006 	 go home yet ? 	 ah Silverton . ' intrigue previous review hotel . personally base stay report may disappoint . start fact move opinion . Vegas standard Silverton quite small although casino feel little like play casino . everything " big boy " much small scale . enter hotel large aquarium unlucky enough may catch one hourly " mermaid show " happen . 3 girl dress mermaid swim around pretend se awful soundtrack , occasionally stop gulp air try synch back soundtrack . amateur word , least free . incidentally motor bike also two " orange county chopper " front aquarium . definitely quite cool . pass casino past bar lucky may find tiny reception hide away . fare check quickly staff friendly ( staff Silverton – frankly ' main asset ) tell take hour ' busy ever seem one person duty . I stay 4th floor king - size , non - smoking room . room pretty large contain decent sized tv plenty hang drawer space , king - size ( comfy ) bed , 2 night stand , leather sofa , coffee table , write desk 2 chair safe mini bar . bathroom shower bath would tight even child . whole room well appoint , clean pretty large . side also dark . carpet brown , wall dark brown , sofa brown ( get picture ? ) 1 small window . also one awful aircon unit window sound like jet engine turn ( fortunately January ' need ) . come real problem . reviewer mention quiet room . assume one stay within 5 room direction . first night room next door tv loud ' hear tv . go 03:15 . 05:50am wake 2 " lady night " offer service door ! day eventually buy ear - plug way get sleep . hear people snore 10 room away wall thin . stay business find kind thing especially annoying work morning . also , room non - smoking guessing room either side . smoke may realise much smell room reek cigarette smoke almost constantly . the pool cover large marquee January ( although 70 + degree ) guess let . Breakfast Sundance Grill unsophisticate rather pleasant affair . food actually good inexpensive Vegas standard service good . dinner another matter 20 minute ignore wait staff walk ' tell dinner like . the " Hootie Blowfish Bar " ( remember ? ) quite nice , unlike restaurant , service quick friendly . attach hotel ( access within ) " Bass Pro " shop . ' hear Americans read probably . shop enormous , much big hotel . ' basically shop satisfy american desire everything outdoors especially kill everything outdoors ! know british attitude , ' mean judge , site row row hand - gun rifle make feel little uneasy . however , Bass pro shop well worth 30 min stroll look around . sell everything T - Shirts speed boat . staff friendly helpful . the big problem Silverton ( really big problem ) location . ' good 5 mile strip . may sound far unless car mean ' completely inaccessible . ' $ 20 cab ride airport want get cab Silverton , forget . location cab ' go . end give lift valet otherwise would miss meeting ( , , friendly staff ) . shuttle service strip run 10 be 10 pm every 2 hour . take 40 minute get Mandalay bay drop Ceasers Palace Mandalay Bay . pretty useless really . also 26 seat ' full ' tough . ' take ' lay - on bus . imagine real problem summer . big gripe , really personal opinion , clientele . really think change strap line Silverton " Silverton Casino – dreg humanity come play " . read UK think Friday night disco Essex . side pond expression " trailer trash " spring readily mind . also see lot child stay . insane enough bring child Las Vegas , Silverton place stay . sum . staff Silverton friendly helpful , however never make terrible location ; noisy room ; lack facility unfortunate guest list . stay regret . spend little extra stay strip . ' want stay strip try somewhere like Hampton Inn Double Tree . stay company work book . pay would , disappoint . 
 Oct 2 2005 	 wow ! ! ! incredible value 	 check Silverton hotel & amp ; casino , impressed . searching & quot ; value & quot ; option lodge wife 2 night near strip , decide give Silverton try . wife learn pay $ 78.42 total 2 night ( include taxis fee ) , REALLY afraid book we roach motel . place could not . clearly , whole hotel updated not usually go ultra - luxury Vegas ( stay Luxor , Excalibur , Stratosphere , Bally 's , Treasure Island , Ceasar 's Palace , Las Vegas Hilton , MGM Grand ) , honestly say room exceed rival ' ve stay Vegas . even pillow - top mattress . unbeatable price ! ! ! 
 Sep 20 2005 	 Huge Improvements - love 	 7 yrs live Vegas , last night spend Silverton . furniture load move . Silverton go 1 1/2 star Boomtown 4 star Silverton Bass Pro Shop addition renovation . gambling affordable old downtown Silverton become favorite place husband . feel cozy lodge . room renovate lodge theme . love room . ( book another visit Dec 2005 ) south main part strip , convenient airport practically next outlet mall would recommend car use shuttle . 's 2 - 3 quick mile strip . also close drug store grocery Windmill . I experience poor service Sunset Grill . buffet decent affordable , service always good . steakhouse quite nice good food . enjoy great entertainment show room tribute band . ( Elton John 's mother attend performance honor son ) . -avoid rush hour driving . do not park Blue Diamond Rd rain way . flood . Read sign . 
 Jul 6 2005 	 Sundance Grill 	 unfortunate experience eat Sundance Grill . service substandard - barely serve salad prime rib come . meal , baked potatoe cold butter would even melt - ask another , waiter bring , kind plop table - cold inside . friend 's prime rib fat prime rib . waiter friendly . excuse table , feel well - waiter ask want prime rib package , say yes - leave table - take friend plate - finish eat . unfortunately , report manager duty time - although try resolve next day satisfaction apology . suggestion - meal bad - ask manager immediately - not settle substandard service - entitle good . 
 Jun 7 2005 	 Silverton well keep secret Vegas ! ! ! ! ! ! 	 friend decide visit Silverton Hotel casinoin Las Vegas far south end Strip . beenthere year , like small town feel , low minimumson table . surprise ! ! ! Holy Macaroni ! ! ! ! ! place gone uptown , upscale andwe lovin ! ! still warm , homey atmosphere . oh baby , beautiful place ! ! sexy lighting thebar video poker , magnifico ! ! ! ! servewine real glass instead paper cup ! ! ! ! staff isthe friendliest ever , ask restroom thekind , nice lady walk .... not findservice like Mainstream Strip ! ! ! bar isour fave , Mermaid Bar . got to check . huge Aquarium super New Age music playingand real mermaid swimming fish , underwaterballet fishie . awe - strike . upscalestore , Bass Pro Shop . wonderful rock gardenwaterfall , relax tense day slot ! ! drinkswere generous , staff , good hope Casinostake lesson folk , know put there d carpet . spend whole day actually wona buck , elegant wine glass andchatte friendly folk Mermaid Bar . ya need aplace land , crowded , friendly staff , loose slot , place . never write review , butspend time Vegas never excite abouta casino ..... thank allow share review withother . Susan Antonitis , California 
 May 6 2005 	 Exceptional Value 	 look hard enough , still tremendous value find Las Vegas hotel market . play recently renovate Silverton Hotel , simply sign player 's club receive quarterly room deal . early May pay $ 19 Tuesday night stay , amazed quality renovate room . mattress soft advertised , quiet room ( must concrete wall ) , average water pressure shower , well appoint room work desk , small couch , cabinet fixture television . could stay Wynn Las Vegas $ 375 , would want waste money room see 5 - 8 hour per day ? Silverton approximately four mile south Mandalay Bay i-15 Blue Diamond Road . visitor rent car , Silverton great place stay . Silverton 's renovation include great restaurant like Twin Creeks , award - win steak house , well couple cool lounge bar cater every social set . game good , high concentration slot local , conceivable table game rest we . sure , Silverton mile south strip , room brand new , place quiet night , be itch fight traffic strip , be five minute away . highly recommend Silverton , will not disappoint . 
 Apr 27 2005 	 Silverton Great Value 	 stay Silverton mid - April . stay time , time fine . Sherri , front desk , great deal . one member party leave safe wide open mistake , cash valuable expose . return room , neatly tidy nothing safe touch . never hear lot noise room . pool area pleasant , elaborately deck . pleasant place relax coffee morning . rate quite reasonable . definitely transportation due location . however , conveniently locate airport without hassle deal Strip . definitely worth car . 
 Mar 30 2005 	 great value 	 overall great value money ; would return . stay three night mid - March . plus : - small ( Vegas standard ) ; easy access casino / restaurant / parking- quick check - in , check - out- newly - renovate hotel- comfortable beds- relatively quiet ( first floor room near hotel lobby ) - Bass Pro Shop ( attach ) great visit ( even not fish hunt ) - relatively short drive Strip ; quick access i-15 get around LV valley- $ 5 blackjack tables- nice pool areaminus : - room large ; could use additional lighting- $ 4 daily add - on service fee ( tell ) - coffeemaker room ; slow service take - out area coffee shop- location ... not car 
 Mar 23 2005 	 disappointing stay 	 stay Silverton business partner three night disappointed accomodation staff . two room floor ( third floor ) noise unbearable hour night . room mine seem though floor make plywood every step occupant loudly hear . tub plug staff seem little concerned . coffeemaker room $ 3.95 daily charge tack entitle basically nothing . room fairly clean couple questionable towel ask replace . I would encourage anyone seek accomodation possible . 
 Mar 23 2005 	 great place stay 
 Mar 17 2005 	 enjoy Silverton 
 Jan 17 2005 	 Nice Hotel lack customer service ! 
 Jan 16 2005 	 great place stay 
 Sep 26 2004 	 great time .. 
 Jul 28 2004 	 Silverton : ok price 
 Nov 11 2003 	 Silverton bargain ? 
 Sep 21 2003 	 nice time price ! 
