beautiful 	 book hotel June November read TripAdvisor review . read particularyly disturb story shabby bedroom poor service even lady night go business hotel would tempt book elsewhere friend pay full booked option . receive e mail hilton concierge service prior departure reply tell concerned standard room read bad review request refurbish room . recieve reply state request note refurbish room available time check would comply request . arrival check two hour early tell room ready go straight 12th floor . room absolutely fine clean overlook quiet courtyard extremely relieve ! explore public area hotel absolutely beautiful . really impressive hotel fascinating history . everyone hotel helpful , service staff first class could ask . barman mixed cocktail delicious nothing much trouble staff anywhere hotel . trip 50th birthday present friend hotel put bottle spark wine lovely welcome letter room considerate touch . conclusion would thoroughly recommend hotel anyone . lovely time would return future . 
 would not put dog 	 offer & quot ; luxury suite & quot ; compensate previously substandard accommodation e.g . peel paint ( probably lead ) , unclean room , furniture miss part , etc . picture already site pretty much tell story . & quot ; luxury & quot ; suite nothing like brochure would believe . Old 60 's era furniture , utterly unclean . kitchenette still spill coffee previous occupant stove ? not look like clean year . grunge leftover food . downright gross . ruin anniversary . 
 Jul 30 2009 	 trading name - avoid 	 Avoid Waldorf Astoria . stay like wake beside 1950 's starlet ... 2009 . yes name may conjour glamour elegance year go not seem spend penny hotel since year go . decor shabby , carpets shabby , room amenity practically non existent service decidely average . doorman virtually ignore enter hotel exit cab ... yet will still come run last minute look pound flesh . room service particularly vile ( overprice ) . order something light , cost $ 100 genuinely would not give dog . hotel like ancient tv 's flat screen ? ! first ( last ) stay Waldorf would advise anyone think stay avoid like plague . 's little point waste money , especially recessionary time . want treat NYC , try Plaza even Grand Hyatt view street ahead Waldorf . Hilton need give place massive facelift moment 's live ( diminishing ) name . 
 Jul 29 2009 	 could 	 Waldorf great location , beautiful lobby helpful staff . unfortunately definitely show 's age ... good way . room size fine , look bit dingy- curtain hang long time need cleaning , thing room . 3 people group room double bed difficult we . actually magnificent balcony , unkept , trash , stick furniture ! waste amenity ! ! ! departure overhear someone say move different hotel since Waldorf , & quot ; ratty & quot ; . think point . 
 Jul 25 2009 	 wonderful Classic ! 	 Stayed Waldorf wife birthday . beautiful hotel heart Manhattan . feel history . could imagine Marilyn Monroe walking hallway many year ago . hotel perfectly locate withing walk distance 5th avenue shopping , Central Park , Rockefeller Center , Times Square etc . new around ? . 's landmark Presidents stay ! love ! 
 Jul 23 2009 	 like stay Museum week ! 	 thoroughly enjoy stay Waldorf March . get great deal Expedia , disappointed . feel like living museum week . history grandeur Waldorf make wonderful place stay . central location , room clean comfortable , surround great place eat / grab snack . Due 's age , obviously bit date , part charm . be look flat screen tv 's & amp ; modern feel stay - look stay part NY history - would highly recommend ! love every minute ! 
 Jul 23 2009 	 Montreal NY Waldof Istoria 	 well say , GREAT .... bring cash ! ! ! everything super , pay 32 $ two egg think take apple brunch buffet .. 36 $ buffet . everything else super , concierge give we great info . oh yes get great price room 216 $ one night . good trip 
 Jul 23 2009 	 bad Hotel Service 	 quality Waldorfs customer service bad hotel ever stay . check line long room available upon arrival , plus wait well beyond normal check . make bad staff could care less trouble really unexpected hotel class . frequent traveler could disappoint . room comfortable clean , restaurant food good work service may fact actually get repeat business . 
 Jul 21 2009 	 Elegant Hotel Great Locatoin 	 wife stay three night Waldorf Astoria New York happy stay . entrance Park Ave . lobby classy . staff friendly room also nice . corner room clean comfortable . subway station block away easy access city subway many cab line front hotel . complaint Bull Bear Resturant locate hotel . way expensive quality food service provide . go resturant 's convienience . write separate review Bull Bear . overall , happy stay Waldorf consider stay . 
 Jul 20 2009 	 Outstanding 	 Stayed Waldorf Astoria honeymoon 4th-8th July 2009 fantastic time . hotel locate Park Avenue perfect location away pandemonium Times Square walk distance eveything .... 5th Avenue , Grand Central Station , Rockefeller centre 5 minute walk . central park Empire State build 10 minute walk line taxis front door hotel . Waldorf spectacular . anyone say hotel tired must use stay fantastic place wife think great . front entrance breath take room opulant lovely big marbel finish bathroom . find staff friendly receive complementary bottle champagne first night celebrate honeymoon . do not eat drink hotel can not comment load bar restaurant nearby . fantastic time would recommend anyone . 
 Jul 20 2009 	 Geat location - great value 	 get great rate hilton website date - yes hotel little fade part charm , think . lobby great , room large compare NY hotel . lift little slow occasionally . hard beat location athmosphere . one little problem - three room - two available checkin , third ready 30 minute . two hour contact reception desk still available . call available call . eventually get third room tell we available along ! large hotel guess guest number . also find concierge ( one guy , ) aittitude . 
 Jul 19 2009 	 Great Address Historic Hotel OK 	 travel 2 week New England , stay July couple day teenage son could experience bit NYC . use Hilton point not expect great room , view , small etc . clean visually nice , styling would expect definately start show 's age . would guess last serious renovation bathroom late 80 . a / c not great , get cool enough could never seem get dampness totally air . 's central air not think dial room actually control temp speed fan . second stay 3 year realistic none really bother we . sleep fine , although bed little soft taste . warn get basic room expect room grandeur Waldorf , be going disapointe . lobby , bar , resturant staff rest would guess would . 
 Jul 15 2009 	 Watch credit card bill 	 get great deal Continental , book flight hotel together 2 adult 2 teenager . compare price Plaza find suite Waldorf half price , stay June 2008 enjoy experience , decide stay . stay Lexington side notice take long amount time get elevator , unsure several order wrong . our room nice , decor great could definitely see old hotel guess lead 's charm , art deco styling . day stay request additional towel , even though reservation 4 people , could get 3 towel . even tell clerk check & quot ; 4 people room . & quot ; check , tell able print bill . 3 week later , find . see odd charge credit card $ 122.77 . call hotel ask charge , take item room , order room service bill anything room . billing department advise Travelocity tell bill fee extra person charge . call Travelocity ( apparently company Continental Airlines use ) say know nothing , record ever tell hotel . eventually tell travelocity receipt say room double room rate , quad rate , even though say room 4 receipt . end give issue credit card company say authorize charge eventually , refund money . sure travelocity , Capital One , Waldorf responisble refund none bother call email resolution . like not think worth tell go bill extra .... 3 week stay . apparently use 1 extra towel cost additional $ 122.77 Waldorf . 
 Jul 14 2009 	 Excellent experience 	 last 20 year ' ve stay many hotel NYC . come CT Broadway weekend thing stay different hotel try various restaurant order soak essence NY . see special Waldorf rate time experience well . $ 219 upgrade deluxe king room . room ! ! high ceiling , fire place , 42 & quot ; Flat Screen tv terrific view Chrysler Bldg . freind not lucky view also awsome room . Waldorf one good lobbys will ever see . be almost like go museum . rate one 's lucky get basic room average hotel NYC , take advantage last . 
 Jul 12 2009 	 Loved hotel 	 stay week visit New York . park hotel upon arrival bag remove car park within minute . reception : excellent service , fast efficient helpfulroom : corner room quite big ny standard . include large walk - in wardrobe accommodate luggage . room little old spotless comfortable . given pay similar price hotel ny easily big room stay in . location : perfectly locate shop 5th Avenue approx 15 minute walk Union Square . overall would highly recommend hotel . little old fashioned , service perfect couple fantastic room location , well worth cost . 
 Jul 9 2009 	 BIGGEST DISAPPOINTMENT LIVES 	 wife book hotel honeymoon get marry 31/12/2008.prior arrival make point inform reservation desk honeymoon hope would make effort make stay memorable , make memorable , wrong reasons.1.very badly treat pay stay cash , explain credit card small limit do not use often , verbally congratulate ocassion , that s ! 2.requested smoking room , none available check , effort make accomodate we , good could do follow day , give room next day.3.the bath stopper working room , order food room arrive long haul flight , order burger fry bill € 100 meal less quality mc donald , dispute bill ground treat fairly honeymoon.they deduct meal account reluctantly follow lenghty call duty manager.4.reception fail give we breakfast voucher upon check option parking breakfast opt breakfast.we tell restaurant staff would charge full do not present vouchers.we go back reception ask voucher present check in.4.our final bill almost $ 2,000 heart sink week lives.we really look forward stay thee renowned hotel world.i always remember first night honeymoon night comfort reassure wife cry flood tear sob sleep . memorable week life , sadly destroy low standard well know hotel brand world.new york city amazing would love return.to give credit due , staff hotel extremely warm welcoming would like disrespect professionalism wonderful ambassador company work for.this hotel equivalent 3 star hotel ireland , proud hospitality ireland , hotel could learn thing irish hotel model.we offer 4 night complimentary stay waldorf tower general manager professional man approach , get first chance make lasting impression . 
 Jul 7 2009 	 think Twice staying 	 stay 4th July 2009 visit NY Waldorf . previously stay Ritz , Palace , Sherry Netherland renovation , Plaza . think get great deal single room - king $ 300 per night . . Lexington side building ( view - complaint ) . issue : stay 13th floor visit floor confirm impression- ' ve leave lobby Lexington tower will quickly notice dramatic change quality feel . carpette , worn , look smell clean fresh . give sense cleanliness security checkpoint carpeting airport . ballroom floor , hallway Lexington tower appear lack air condition proper ventilation . 40 something guest .... never care ventilation . Courtesy personalize attention non - existent ( least patron rate ) - need anything hand tip credit card anyone . shower admittedly old , provide reasonable expectation hot water adequate pressure . front desk attendee difficult time deliver complete bill include mini bar charge . mini bar stale $ 6 potato chip . room door well insulate . morning , hear whisper non - whispers dutiful ( courteous ) clean staff adjacent room . however , good sign sleep need . tv appear $ 100 1990 Walmart purchase - local Motel 6 already update flat screen - sure much expect hotel tout one President stay . arrive late night another guest time . Nevetheless - take 35 minute bag make room . take 3 minute get room . please comfortable bedding . impress anything else . hotel business center computer quite date . share printer other four computer small room . difficult sensitive business work . think unbelievable hotel magnitude . Person charge take bag afternoon checkout would stop ask profession whether business good - sure want discuss hotel staff . top notch , courteous , professional , personalize attention non - existent . favorably compare five / four star staple hotel NYC . ' ve never write review think important one write . 
 Jul 6 2009 	 good ! 	 great , also expensive ... money play big role , try ! beautiful grand hotel one old ! 
 Jul 6 2009 	 worth it - once ( twice ) life time ! 	 outstanding great check staff staff hallway . hotel own George Bolt Bolt Castle fame St. Lawrence River ( mostly restore ) live 's previous reputation greatness . room bring back time pure elegance fine service . gold fixture wonderful bedding must . rate widely look deep travel website bargain . need save money somewhere afford cocktail Bull Bear Bar- $ 17.50 per . stay , , retired , eat site . cheap frugal ? 
 Jul 5 2009 	 wonderful honeymoon stay 	 amazing honeymoon , New York fantastic stay Waldorf Astoria , Park Avenue everything expect 1930 's iconic building beautiful inside outside . moment walk foyer grand marbled corridor reception area feel back era Ginger Rogers , Lana Turner Walter Pigeon . service wonderful , complementary chocolate strawberry champagne letter , feel decadent like film star . room lovely corner 24th floor . view spectacular . room comfortable big bed bed comfortable . spend happy evening cocktail bar . good honeymoon world love much be go back August ! 
 Jul 4 2009 	 don´t compare hotel ... 	 excellent old hotel & quot ; character & quot ; , comparable hotel price range : simply & quot ; must stay & quot ; ! centrally locate midtown . smooth check - in -out . stayed & quot ; Astoria level & quot ; ( 26th floor ) clean spacious room ; breakfast ( floor ) include price . fantastic furniture room ! WLAN free - ( comfortable ) lobby . could receive phone call outside directly ( via operator ) , problem case . staff friendly efficient . business trip , would recommend anyone add one day extra enjoy hotel , New York , course . would refuse stay week , either ... 
 Jun 29 2009 	 great history ; fun do 	 excited stay historical Waldorf Astoria , look picture marvel beautiful decor lobby - interesting see read history ... charm end . room small need renovate , drinks/ food overprice , expect , service would expect world - class hotel , mediocre . one rude , expect well service attention get well service many hotel . ' m happy stay , next time think will shoot stay somewhere Times Square close action price . first - time tourist , recommend walk Times Square - 's straight shot 49th 10 block pass Rockefeller Plaza , Radio City Music Hall 5th Avenue way . go dinner drink save money ! 
 Jun 29 2009 	 fabulous hotel 	 searching & quot ; perfect & quot ; hotel getaway , choosed waldorf . read previous review go open mind . could not select beautiful , well appoint hotel , still glamour history expect . room upgrade suite , appointment gorgeous , bed fabulous , linen perfect , room . pleased selection . front check wonderful , easy , fast , desk staff friendly , smile , happy work classic hotel . ask anything every staff member friendly willing go extra , wonderful stay fabulous hotel , would go , without doubt . 
 Jun 27 2009 	 Nice expect ! 	 arrive around 6 pm limo . hotel staff parking area say least uninterested arrival find one take care luggage . give describe upgrade room , little disappointing . could TLC redecorate . staff great , helpful couteous . a couple week stay , stay Hilton New York say suite comfortable welcome hotel professional . really make feel welcome . nice expect ! 
 Jun 24 2009 	 stay luxury hotel worldwide Waldorf fall way short expectation . 	 initial impression Waldorf poor nothing happen we change mind . queue long line arrival reception annoying receptionist rattle obvious sale pitch ask we would like eat . & quot ; king superior & quot ; spacious clean , back 49th Avenue garbage van work constantly 5 - 10.30pm every weekday empty rubbish office block opposite . forget try sleep go , even jetlag travel UK . Breakfast Peacock restaurant $ 33 bad buffet ' ve ever see eat . actually & quot ; buffet & quot ; exaggeration , slice process cheese , 2 ( ! ! ) slice inedible meat , bread fresh fruit ( melon disgusting ) choose . waiter nerve tell we could not share like schoolchildren . breakfast downstairs serve decent fruit bowl choice bread - mere $ 28 . last day stay , go road deli breakfast $ 10 each . you queue concierge well reception , time tell not brolly lend we . know trader wait outside sell $ 5.this hotel still rely past glory . large reception hall ble Art Deco , lady restroom , behind grandeur , be tired feel place . Waldorf part Hilton group continue rely previous high reputation status , charge ludicrous amount money everything expect people put . well , wrong , will stay elsewhere next time be New York . 
 Jun 23 2009 	 much well time 	 already write review hotel last year , write second time , recent staty much well ; actually good . whether diffferent room service get well downturn . quality room great , system work fine , staff courteous . 
 Jun 22 2009 	 Jackpot ! 	 although concerned reading review keep reservation WA NY begin vacation . ' m glad ! rec have excellent service first reservation call , 2 call prior arrive ( nervous member pic bed make look small ) , day check . nothing short & quot ; bend backwards we ! & quot ; get think & quot ; expedia & quot ; room view ' ve see pic . Park Ave view , can not expect expedia price pay , good view Chrysler Bldg . room actually quite large walk closet . Edgar doorman hoot ! recommend Pizza Angelo 's perfect . far walk either . also walk Ess - a - bagel not get yelled -- even though hope would get NY feel ! haha ! delicious . everyone encounter hotel great , except waiter lobby bar stop welcome cocktail free beverage coupon give we . kid probably not want bother . room stale smelling upon arrival expect form old hotel . ask freshen Mason less 10 minute spray orange scented freshener fine . rate 1 - 10 -- WA get 9 ! want & quot ; kid friendly & quot ; app drink one night stop TGI Fridays . horrible mistake ! horrible horrible service , food taste like sit around day . save money take ecommendation hotel staff instead . 
 Jun 18 2009 	 Awesome building service suck 	 go stay hotel 2 day celebrate mini - honeymoon . check process nice , guy front desk tell send complimentary strawberry champagne package . that be excellent service end . two day three phone call later , strawberry champagne . also make reservation steakhouse , bull bear , hotel phone ( room ) . reach restaurant , maitr have tell record reservation . apologize ; instead seem try make feel sorry visit restaraunt without reservation . despite several empty seat , sit fiancee cramp space surround people . leave place go much friendly nice steakhouse . the Waldorf Astoria hotel excellent history , need get act together . never stay 
 Jun 17 2009 	 Shabby go 	 let us upfront - thrilled book Waldorf Astoria , even though anticipating would fade wear shadow thirty glory . , would still go family share New York landmark . stay three room 4 night . first room tiny two double bed lacking form back support . move quirky mini - suite overlook front entrance . sort room make stay old hotel memorable . entrance foyer , bedroom , huge dressing room ( large enough small couch , dress table two armoire ) art deco bathroom raise platform . incredible . third room nice version first . all room wear need repainting , new furniture carpet . well worth stay fireplace hall , lobby area ability say stay Waldorf = Astoria . 
 Jun 13 2009 	 absolutely fantastic ! 	 stay 6th - 8th June part 5 - night NY trip celebrate 50th birthday . moment arrive till moment leave treat well , staff pleasant , helpful , attentive , pretentiousness , real credit hospitality industry ! upgrade suite absolutely beautifully furnish spotlessly clean . bathroom plentiful towel toiletry , shower power , bed huge living area gorgeous chandelier magnificent ! staff send bottle bubbly help we celebrate ! couple drink Sir Harry 's bar high standard service replicate , nice dish complimentary mixed nut ! - price not bad comparsion big measure ! would not hesitate recommend hotel , fault . 
 Jun 12 2009 	 amazed heritage splendor 	 want blend heritage modernity .... Waldorf - Astoria place . never see blend much ease . there ton story anecdote Waldorf . ensure take guide tour hotel . 
 Jun 8 2009 	 Glamour glitz 	 wonderful service equally wonderful hotel . cheap treat wife . one & quot ; must & quot ; hotel travel around world . 
 Jun 7 2009 	 guest ... number 	 decide stay Waldorf Astoria honour wedding New York City . Waldorf we seem New York , classic - would fit perect New York Destination Wedding . I disapointe hotel service however confused stay New York , amazing . often read review think & quot ; disgruntled traveller blame everything & quot ; . take time join Trip Advisor write review feel stay need share . check - quick professional . however & quot ; extra & quot ; service . conceirge help dinner reservation ? , assit local information , anything assit stay ahead time ? . none ask would nice touch . feel like airline counter , line send hurry ... ConceirgeRude , Rude , rude unhelpful . make feel like inconvenience time request . disapointe . ExtrasIt would nice receive welcome card congratulation card wedding ; however acknowledgement . even though note reservation wear wedding dress clear indication . be not big deal however small touch differ hotel other . room servicea bottle champagne deliver suprise we friend ; charge . upon explain gift clearly pre pay ; give third degree . make we wait find record decide remove bill . make feel lie try get ree bottle ! clearly make mistake put champagne minibar charge $ 100.00 worth item move side make room . we tell allow make room personal rereshment consider take product . drink put side fridge minibar attendant would clearly note . really .... little pathetic . afterall still champagne hotel . Valet ask wedding dress press challenge . never think reequ nature would prove challenge 40 minute wait lobby . the bell captain unhelpful tell call Laundry desk phone ask request ... unprofessional ... annouce call handle request , make wait ? service dress end well do . all , never mind pay top dollar adverage service say least par . hotel would charge breathe ! $ 13.95 minute local phone call , excessive business centre charge , charge extra glass bring room , $ 5.00pp room service fee ... sure list go on . the room spacious , clean , amenity high standardm , housekeeping attentive . Waldorf Astoria experience come coffee people watch foyer , do not bother stay .... go Plaza instead . high tea Plaza 1 hour experience wonderful ; stay would .... unortunately , Waldorf experience far adverage . 
 Jun 7 2009 	 good bad old school hotel 	 New York city unique world , like stay uniquely New York hotel ' m . Waldorf definitely qualify . great lobby , half dozen food / drink option , feel something old wise . lobby always hop , love . say , hotel not anything super - room small , area little worn , not always enough people work front desk , etc . , , much well cookie - cutter hotel experience get big chain , even NYC . wake stumble lobby , will not forget city be , be worth something . Waldorf get thumb . 
 Jun 4 2009 	 not get Better 	 Waldorf = Astoria live 's legendary reputation , exceed . stay several time always phenomenal experience . recent stay bring wife two young child ( 6 9 ) kid ' first trip New york.as part business trip . downside decision bar set Waldorf = Astoria never reach anywhere else kid measure every hotel stay . every staff member friendly , helpful , enthusiastic , professional genuinely nice . great fortune staying room almost defy description - beyond elegant . also pleasure stay room may large , still luxurious roomy . recommend hotel anyone would like real New York , matter , world class , experience . room rate excellent value . location great well - Park Avenue , short walk Grand Central , Fifth Avenue Times Square . always look forward stay Waldorf . 
 Jun 2 2009 	 Old Grand Place ... 	 come back three - night stay two kid . Waldorf different & quot ; usual , & quot ; tend boutique , home - style , 4 5 - star place . Waldorf old style . Grand . old glamour . traditional . really great feature , thick wall , heavy real wood door furniture , thick gold - color drape , real heavy handle bathroom door ( be much easy open put lotion hand ! ) , door bell mail slot , etc . one downside free wi - fi ( amazing day age ; even Hampton Inn free wi - fi ! ) . be glad stay . would ? probably ... not stay , 's good experience . get really great deal website ( pre - pay , money back , etc . ) . comparatively , price much cheap other would look . room service decent , super expensive . 
 Jun 1 2009 	 Beautiful Classic Hotel 	 family choose stay Waldorf due history location hotel . read reviews TripAdvisor ws confident would disappoint . even age hotel great shape room nice . end tower 35 th floor great view city . room large well appoint bathroom comfortable bed . lobby goergous staff nice helpful . well worth price . 
 Jun 1 2009 	 elegant ! ! ! 	 stay Waldorf late January . hotel close Grand Central Station make transportation easy . impressed hotel . staff great room awesome ! issue heater time , graciously upgrade we suite since also first time city . concierge helpful entire NYC experience make much memorable hotel . 
 Jun 1 2009 	 absolutely Horrid 	 bad excuse & quot ; luxury & quot ; hotel ' ve ever see , anywhere , include Third Fourth World . aStayed & quot ; Upgraded & quot ; king room Hilton Diamond ( high ) status . room extremely date poor condition . bed bed linen smelled change last guest , bed change twice check pillow swap new one . room ready , despite Diamond Status notification hotel upon book time arrival . Carpet wear slippery , indeed slip several time . , loud , even location . live visit Manhattan whole life , assure much well hotel price - try Sherry Netherland Lowe 's Regency . child Manhattan know hotel business , parvenu tourist , & quot ; event & quot ; venue second rate debutante ball - think anyone even class would put hotel . really think something special hotel , visit lobby bar - need get hair do , go Kenneth 's mean - Heaven 's sake , stay elsewhere ! 
 Jun 1 2009 	 one night stay - upgrade suite tower 	 spend one night Waldorf last week . usually stay another mid - town hotel logistical reason choose stay Waldorf time . nice - perhaps atypical - experience . book superior room check upgrade one - bedroom suite Waldorf Towers . Decor little date -- large comfortable . 33rd floor bother street noise intense Manhattan . room rate include breakfast Oscar 's - choice American Continental breakfast -- breakfast good bring nice big pot tea . hotel enormous obviously cater convention / group crowd . public area nice showcase long history hotel . definitely boutique hotel experience . location terrific - right street Saks St. Patrick 's Cathedral . hotel Manhattan expensive upgrade great value -- also would good value even without . 
 May 27 2009 	 Grand Art Deco Hotel 	 excellent service . reception desk friendly helpful . bell staff easy find helpful . room well furnish . east side location hard beat . public area beautifully restore . ' ve stay number fine hotel ; one succeed impressing . complaint price charge restaurant ( breakfast not good ) . high , even New York standard . 
 May 26 2009 	 worth 	 stay 5 night may 09 mum 2 different room . I ' ve choose superior one . arrive , one ready , wich gaven later floor size , first question . want use internet , connexion announce & quot ; nominal fee & quot ; room WA website .... 15 $ day , nominal ? ? also say maid come twice day , never show night tunr ! ! complain front desk , answer & quot ; oh , ok , sorry & quot ; ... answer be suppose get hotel ? well , course , hotel be get nice lobby guess one well look stay hotel .... 
 May 25 2009 	 type hotel ! 	 wow .... moment walk hotel know walk history . beautiful gracious elegant masterpiece ooze magnicent architectural feature . this type hotel . hotel stand proudly memoir famous ordinary ; stylish grandeur stately opulence day go . hotel story . check – busy hotel queue extremely friendly professional . room – suite 1148 traditionally furnish spacious lounge room consist lounge suite , large working desk , mini bar , beautiful antique furniture . bedroom enormous comfortable king size bed cabinet TV . bedroom walk - in dressing room safe . bathroom – spacious great walk - in shower large vanity unit . location – marvellous location around corner Fifth Avenue . hop on/ hop bus stop outside hotel . staff - happy assist , find member totally professional proficient . dining – ordinary breakfast first day café downstairs . however , bless US client escort we Sunday brunch oh goodness , delightful feast . happy ' pay ! expensive must stay hotel weekend . overall – love stay Waldof Astonia . ' & quot ; real & quot ; hotel smother old fashioned grandness luxury . stay New York Waldorf wonderful experience special treat ! 
 may 22 2009 	 worth experience - very good 	 impressive hotel especially lobby area . room corridor date little worn comfort service make . room disadvantage generator run night roof outside window ear plug would not hear . however hotel claibre would expect double tribble glaze room face internal lightwell help dampern generator noise sort noise form equipment first plave . that aside lovely stay would defenatily stay would ask room well away roof future . 
 may 21 2009 	 Beautiful Hotel room vary 	 sister visit ny book Waldorf 7 month advance . arrive 1 without luggage airline lose luggage . lobby gorgeous well maintain . man front desk , believe name Amin check find room give away immediately upgrade we luxury suite . also assure we would send toiletry . professional helpful relief find someone helpful ny ! sure enough send great pack toiletry would need . suite nice consist living room , bedroom , front hall , dress room bathroom . furnishing window shade appear bit worn nice . next night switch normal room corner room overlook Park Avenue . room seem update , large , high ceiling comfortable . parent also trip find room bit dark also little outdated small think room really vary . would recommend ask corner room . bathroom nice , GREAT water pressure . actual location hotel great within walking distance Times Square Broadway enough remove middle chaos . also 2 block 5th avenue nice since not luggage ! Bull Bear Bar host Fox Business Network show & quot ; happy hour & quot ; every weekday go drink bar watch tape lot fun . eat hotel breakfast oscar good . overall confident would stay would request corner room . great staff front desk restaurant . 
 May 21 2009 	 beautiful hotel friendly helpful staff 	 look review , ' m surprised ..... find hotel absolutely clean , perfectly furnished , fabulous lobby , hallway room beaufully well maintain room everything clean fresh , look room redecorate . sfaff consistly friendly , smile , helpful . drink price bar choice ' drink elsewhere ... love ! ! ! 
 May 19 2009 	 1st class service excellent facility . 	 recently stay Waldorf Astoria NYC holiday fiancee . I get great deal 2 night hilton website . put book form would arrive birthday . I think nothing . arrive bad jet lag bag ( Grrr British Airways ) , staff hotel could not enough make we feel welcome . point we direction clothe store purchase replacement clothe airline lose generally make we feel special . return hotel day sightseeing , return room find tray chocolate cover strawberry bottle champagne hand write card general manager wish happy birthday & quot ; anything hotel enhance stay , please hesitate contact & quot ; . impressed hotel staff decide propose girlfriend hotel oppose elsewhere city . really good . would recommend hotel anyone time time . 
 May 19 2009 	 old hotel lot character 	 stay Waldorf 5 night month really enjoy stay . heritage build one old hotel New York . believe nick name Old Dame . decor old fasione feel though take back Marilyn Monroe / Frank Sinatra era . location perfect , right heart Manhatten . staff friendly helpful . 
 may 17 2009 	 expect price 	 stay hotel seven night . go high expectation due Waldorf name . hotel run need major renovation . room decent size everything seem old need replace . find staff hotel friendly unless cash hand ready tip . man work security deposit box area extremely sad angry looking . overall would stay , worth money live old reputation . 
 may 17 2009 	 great location room date service 	 take family vacation Thanksgiving New York . location great , room date . ( $ 400 night ) . get airport fly home realize leave video camera room . could get live person phone . 2 day later someone lose find call we back . course say could find camera . sure not even look . think stay . 
 May 14 2009 	 wonderful stay ; can not wait return 	 read mixed review Waldorf Tripadvisor , little worried book . fortunately , fantastic stay , end impressed every regard . hotel one beautiful New York ; entrance lobby stunning mosaic floor grandly old - world crystal chandelier always happy place come home , main lobby feast beautiful woodwork lavish craftmanship . indeed , despite old hotel , main floor renovate maintain perfection . room old , be true -- yet clearly recently redone , everything immaculate , lovely new carpet drape marble - top bedside table desk . one complaint tub bathroom obviously redone year ; however , bathroom nevertheless drip marble , nice everything else , quickly get one quibble . course , everything utterly spotless , clean well - maintain could be . having say , make mistake -- Waldorf * * old - fashioned hotel , crave everything modern probably care decor overall presentation . however , incontrovertibly classy , truly wonderful place stay . location absolutely perfect , , central still peaceful refined . week , quickly come feel like home ; sorry leave leave hotel quite time , already look forward return next time New York . just , compromise , hotel . part hotel outside main floor * * old , opinion add Waldorf 's charm , taste everyone . take whole , hotel probably well maintain Ritz - Carlton , instance , would . however , room Waldorf vastly less comparable room Ritz Plaza , frankly , get good price pay , can not see would hugely worth spend extra money stay elsewhere . service receive beyond reproach , concierge get we last minute dinner reservation top New York restaurant staff come room would accept tip labor . disappoint initially , room dark taste ; however , call , quickly bring we extra floor lamp right problem immediately . ( word wise -- anything bother , simply ask ; staff extremely kind , least experience , everything possible keep we happy . ) also , note lobby often crowd people tourist ( Waldorf give tour ) , aggravation ; nevertheless , hotel incredibly quiet , never bother much . plus side , buzziness bar really fun , drink expensive , love able go evening take advantage free ground - floor wireless internet sip marvelous cocktail enjoy nightly piano music . close , despite shortcoming , absolutely love Waldorf , spite review would leave believe , would recommend without reservation . 
 May 13 2009 	 great location wonderful staff 	 love hotel . staff find celebrate birthday , send bottle champagne chocolate cover strawberry room . love old world charm hotel . romm beautiful . would stay ! 
 May 13 2009 	 great hotel Waldorf 	 travel NYC daughter last week . organise stay private club 1st 4 night . delighted accommodation , 1st class , however full last night find somewhere equally nice , decide Waldorf . well ! lovely experience ! sorry spend week ! ! ! room large bed comfortable . buzz reception , lobby & amp ; bar area electric . find bar restaurant expensive : starbuck premise many restaurant nearby .... u never stick somewhere eat NYC ! ! problem , fire alarm go 2 am ! ! false alarm ... could bad . New York good value , look forward next trip . stay Waldorf full duration trip ! can not wait ! 
 may 12 2009 	 Old fashioned hotel good location 	 choose Waldorf - Astoria incredible offer site ( pay advance , change date , refund , room around 230usd ) . could find anything well rate thought try world famous hotel would fun . fact hotel nothing special , would say fairly average . room clean bit run , see redecorate renovate decade . tv least 15 year old . stay 10th absolutely view , office front we ... would bit dissapointed pay normal rate ...... arrive nobody offer help luggage bit surprised see internet service almost 5USD per minute ( come Central America way back Europe laptop ) . bit shocked world famous Waldorf , price pay worth . would definitely pay normal rate would far much service quality . personally prefer small , friendly place Waldorf - Astoria definitely none . 
 May 11 2009 	 little underwhelming ! 	 treat Mum two night stay Waldorf Astoria Christmas 2008 . unfortunately expect lot hotel , little disappointed stay . check - in incredibly slow end leave bag bell captain walk around Manhattan kill time room ready . end room 1455 fairly average furnishing . curtain need good clean , surface bite grotty telephone not ever clean ! bathroom pretty average provide nice toiletry . room two comfortable double bed lovely soft pillow , sheet gorgeous feather quilt . wonderful porter extremely friendly knowledgeable . staff come across helpful . wireless internet access room . use business centre downstair fee $ 4.99 log , 80c per minute thereafter . get random wi - fi behind lobby public telephone drop frequently . advice find internet cafe ! not drink Starbucks inside Waldorf 5th Avenue entrance . 's way expensive every Starbucks . eight previous stay NYC , would prefer 8th 9th Avenue side Times Square proximity cheap cheery restaurant bar . 5th Avenue little short eatery night , find nice little italian place call San Martin 49th Lex Park . great food service fabulous . ' m sure East Side great place eat , give weather Christmas Eve , not venture far away . would stay - . think 's overprice over - rate . kind money , would try W Hotel spend extra money Broadway show ! 
