good 	 wish 3.5 option overall rating hotel . 4 seem high , 3 low . this hotel much op be describe . find good value . pro : large room also clean , lot closet space , light - block window shade , good bed good quality linen , friendly multi - lingual staff , good location ( altho personally prefer west side easy get around ) , excellent access computer printers- think may 8 stations- WIFI fast dependable . con : really could use another bath half - bath ( 3 woman 1 man ) , Breakfast much- yogurt , cottage cheese , coffee , juice , rather dry pastry .. probably one bad & quot ; continental breakfast & quot ; anywhere . Noise- street noise bother much , daughter husband comment . old daughter say , & quot ; mom , noisiest place ' ve stay NY & quot ; . sure problem street front really busy street , seem great deal honk hour . think might annoy , ask room face street . we try ' Mint & quot ; , eat establishment connect hotel- impressed . my husband , two 20 - something daugther , visit NYC look way avoid 2 hotel room $ 275 - $ 325 / night room weekend Thanksgiving . the San Carlos suite 2 queen bedroom pullout sleeper LR , along small & quot ; kitchenette & quot ; ( microwave , sink , refrigerator utensil ) $ 300 / night . review TA favorable , book 3 night . thank member helpful review hotel . accurate review ! save we hundred dollar 2 separate room without sacrifice much way comfort space . 
 Jan 14 2008 	 ny - stay San Carlos 	 boyfriend stay San Carlos Hotel 27 December 2007 1 January . arrival greet nice porter help we bag . check swift staff friendly . originally give room 10th floor . small hotel room ' ve ever . really unimpressed read review view picture online . go back reception explain book hotel room look spacious comfortable bed hard room tiny ! receptionist apologise tell we would move we follow day , could not nicer . follow day move room 15th floor , least three time size original room bed one comfortable ' ve ever sleep ! delight . lot tv station choose hard day shop great shower bathroom ! location hotel perfect . walk place main shopping area within walking distance . second time ny boyfriend first could not get well lay street . breakfast quite good hotel . toast yoghurt morning although one morning decide treat go across road diner sausage egg . quite reasonable food tasty . be across road leave , beside Kimberly Suites . we not try room service . would also recommend steak house across 3rd Avenue , Smith & amp ; Wollensky - good steak ' ve ever . quite pricey food amazing ! staff hotel exceptional ! one doorman particular . not catch name come open cab door pull , offer we umbrella raining , really nice guy . problem hotel ( apart box room sort almost immediately ) . would definitely recommend hotel . 's conveniently locate , extremely comfortable staff excellent ! special thank Johanna Vargas , harrasse two week go manage find we ticket Knicks / Bulls game Madison Square Garden ! be go ny , stay San Carlos , will definitely go back ! 
 Jan 13 2008 	 well Home ! 	 return home stay San Carlos ( Jan 2 - Jan 9 ) . love . great location block Rockerfella , 5th Ave . many thing within walking distance , subway handy cab ride cost effective . all doorman fabulous , housekeeping staff - nothing problem , first check , get room enough towel 3 people ( family 4 ) husband able catch staff member hall - abundance towel toiletry every day not ask anything thereafter - great service . the team behind desk efficent , check breeze - checking . wait car JFK , 2 little daugher entertain trick keep throughly entertain - still talk ! place plan stay NYC - be good thing , stick ! 
 Jan 12 2008 	 Wonderful Always 	 stay San Carlos New Year 's Eve . second time book room wonderful first time . small , quiet boutique hotel spacious room NYC outstanding staff . would reluctant stay anywhere else ! breakfast buffet simple enough start day without spend fortune , concierge willing assist arrangement , taxi . etc . , room clean fridge microwave . can not say enough good place ! 
 Jan 3 2008 	 2nd time San Carlos ! 	 fantastic time San Carlos 2006 , come shopping trip NYC November 2007 , question want stay . staff meet credit Hotel , always pleasant helpful . sister stay spacious comfortable one bedroom suite 5th floor , 2 double bed , 2 tv , bathroom separate living area fridge , microwave , coffee machine , etc . street view , yes noisy New York ... not go peace quiet ! get use noise quickly not stop sleep well . two we stay suite would probably suit 4 adult , pull sofa bed living area also . hotel also fitness room lounge second floor internet access available , time inclination stay . serve great free continental breakfast morning room lobby thing like oj , coffee , yoghurt , toast , pastry , get top regularly . prefer hot breakfast , recommend try deli across road , open 24hrs . always full morning , lot local seem use . also take well . hotel not 's restaurant , & quot ; Mint & quot ; well worth visit . top class indian restaurant fantastic atmosphere . room service hotel deliver & quot ; Mint & quot ; well worth try not feel like go . also try & quot ; Lilys & quot ; Lexington Ave lovely Sunday brunch . hotel great location , subway stop round corner 51st Street , get around Manhattan quite easily . buy Metro card , even day , be well worth money . hotel within comfortable walk distance sight , approx 15 minute Times square Central Park , less 10 rockerfeller . although want give foot rest , try one many city bus tour . second year get Grayline 48hr hop hop ticket , cover uptown , downtown , Brooklyn night tour $ 49 . 's great deal , although main pick point Times Square , uptown tour stop outside Waldorf 49th Street , join . recommend night tour , take Brooklyn , worth see Manhattan skyline alone . purchase tour like attraction hotel reception , may come form voucher / coupon need exchange tour starting point / attraction ticket . shop wise , Woodbury Common worth visit , number designer outlet store , sell clothe , shoe , luggage , etc . regular bus Woodbury Common Port Authority bus station . shop Manhattan , remember get discount card Macy 's get 11 % good , although warn pay tax good buy Manhattan . get back hotel , will not go wrong book stay . recommend hotel many people since first visit . location hotel , standard service accomodation excellent , feel really home , wrench leave . certainly make New York experience one remember . 
 Jan 2 2008 	 Helpfull Happy Staff 	 irish couple back San Carlos , girlfriend stay 4 night new year , find staff extremely helpfull arrival throughout stay include owner happen bump breakfast . great location Mid - town manhattan . room good size daily maid service chocolate pillow . only downfall air - con room noisey breakfast room small starbuck across road . would stay . 
 Dec 20 2007 	 absolutely fabulous 	 stay San Carlos 8 - 12 December husband , daughter mother can not say enough nice thing . firstly , hotel ten minute walk Times Square problem sleep lovely comfortable bed , noise night . feel energetic great gym 2nd floor computer free internet . bedroom spacious keep clean really appreciate breakfast ideal we . lot different kind bread , croissant , muffin , yoghurt , butter , jams cheese , great way start day . people behind desk doormen lovely helpful , nothing much trouble even owner hotel introduce . hopefully visit New York within next couple year 100 % stay San Carlos . know hotel read reviews Trip Advisor wish San Carlos Merry Christmas great New Year . hope see soon . 
 Nov 28 2007 	 great place stay ! 	 husband two teenage daughter stay San Carlos Thanksgiving week . can not say enough good thing hotel . avid traveler stay many , many hotel . always thoroughly research hotel travel book read base decision public 's opinion hotel ( read review ) . always find people stay honest accommodation . husband hesitant trust judgement like safe name chain hotel , can not say enough great choice make . choose hotel space , amenity location . spacious room NYC standard two double bed , two nice window controllable roman shade , comfortable sit chair ottoman table , desk area chair , armoire flat tv real plant room ! furniture jam either- lot space walk around . love refrigerator , microwave coffee maker room one main reason choose . room decorate modern , clean homey atmosphere bathrobe . extremely quiet room ( request quiet area hotel ) street noise not even know family next we see leave room . not view anything building will go beach . not room time anyway . location perfect , central Fifth Ave , Rockefeller Center subway , etc . actually go stay Waldorf Astoria ( right corner ) $ 20 night read review say room small worth price . true ! service wonderful . check , tell gym , breakfast time give coupon stay shop . question ask staff answer pleasantly . get direction map subway show store around corner could go snack grocery . doorman go corner we locate taxi set car service we get airport . ready wait we leave ! daughter ( 18 ) impressed get elevator alone , male employee step let ride . also offer umbrella leave one night rain try return tell keep . umbrella line door guest ! service ! read reviews breakfast yogurt , fruit pastry , husband skip breakfast teenager happy muffin work we . assortment pastry diverse free 's complain . negative thing could say San Carlos bed could queen instead double husband rather tall not use double bed . everything else make . already talk next trip NYC stay San Carlos . love ! thank honest advice ! 
 Nov 28 2007 	 fantastic city 	 get back New York City love hotel , attraction city . San Carlos comfortable hotel touch luxury . free continental breakfast include , fresh orange juice , coffee , tea , toast pastry , bagel butter , jam . much little want . staff superb helpful make stay much easy . come back stay . big hello Virginia voluntary member organisation call Big Apple Greeters . New Yorkers give hour time take around neighbourhood New York , would never see much Greenwich Village thank . hop , hop bus good take good hour / hour half loop want see couple attraction far apart little time consume . ice skate Wolfman ice rink buggy ride central park must . Shoppaholics Woodbury Common New Jersey must go grayline coach $ 40 . go love ! ! ! ! ! 
 Nov 26 2007 	 Excellent stay 	 stay Thanksgiving year two child . facility excellent . location great - short walk many attraction great shopping nearby . room plenty large nice kitchen area two bathroom . staff excellent . first day , clean staff efficient , remedied follow day stay , service improve . we stay recommend hotel friend stay NYC . thank , especially Matthew , great ambassador hotel . 
 Nov 22 2007 	 Emaculate Friendly Hotel 	 three us guy stay four night . original booking take Fabio turn friendly proffesional certainly make sure make welcome . room huge pristine bathroom actually two room one contain two bed one contain sofa bed make bed perfectly comfortable bed . kitchenette facility require available , although make coffee . a treat we sylish untypical indian restaurant ( call Mint good celeb spot ) lobby sip many cocktail bar deftly create beautiful Erica , whose friendly helpful nature great help we all . there wonderful 24 hour deli two minute walk hotel . would recommendThe hotel brilliantly locate see amazing place visitor would want see city . decide would go nowhere else San Carlos next back New York . Great Hotel - Fantastic Staff - Superb Location ! 
 Nov 17 2007 	 great place stay 	 stay end October . hotel convenient many site , clean , spacious room comfortable bed ( sag ) . bed firm , like , note could order featherbedding go top . everyone friendly without intrusive . stay room 907 - be quiet overlook back alley another building- book hotel view , fine . nightclub across street front building lot activity weekend , not hear anything room . people front desk helpful . one night want get dress dinner , want something close recommend Oscar 's Waldorf - Astoria - I not expect much , dinner fabulous ! veal Oscar - their signature dish husband Brandt ( natural ) steak . would definitely stay again - I like relaxed , quiet atmosphere small hotel , madness & quot ; biggie & quot ; . 
 Nov 10 2007 	 Excellent Hotel ! ! Consomate Professionalism ! 	 stay San Carlos five day stay 3rd anniversary . excellent service give entire stay . everyone work include maintenance extremely friendly professional . Matthew , doorman night particularly friendly . top , day leave , owner come , introduce , ask we stay . blow away hotel . everything top bottom exquisite . definitely recommend place business traveller high class traveller budget . alot people not know famous name stay hotel . include Puff Daddy , David Justice , many other . Fifth Ave . class right East 50th ! ! ! also close Rockefeller Center , St. Patricks Cathedral , much much . definite A+++++ 
 Nov 6 2007 	 lovely hotel 	 well sister law return much look forward trip NYC . ( Booked February ! ) San Carlos lovely place stay . excellent area - two we return hotel around 9 - 10pm night feel completely safe . quite lot research pay pretty much near everything . room service facility would take kettle hardly room little gripe . complimentary breakfast winner we look fry up ! staff extremely polite friendly mean lot . definitely recommend hotel would definitelty stay . city ! 
 Oct 29 2007 	 back ! 	 stay 3 night friend two room suite . know hotel well . room hotel large New York . little gripe - one bedroom ceiling plaster fall due leak floor one bathroom broken tile cover cellophane , obviously due previous occupant heavy handed corner soap dish . little thing know , thing helps tell hotel apart extend top maintenance . Tip - ring hotel directly negotiate rate ( ask special offer ! ) 
 Oct 22 2007 	 excellent choice 	 stay San Carlos 6 night October . family four book one bedroom suite . great room ! New York standard spacious . bedroom two separate bed . expect one pleasant surprise . one person sleep sofa bed 3 bedroom . small kitchen bathroom nice . sit area pleasant eat something watch tv . friendly staff , especially doorman . try complimentary breakfast day 3 end . simple breakast overall nice . loved orange juice . I satisfy hotel . great location , luxurious style , fantastic room . certainly return San Carlos go NYC next time . 
 Oct 20 2007 	 New York 16/10/07 - 19/10/07 - love San Carlos ! ! ! 	 want book great hotel great location New York first trip Big Apple . disappointed ! ! San Carlos tick box . five minute walk 5th avenue , St Patricks Cathedral . 10 min Central Park . good area feel quite safe walking . add bonus delicious buffet style continental breakfast . staff extremely polite helpful - book taxi , advise restaurant , give directions- even provide brolly sudden downpour rain ! nothing much bother . four we ( 2 adult , 2 teenager 19 & amp ; 16 ) share one bedroom suite . plenty room - 2 toilet , 2 television ( see much telly busy ) 1 king size bed 1 double sofa bed living room . even small kitchen area fully equip microwave , coffee maker , fridge , cutlery . allow we bring drink snack not use mini - bar . request extra towel / toiletry / help pull sofa bed promptly deal housekeeping staff . 9th floor front hotel . lot street noise that s New York ! trouble sleep ! would highly recommend sightseeing hop on / off tour & quot ; Blue Buses & quot ; City Sights . ticket agent street corner bright yellow jacket ! pay 49 dollar 48 hour pass give we Uptown tour , downtown tour , Brooklyn Tour ( not miss one - guide legend ! ! ) free cruise see Statue Liberty ( 75 min ) ticket museum . tour guide great informative ( leave tip want ! ) save shoe leather ache foot ! ! one tip though - bus especially due volume traffic visit restroom boarding advisable ! ! scaffold outside hotel front bit obscure look around building city - unusual ! certainly not spoil enjoyment ! marvellous experience would definitely return New York definitely San Carlos hotel . 
 Oct 10 2007 	 friendly clean place stay ! 	 hotel locate behind Waldorf Astoria , neighbourhood quite classy upmarket . too bad front building - like many many building New York - hide behind scaffold ( oct . 2007 ) . even window room 17th floor scaffold front it . inside , lobby nice welcoming : big small either . receptionist friendly efficient , even time make small joke . check - in , well check - out , do quickly without hassle . book , use booking.com little anxcious , travel 3.700 mile , everything go fine . the doorman friendly without expect tip time . the two elevator run smoothly quick , hardly delay . the room nice size New York , soothe colour scheme green , gold brown . relax . nice , firm bed unfortunately rather small : not expect king queen - size . Flatscreen - tv , safe , desk internetconnection ( pay ) , two minibar ( ? ) , small microwave ( first think safe ! ) , trouser press , iron board iron , small closet . bathroom sufficient : clean ! room well rest hotel exceptionally clean . downside room : airconditiong rather noisy difficult set right temperature . very friendly staff general ! include breakfast nice , go breakfast serve muffin , cake coffee . nevertheless , line every morning , 'cause be free ofcourse . on 1st Floor use internetcomputer free even get printout free ! guest hotel hispanic / south American ( due name , perhaps ? ) rather European Asian . definately good choice holiday NY ! locate near Subway entrance 51st/53rd Street Lexington Ave . green 6 - line . Starbuck 's lot luncheonette nearby , well fantastic place afterwork - drink amongst ny - yuppie : St . Bart 's ! ! 
 Sep 27 2007 	 Great Hotel - do not waste time anywhere else ! 	 numerous visit NYC many different hotel city , find hotel return ! San Carlos everything large , chain hotel could never provide guest -- personal touch along wonderful amenity clean room . stay 3rd floor not care view city room - we not come see city room ! hotel Staff outstanding say least , owner even take time introduce we ask hotel ownership . try W Hotel , chain hotel ! bathroom nice matter woman , room clean ( room 310 ) surprisingly big size 2 double bed . continental breakfast enough get start day , although , dry cereal instant oatmeal could replace yogurt & amp ; cottage cheese . complimentary breakfast wonderful plus . also , subway around corner , easy use around city . trust , price & amp ; personal service , & quot ; stay anywhere else . read web site travel anywhere , comment mostly true accurate . include mine ! ! 
 Sep 27 2007 	 fantastic stay San Carlos 	 wife stay San Carlos first week September . arrival upgrade free charge deluxe room , however room far building air conditioning unit . wife light sleeper go request room change . problem , within couple minute give different room side hotel much high up . the room much big expect , plenty room walk around certainly cramp like lot New York hotel room . walk - in wardrobe big enough hang clothe store suitcase . room also come microwave prove handy . bathroom also large much well could expect . the location hotel great . minute Lexington Avenue , 20 minute walk Times Square 15 minute Central Park . also right next subway stop give easy access rest New York . area around hotel safe feel quite happy walk back quite late night . the staff hotel fantastic . doorman front desk incredibly helpful give tip see would good way get certain sight . go way help , include ring airline us confirm time would need check flight New York . te breakfast hotel fine . plenty bagel , croissant , Danish Pastries etc . one suggestion would go early 7:30 . time fund plenty room sit plenty food choose . breakfast 9 one day prove great challenge seat free can not really complain . want authentic NY bagel would suggest Ess - A - Bagel around corner hotel . all fantastic time hotel next visit New York would definitely stay . 
 Sep 25 2007 	 gem hotel 	 stay 3 nt hotel exceed every department ... arrival bag take book promptly room ( 8th floor ) within minute ... bell boy informative without face give we pointer thing ... room size great ( stay N.Y use small room ) traffic noise .... comfy bed good air con . free internet gym bonus come handy . the Breakfast okay .. nothing , people speak enjoy .... toast , roll , cereal , hot coffee etc good way start day . this far good hotel N.Y value definetly stay recommend hotel family friend . 
 Sep 23 2007 	 Loved San Carlos Hotel 	 central , safe location . Stayed Executive Suite ( bedroom plus separate loungeroom ) kitchenette a / c room , well two tv 's . room good size . plenty cupboard space clothe . bathroom good . bed comfortable . continental breakfast include also . gym internet facility available . staff excellent , especially conceirge Matthew . worth extra $ come back clean , comfortable room plenty space , walk around day sightseeing , glass wine mini fridge , plus cheese biscuit ( use mini bar stock mini fridge kitchenette ) . far restaurant , plus supermarket , pharmacy subway . Wld definitely recommend also wld stay . 
 Sep 22 2007 	 thoroughly enjoy San Carlos 	 stay San Carlos Hotel NYC 7 day pleased moment arrive greet name day leave . entire hotel staff friendly room adequate . continental breakfast full blown breakfast , advertise great start day . be look feather bed will not find , long exciting day city , exhausted sleep quite well every night . even street noise bother we . look charming friendly , well locate hotel , choose San Carlos . check website promotion -- work delightfully pleased choice . 
 Sep 4 2007 	 great hotel 	 stay three night San Carlos Hotel wonderful stay . travel 3 adult . one - bedroom suite extremely spacious comfortable . service terrific , especially man front desk morning . quite sense humor . the fitness center small , nice equipment . happen locate floor room , convenient . 3rd floor find street noise problem . the continental breakfast great , expect much either . hotel not even offer free breakfast . eat first morning . restaurant around choose course Starbucks . the location hotel great . feel safe even late night . I would highly recommend hotel anyone . 
 Aug 24 2007 	 Loved San Carlos ! 	 family five stay San Carlos July four night . find hotel property immaculate , staff PERFECT ( warm friendly , naturally , overly , ) , furnishing clean good quality . breakfast , include , adequate . nice coffee juice , etc . available quick start day . sweet bread item , little fruit ( apple ? ) egg , cheese , meat . also small refrigerator full Stonyfield Farms yogurt . we contact hotel directly make reservation want one bedroom suite two double bed , not see available online . even call hotel , able get one bedroom queen bed . check upgrade room see online , one bedroom suite king bed additional half bath . great room , extra half bath make big difference five we get ready morning ! staff responsive . call rollaway bed deliver , take less 5 minute arrive . also , call front desk pretty late night ( 10 pm ? ) find window lock three window secure . repairman door couple minute , fix one break ( help we lock one apparently not strong enough lock self ! ) .The location great . close express subway stop East side ( Lexington line ) easy walk distance Grand Central , Rockefeller Center , Central Park South , un.it pleasure come & quot ; home & quot ; San Carlos night New York City . 
 Aug 23 2007 	 3rd time San Carlos ! 	 another great stay San Carlos whilst business NY . long stay 16 night , be be away long hotel become home . San Carlos staff friendly knowledgeable , front desk door . like previous reviewer , get & quot ; Suite Deal & quot ; every 3rd night free . deluxe room stay previously nice , compare W Hotel next door Lexington , cavernous ! suite whole new level capacious , two closet , two tv , kitchenette , plenty storage comfortable seating - good enough watch tv entertain visit friend family . bathroom big deluxe room , still plenty big enough . the breakfast perfectly adequate - ' m massive fan , appreciate decent quality coffee , orange juice yoghurt .. - 's free ! two gripe San Carlos ; one seemingly random restock amenity ( 3 day without mouthwash ! ) , be small hotel could not claim reward point stay ( would amount least free night Marriott Rewards etc ) .. really minor point 16 peaceful relax night hotel , ' m grasp straw really ! ! next time ' m town , know will stay ! 
 Aug 21 2007 	 Favorite Hotel 	 three woman intend meet & quot ; Girls Weekend & quot ; , room comfy , mostly stay ! need go anywhere find anything , staff graciously accomodate we . enjoy location immensely , neighborhood provide anything need want , beautiful 24 hour corner store couple great restaruant . ask sushi recommendation , direct awsome place ( inexpensive ) . value great pick stay 2 night suite get third free . suite awsome worth full price . include everything - dish , fridge , 2 tv 's , 1 & amp ; 1/2 bath , heavy door live sleep space . also save $ internet include ( wireless ! ! even breakfast room ) . Ahh , breakfast not tempting , be adequate . although room face street sleep wonderfully ! want meet every year always visit San Carlos ! 
 Aug 8 2007 	 Fabulous Hotel Location Midtown Manhattan 	 , two adult , two kid ( 8 & amp ; 12 ) stay San Carlos July 30 August 2 nothing negative say . room average size , beautifully decorate clean ( look like website photo ) hotel fabulous location . right across Lexington Waldorf - president prime minister 's stay . 10 - minute walk Times Square , Rockefeller Center , 15 minute Central Park , FAO Schwarz Apple Store . front desk crew fabulous , Gabriel welcome we magic trick always make we feel welcome Bobby , sure title , doorman ? ! ? , fabulous always tip coupon us matter plan . breakfast average crowd . toast , bagel , juice , coffee etc . parking easy . lot right next door not mind back 50th street help bobby rush - hour traffic 's fine ! ! park car keep key . voucher hotel - ( cheap compare other read ) $ 30 per day . feel safe walk area day night quiet room night . nice towel , comfy bed right heart Big Apple - highly recommend price definitely back - not think get well ... 
 Jul 31 2007 	 great Stay San Carlos 	 lovely hotel . stay four night one bedroom suite . spacious . anything ask immediately take care . housekeeping wonderful , leave extra towel , bath product . bonus continental breakfast save alot time , nice pastry , bagel , toast , juice coffee . Front desk bellmen friendly helpful . love access computer lounge area second floor . really nice , since check room spend time flight . location perfect ! subway 6 right around corner . could walk Rock . Plaza , Times Square , Bloomingdales etc . convenient . really feel safe walking everywhere . bed alittle firm , personal preference . suite locate back hotel , fairly quiet . super hotel , come back . 
 Jul 26 2007 	 great clean hotel centrally locate 	 family 3 Denmark return holif´days US . luxery 750sq foot suite HOTEL Mandalay Bay Las Vegas , think would difficult San Carlos match . wrong ! 1 bedroom suite book really nice . bathroom much small , bed room living room nice sice . specially , , going stay long 6 night , find important som space . room clean bathroom look quite new modern . staff hotel friendly get lot help - even ask ! agree previous write comment breakfast . know , problem we . , would rather pay dollar per night get upgrade breakfast . we definitely recommend San Carlos friend go New York , if / when return future , also stay . 
 Jul 17 2007 	 will definitely stay San Carlos 	 San Carlos meet need completely . suite perfect we , two adult two teenager NYC touristy sightseeing shopping . surprisingly hotel look like picture hotel website -- find hotel usually look much well brochure . one . suite spacious ( 600 sq . ft . ! ) kitchenette , clean , enough lovely soft , fluffy towel four we . big bathroom , . ( housekeep generous , leave we dozen little bottle Aveda shampoo , etc . ) one two air conditioner room not seem function properly , notice last day report check . comfortable enough one work fine . back build 16th floor , street noise concern . location hotel excellent , subway ( 6 train ) block away . continental breakfast plentiful fresh , pretty standard fare . appreciate convenience self - serve breakfast hotel , though -- able eat run , rather go diner wait service , etc . San Carlos staff always professional , polite , knowledgeable , friendly helpful . oh , WiFi room computer second floor add bonus . entirely happy room service San Carlos would definitely recommend other . 
 Jul 3 2007 	 new favorite hotel NYC ! 	 leave W Hotel Lexington Ave . 49th 50th Streets ( see scathing review one ) , San Carlos seem like palace . stay three night , June 21 - 23 , stay next time go New York City . staff friendly courteous . stay Executive King Suite ( Room 702 ) big New York City apartment ! upon enter , first room bar two bar stool , stainless steel sink , microwave , refrigerator ( use , mini bar ) cabinet fill everything might need include real china , utensil , corkscrew , cloth napkin , wine glass , drink glass , coffee mug , etc . second room living room two chair , two end table , sofa , coffee table mini bar . third room contain king size bed , nice dresser , two nightstand , pant press ( use press shirt skirt well ) , two closet . bathroom tub shower full length mirror . air conditioning work great thermostat well control ( night hot night freeze ) . could stayed indefinitely . hotel excellent location heart Midtown East , one block subway easy walk excellent restaurant . even complimentary continental breakfast exceedingly rare New York City . price $ 30 per night less horrible W Hotel . course , $ 500 per night , inexpensive , location quality worth every penny . 
 Jul 2 2007 	 great hotel excellent location 	 good base stay Manhattan . clean , comfortable , big hotel friendly staff . continental breakfast free internet facility additional bonus . convenient location several good restaurant nearby subway one block away . ( married couple 60 ) would certainly stay would recommend family , friend - indeed anyone ! 
 Jun 24 2007 	 wonderful Stay 	 stay 7 day mid June glad choose hotel , many review hotel read prior choose . firstly room large , clean comfy , come fridge microwave tea coffee replenish day . bath product heaven room service punctual turn service mint nice touch . business centre allow easy access keep touch friend family . try breakfast although complimentary . staff friendly . reasonably price New York situate near expensive hotel , ( sure extra would need ) . location fantastic get around , near subway bus ( pass hotel ) , walk distance broadway time square , united nations ( could also bus need ) . restaurant food store direction lot choose . solo female traveller , hesitation recommend hotel . 
 Jun 23 2007 	 nice hotel issue 	 husband , 10 - year old daughter stay 4 night San Carlos first trip New York . find front desk staff helpful upon check - in , extremely disappointed another front desk staff person fail act react call vehemently complain peep mini - bar employee . ( management make right , actually appear front desk tell story . ) one offer information , although answer question readily , one explain breakfast work ( hour , location , even exist ) , fact public computer printer second floor . glad learn everything know site ! breakfast actually perfect individual taste - enjoy yogurt cottage cheese , daughter love hot milk make hot chocolate pastry husband enjoy coffee variety food morning . be warn : reserve & quot ; 2 - room suite & quot ; , opportunity experience 2 different configuration - unfortunately - since request move first night . street NOISE horrendous ... voice , music , traffic noise , honking , siren - NIGHT , every night . 5th floor first night , hardly sleep due voice , music , never - end honk siren , request move back hotel . tell 2 - room suite face street ... move us 11th ( 18 ) floor , not help . - actually not sleep well single night . not know not invest sound - proof window room ? master bed comfortable , daughter 's pull - out horrible - sag middle thin . not seem mind , be worth . the location excellent , enough walk outlying place go ( Central Park , theater , shopping , restaurant , landmark ) . miss official concierge - although front desk staff try , make couple so - so recommendation . other mention , also chance meet owner - offer open & quot ; food room & quot ; daughter close . 
 Jun 16 2007 	 great stay San Carlos ! 	 pick hotel good rating Trip Advisor thoroughly please result . conveniently locate - walk distance Times Sq . , Rockerfeller Ctr . , Central Pk . subway one block . small , elegant , Art Deco lobby . extremely helpful friendly staff . check , owner come thank we stay ! room spacious ( especially NY standard ! ) , new decor , & amp ; elegant bath . love microwave small refrigerator room .. breakfast include , continental type . we one dinner adjoining restaurant , Mint . feature indian cuisine . food good atmosphere lively . we definitely stay . 
 Jun 15 2007 	 Sleepless San Carlos 	 husband stay San Carlos early week three day . location great . walk distance moma , 5th Avenue shop , central park , etc . walk around hotel area 12AM without problem feel safe . hotel clean , aveda product , coffee maker small refrigerator room . luxury hotel room comfortable fairly new ( believe remodel recently ) . complaint neighbor floor stay - 14th floor . extremely loud 1 - 5am night stay San Carlos . complain first night front desk second night . complaint effective . , get little sleep night . considerate neighbor perhaps pleasant stay . 
 Jun 14 2007 	 great place stay ! ! 	 visit new york first time march , therefore idea kind hotel get read user review look many photo find san carlos low review price sure pick great hotel , tell many people go new york stay one ever hear hotel therefore get little worried . get new york get bus grand central station , end walk 7 block find walk poor area , get little worried pay good amount money low hotel , turn block see hotel please see outside , hotel nice hotel area ! man front desk nice helpful , room clean quite , everything say would , fridge , microwave , bathrobe , mini bar lot room new york hotel ! breakfast great also ! hotel locate perfect everything also , subway stop corner street rockerfeller center . every time return New York staying ! pleased ! ! ! 
 Jun 14 2007 	 Great Time San Carlos 	 first thing say hotel great location , within stroll distance empire state building , chrysler building , central park times square , mention major city attraction . check smooth process anything else request staff . the room lovely , large comfortable bed , adequate bathroom , safe ( charge ) equip either business social use . room servicing always good , mint leave day nice touch . whilst view NY icon would nice , know beforehand would one , suspicion not really matter would spend little time room prove true . business lounge mean could stay touch email etc want , handy check flight information leave . 
 Jun 13 2007 	 great find ! 	 husband stay 3 night early June . never New York City hear small hotel room noisy , little anxious . San Carlos surpass expectation . 2 double bed good sized room mini fridge , microwave amenity . product bathroom Aveda - lovely . breakfast average include price . can not say enough staff - friendly , informative always helpful . free internet bonus . Mint restaurant attach hotel great find delicious food . would higly recommend great hotel definitely return . 
 Jun 10 2007 	 good hotel would stay 	 Stayed San Carlos four night mid - May $ 269+tax via QuikBook.com . the hotel disappoint . expect , albeit want clean , safe hotel good location . be difficult say . service friendly efficient , need probably modest . room also come microwave , fridge , coffee machine , cuttlery could eat room . good feature hotel three free pc web access . also wireless zone , not try this . Breakfast - buffet juice / tea / coffee roll / donut / etc . include price make well deal . location - one block subway , plany restaurant within walk distance - either 50th Street , 2nd 3rd Avenues one two block away . 
 Jun 10 2007 	 great hotel terrible bed 	 stay San Carlos June 2 June 6 . staff incredible , helpful friendly . prepare street noise , not bother we much . the hotel bed pillow awful , consider matter personal taste . love hotel . 
 Jun 6 2007 	 Great Hotel Service 	 husband travel frequently picky stay , generally 4 - 5 star . caution book San Carlos need room we , two niece central location day . time arrive late , rainy day door man supply we umbrella ( know guest runnne street resturant rain ) , 4:00 depature , staff top notch , well ever experience . service outstanding , room clean spacious , overall experience good . money , location stay beat NYC . even like well Waldorf stay last time ! side hotel upgrade mattress since & quot ; little bouncy & quot ; day age & quot ; dream sleep & quot ; mattress . staff good , hotel could learn service . 
 may 24 2007 	 great location terrible bed 	 husband stay San Carlos four night past week . able get decent rate thru Quikbook . hotel great location ..... convenient subway , Grand Central , Central Park , etc . Front Desk staff ok .... fine check .... check ..... check late , maybe get late shift cranky guy . free breakfast morning simple satisfying ( mainly bagel , toast , pastry , yogurt ) request room back hotel ..... great not hear noise street . could hear neighbor conversation though bathroom ( wall thin ? ) main bedroom area . room main issue ..... aside stain carpet comforter ..... bed TERRIBLE . bouncy uncomfotable .... bed fit sheet ..... sheet tuck not even fit bed . wake mysterious bite arm leg ( bed bug ! ) ..... gross . hope hotel join & quot ; heavenly bed & quot ; concept ..... yet . 
 may 21 2007 	 Roomy Convenience 	 stay overnight shopping trip NYC . Booked suite wow , lot room price ( $ 369 ) NYC ! full sized living room , dining area kitchen fridge , full bedroom two ( think comfortable ) double bed nice sized bath nice Aveda product . two flat screened tv . room overlook 50th Street noise bar across street , window open not enough keep we awake . great location walk distance fabulous Madison Avenue shopping . friendly , helpful staff . dinner Mint next door , bustle Saturday night offer chic , excellent indian fare , quite reasonable NYC . highly recommend . 
