ok 	 stay three night . got really good deal Hotwire can not really complain . tiny room housekeeping . wireless never work despite several request front desk . local friend try telelphone three time tell not register mess plan meet . bathroom great , bed comfy location can not beat . good deal would try something small friendly staff next time . 
 Jul 19 2009 	 Mixed Feelings 	 really mixed feeling regard hotel . fortunate enough get room $ 115 per night Travelzoo promotion , make nice deal price . however , would pay room think would regret go elsewhere . book room online recently open review . shortly book review start come , seem concern regard location . call hotel due review reading , phone call lady say put block room upgrade room spg floor , well view . arrive hotel room ready offer hold luggage we . mention lady assurance upgrade , girl acknowledge agreement . however , able check put low floor overlook bus terminal . mention hotel personnel first tell room available , tell room available couple floor higher , tell since get promotional rate Travelzoo ( other high tier spg point ) other give priority . part really bother promise one thing fail deliver . 2nd day trip come back room later evening surprised see bed do room clean ( clean towel leave bathroom ) . hotel clean , employee courteous , room large enough need . location not good world would recommend place stay family child female travel alone . notice video store many area , even around 4 - 5 star hotel . 
 Jul 17 2009 	 good find aspect - highly recommend 	 first : really like hotel . room new quite spacious ( especially consider be New York City ) . bed Sheraton Sweet Sleeper Bed , basically feel like be sleep cloud . hotel also feature restaurant , not try . hotel offer free high - speed internet room , small efficient fitness room . then location : problem . 's West 40th St 8th 9th Avenue ( tell cab driver , since hotel new might know . hotel right hand side come 40th Street ) . seriously , be New York City , be bind see stuff not see home town . not agree reviewer seedy uncomfortable . make sound be descend hell , really not case . return hotel midnight feel uncomfortable , since area well - light . hotel right next Fairfield Inn Marriott , Times Square 10 minute walk . bus Terminal right around corner , Duane Reed drugstore , subway close well . Taxi be not difficult find 8th Avenue , take 30 minute get JFK cab ( 45 dollar flat fee + 5 dollar toll ) .In , really recommend . 
 Jul 13 2009 	 Great Hotel - Unfortunate Location 	 hotel great . also receive amazing open special rate $ 115 decide stay overnight city watch fire work . room decent size New York bed fantastic . decor nice front desk check courteous pleasant . not one complaint hotel . would recommend location family familiar ny . city one block make big difference . location right next bus terminal , . homeless mission populate area people may make uncomfortable . would feel comfortable girlfriend daughter . see homeless man rip flag woman ' hair almost pull hair . ' use see homeless people city . use see lay across sidewalk apparently breathe cop basically walk . 2 many site block hotel . Stick 8th Ave . couple use NY bunch guy – problem ever . ' tell try revitalize Hell ' Kitchen area could get well future . 
 Jul 6 2009 	 definitely family friendly 	 book two room June 2009 . line request crib never arrive . first night hot water shower , second water pressure . also forget mention State NY Parole Division next door ; pretty view . room ok barely room walk . close stay staff available check help bring luggage . tell come lobby get cart . check another unsatisfied family loudly express concern front desk staff . 
 Jul 6 2009 	 good deal NYC 	 find openne special SPG member . pay $ 115 / night + taxis . room ready upon arrival ( noon ) . ask room view Hudson River . problem . room 2oth floor . watch firework room . nice room . excellent king bed good linen . bathroom small , functional . ask extra towel deliver promptly . free bottled water include . room behind elevator , quiet . room darken shade work well . safe room , coffeemaker supply , ipod docking radio , HD tv . everything good except airconditioner . work well , noisy . earplug use ... sleep well . would stay price right . seedy streetlife New York . homeless people part city . ignore . feel safe . hotel restaurant try . nearby Lenny 's Westway Diner . 9th 43rd . good food cheap . 
 Jun 30 2009 	 great price nice new room 	 stay night 6/28 . try check small lobby fill bag barely room stand . proceed SPG line tell room ready ( 2:00 p.m. ) . big deal since checkin not later . woman front desk not friendly seem overwhelmed baggage lobby . ask front desk attendant hold bag come back around 6:00 p.m. able check . room 27th floor ( SPG floor ) view roof Port Authority . room clean , new , comfy bed . curtain not close properly , wake early next morning due sunlight . room ihome iPod dock / clock radio , not work . the elevator dirty make worst creeke noise . not time check gym . ask upgrade , tell suite still construction . as other mention , hotel not nice block city . 's unsafe , unsavory adult dvd store homeless people flank entrance . I would stay hotel affordable , convenient , clean . 
 Jun 28 2009 	 Nice Hotel ... flaw 	 stay four day friend . hotel nice room pretty spacious New York City travel . problem reviewer say - sketchy side street lot adult store ( four girl ) feel safe walk night ( day area hoot holler ) . however , hotel staff friendly check we early allow we leave bag room ready . grant view Port Authority station , view great ! lobby bit small bar area not ready yet , since open three week ago okay . friendly give we extra towel coffee , even razor we since not bring flight . it close Times Square worry get around NYC since near Subway station . staff willing help get destination . GREAT ( cheap ) pizza place right around corner - 2 piece pizza pop $ 2.75 ... good pizza ! , food IMMEDIATELY next hotel . bed soft , nice tv ! ihome ( ipod station ) not work disappointing . note full size blow dryer not bring one ! wireless great , although slow can not complain free internet ! eight room per floor soon step elevator ... boom room right . fairly quiet can not complain perspective . four girl , low cost per night , could not complain much : ) problem get taxi since size street walk 8th Street somewhat annoying dealable since taxi stand right street . 
 Jun 26 2009 	 heck thinking ? 	 approach hotel along narrow , one - way street available ( legal ) parking . opposite property sit eyesore Port Authority Bus Terminal , rest hotel side block occupy adult video store peepshow . not feel unsafe walk hotel , even relatively late evening , aware not park . that say , hotel solid . ( tiny ) room well appoint great bed . three us double room , literally get bed let someone walk past . indeed small . one ice machine serve entire property , matter floor elevator basement ice . in room , say , bed GREAT . roller shade either obscure view , provide acceptable blackout sleep . internet available via wireless wire . painfully slow , workable free . indication hotel finally begin understand thing need plug , available outlet everywhere ! dining available downstair , ~ $ 15 average breakfast , favor walk one block east stop Teleon Cafe . Breakfast ( dinner ) cook fresh fast reasonable price . summary ? around $ 150 new property close Times Square , jump . go aware potential shortcoming . 
 Jun 22 2009 	 great deal Times Square 	 hotel fantastic . husband go NYC attend U.S. Open Golf tournament Long Island . find hotel hotel special email receive ( starwood member ) . book immediately figure brand new , could not go wrong . right . hotel nice . staff friendly accommodate . block definitely side street big city ( dingy , nothing pretty ) certainly dangerous . not typically stay Times Square go NYC , particularly want near train station go Long Island , location perfect . 's brand new hotel , even though say hotel run , hard tell , not matter not need restaurant hotel . look though cute little bar area open lobby area hotel . price offer , definitely become NYC staple we . suit need perfectly 
 Jun 18 2009 	 Good Deal NYC 	 hotel brand new ( less month old ) locate corner 8th Ave 40th Street Manhattan . overall block hotel locate fairly dingy , hotel 's location right Midtown near major subway line make convenient area Manhattan . service friendly new property room spotless nicely decorate . room tiny , fairly standard New York . aware room back hotel face alley view kind . despite , bed excellent free internet plus . $ 200 , hotel solid deal perfect quick trip city . 
 Jun 17 2009 	 Brand New Great Value would stay 	 stay June 8 - 10 pleasantly surprised check learn hotel open day prior , first person stay room . get rate $ 189 / night , think pretty good give proximity times square , fact free get high speed internet , bottled water , great little room . staff excellent , room nicely appoint ( standard NYC small ) , gym wonderful well . hotel bit & quot ; transitional & quot ; area , mean adult dvd shop hundred foot street , also right NY Times building , 8th ave . definitely back modern , affordable , boutique style hotel . 
 Sep 29 2009 	 Sub Standard für ein Sheraton hotel 
