incredibly 	 unbeatable location well bad asset hotel . just across road Victoria Station , situate strategically , especially arrive London Gatwick . drawback ... room ( 4th fl ) face Victoria Station INCREDIBLY noisy night . believe , design , nobody realize close Victoria room , least extent , soundproof . stay 2 nigth . first one barely sleep . get bed several time double check window closed could believe much noise could come room . second night sleep much well ... previously buy earplug . by way , internet connection free , slow . 
 Mar 10 2008 	 THIRD VISIT 	 guest complain hotel beyond , friend another great weekend show stay Hesperia , bedroom bathroom sparkingly clean , staff friendly helpful breakfast superb really hot plate eat . request two pillow deal five minute . stay top hotel London cost three time rate , noise dustbin outside , listen look , full day city sleep come easy . another weekend plan go back Hesperia . Maggie Jan Peterborough . 
 Feb 12 2008 	 great location 	 excellent location less 5 min Victoria underground/ train station . hair dryer room work . maintenance provide work one withe 15 min complaint . view recycle centre well . window open could hear announcement station.room clean bed comfy.great location Appollo theatre . 
 Feb 12 2008 	 disappointing normally good chain 	 actually wait someone turn Gatwick Victoria station severly delay booked Bl00dy freeze outside ! .. room hot smoky smell , bathroom decidely average compare Hesperia 's see ( mostly Spain ) London generally get awful lot money , particularly around central area place . location be great , staff wear lurid pink shirt tv 's work place assault sense . the Park Plaza round corner look lot well . 
 Feb 5 2008 	 hot room noisy awful food 	 know hotel overprice great location , can not fault - room incredibly noisy soundproof . disco downstair hotel till 3 am hear every single beat sound - want pay . breakfast disaster , ridiculous system make guest wait another room fuming watch empty table sit unused 15minute . oh shower morning , dribble , literally , hot scald water . enough put shower gel stopped - leave burn cover soap way wash . irritate stay round . 
 Jan 13 2008 	 not change not hurry 	 's hotel bad enough make want change , be good ( , other point , especially Victoria Park Plaza round corner convenient location ) . back Hesperia . the room good size ( although room overlook rubbish bin side Victoria station ) , ( hotel- mini- ) bar popular well - stock . room clean bed comfortable . think main problem though property distinctly spanish flavour . not mean way pejoratively , be different . example , bizarre mosaic bed ; attach photo lamp - shade ( shall call gaudy ) angle suppose like - 's broken . little change add difference service standard - especially staff reception difficulty understanding - make unwelcome ambience part hotel great place stay . go be get good deal , not make great effort change be concerned , not make beeline . 's ok , well , bad . 
 Jan 7 2008 	 Impressed 	 book hotel parent 70th birthday arrange 8 relative come Dublin also book room 6 room total face Victoria Station rubbish heap outside . room decor grey white uninviting . every room , wardrobe mirror rail , horrific smell drain . light dismal whole room depress . good note breakfast include fine , although large queue toast every morning think temperature low , one seem know staff speak little english spanish hotel . convenient Victoria Station hotel would get taxi ask walk outside get ! ! ! think entrance could festive time year even gutte see original hotel go book Park Plaza Victoria fantastic hotel . price would recommend Park Plaza far superior exact location without sight rubbish tip station . never bother ask exchange room would exchange 6 large task indeed put anyone . disapointe irish tell 4 star luxury hotel . 
 Jan 3 2008 	 hotel victoria Heperia 	 stay 10 night there . be happy hotel . very good location travel , good breakfast , friendly staff.room big USA normal london.would stay again.rack rate high lot promotion . 
 Dec 19 2007 	 great location comfortable hotel 	 Location great ; right next Victoria station . room comfortable well . desk staff friendly . buffet breakfast include room ; find expensive good , good selection . overall , satisfied hotel . 
 Nov 19 2007 	 Never Four Star 	 stay hotel November 1st 3 night . the location great , say . there hot water 3 day . call constantly , executive room hot water . shower friend 's hotel 5 minute away . could move we , hotel sell . try early , lunch time dinner , hot water . when return room first day , open hotel door door frame fall . carpenter work hallway day long noise unreal , air gun , etc . could hear street noise 3rd floor back , inside hotel noise terrible . call front desk , offer replace door frame next door . sleep one night secure door . the breakfast good , price could well . US dollar 35.00 day breakfast , worth price . as sight , hotel staff could assist we . language problem real barrier , spanish hard time English . ask cab several time show . finally day leave concierage run get we one main street ride back . know 10GBP ride Waterloo Station , get tell 20GBP arranged ride . refuse pay , call hotel complain . think concierage cabbie run little business side . get cab main street , near Apollo Theatre . the check process long . wait least 15 minute check , language problem lobby sit . marble floor chair . also come hotel , step go check elevator drag luggage step check . concierage would help luggage check , give luggage rack roll luggage upstairs . customer importance here . WI FI room , would stay . keep kick we change log number password every day . apparently not trust patron keep call get new password user ID.Hotel bar -- stop theatre drink . prepared margarita beer 30.00 US dollar . high . food , drink bartender help carry upstairs . there many minor issue , lift slow people get stick 15 minute . I would recommend hotel . think health issue water problem . see many hotel area close get well rating Trip Adviser . Hope help . 
 Oct 16 2007 	 would stay somehwere else next time 	 hotel 's location nice walk distance restaurant shop . close Victoria Bus Station convenient . hotel 's appearance nice room clean . not notice noise close train station . however , run problem stay . a / c work good . hot room . type person get cold easily room still warm . call front desk 3 time get issue resolve . room get little cool still work way a / c . addition , one elevator hotel get stick ! may take 10 - 15 min get really make nervous . hotel staff apologetic either . also pay $ 30 / person hot breakfast hotel . ever go back choose hotel . 
 Oct 10 2007 	 Dumpster be not $ 200+/night 	 not . well option . stay two day base upon review . proximity Victoria Station , shopping sight good advertise . one mention , however , Hotel side street behind Victoria Station overlook train station recycle dumpster . first night night train personnel work night break glass move dumpster around . non - stop glass crash . smell outside hotel not good either obvious reason . room okay , have stay 1 2 Comfort Inn 's two block away quiet side street , cheap , convenient sight . also not huge fan personnel hard time communicate $ 30 breakfast & quot ; Deal & quot ; .... whoopee ! ! 
 Oct 7 2007 	 Modern hotel convienent location 	 outside Victoria Train station pleasantly surprised find Hesperia hotel modern , clean , importanltly quiet . morning buffett bt pricey consider quality selection 's good value money . room tastefully decorate modern furnishing . bathroom huge lovely deep full size bath tub . hotel wi - fi internet able connect room lobby / bar area . book Hesperia day check really hit jackpot term value money location . would stay without hesitation . 
 Sep 20 2007 	 love 	 stay hotel hotel great place near victoria train station next huslte london street around . staff warm always smile happy help way poss . room great mod comms would expect room even expensive mini bar . breakfast buffet style get pick want eat hot ! want fried egg ask extra cost . for price pay hotel worth good weekend break . hotel must . 
 Sep 19 2007 	 good quality good location 	 good location ... ask get back room .. nice quiet . bathroom smell sewage ( uncommon hotel stay ) rest clean . bed slope outward side ... comfortable . staff efficient overly friendly . handy location Palace walk Piccadilly . bit rough nite ouitside station . minded bag happily late departure . pay 118 pound . 
 Sep 11 2007 	 Credit credit due ? 	 hotel book company work , London hotel agent . price £ 78 bed breakfast pay full , advance , credit card . give voucher present hotel arrival . arrive 22:00 deal receptionist polite friendly . thing start go wrong ask swipe credit card . refuse room pay advance , different card obviously . say offer card pay bond cash front ! , ask see manager . conversation manager back room , could clearly hear , manager come reception desk tell story . refuse , state room pay advance require service would gladly pay time . proceed lecture 4 star european hotel procedure customer must follow , apparently cover theft / damage customer may make . patronize , believe treat respect , expectant thief vandal . still refuse reluctantly give keycard parting comment , " company address write & quot ; . room clean , though hot water take long time come 06:40am . airconditione fan quite loud even minimum setting . the single bed comfortable think hype LCD screen . , ' flat screen tv far perfect reception quality , though work remote control . kettle tea make facility cupboard neatly hide away . room 119 front building . overlooks Victoria railway station , car park , train , beer barrel rubbish compactor inclusive view . the noise present night . Deliveries hotel also come front warn . believe another reviewer advise ask room rear want peace quiet . build neighbour office block UK Passport service building . go breakfast next morning record breakfast include , waiter say would look error . enjoy breakfast . self service buffet usual item , include black pudding , item available order . second morning visit breakfast include computer printout problem . location handy railway station , doubt whatsoever . hardly would describe & quot ; 4 star luxury & quot ; location . reception staff follow Hesperia company guideline & quot ; security deposit & quot ; , feel certainly backward step hotel trade , especially level . advertised rate reception board £ 245 per night . anyone actually pay wonder ! ? 
 Sep 5 2007 	 undeserve high rating ... 	 must complete fluke Hesperia rate 110 1004 hotel London . recently spend week perfectly acceptable carry high rating . choose hotel base trip advisor 's high rating fairly mix experience . not read & quot ; wonderful & quot ; & quot ; great & quot ; & quot ; exceptional & quot ; review . ( ) . read mixed review critical bad review get realistic picture hotel . the room attractive small lacking amenity . arrive notice icky black stuff around tub ( might alright one 's home acceptable hotel ) , ( ! ) ' ve rarely complain hotel something like immediately , fear have nauseate everytime showered bathe . nice apologize profusely , hang around reception desk amount time will hear apology . apparently lot guest call complain thing hotel . & quot ; manager & quot ; show room , spend inspect bathroom even try cleaning , avail . ( actually make feel well & quot ; stain ' simple dirt ) . say would absolutely take care next day . ( would try cover paint , quite frankly ) . never take care not complain , get used day two . the bed particularly comfortable sheet weird ( see review ) . day age US least , price hotel compete nice sheet duvet . duvet ; robe either . the consierge service fairly poor . ask taxi instruct go outside find one . another time call taxi need half hour tell we ask one come . since also business selling tour consierge desk sense could not totally trust give we objective information . seem annoyed put draw we map . comparison consierge service hotel ' ve use , consierge 's seem truly happy help we give we complete comprehensive information , look information print we barely promt half form question part . Hesperia like pull tooth , simply seem bother consierge well thing ( often not even post ) .breakfast : check try lock we 10 pound day buffet breakfast duration stay . since 10 pound $ 25 American seem like could well . small place area cater local much well ( not easy find ) . Victoria Station , across street well starbuck type place , restaurant station expensive even ruder Hesperia . eat Hesperia ( 15 pound since long qualified cheap rate ) since arrive close 11 tell could eat breakfast would quickly since breakfast end . ( family argument ensue , since pleasant way start day , since slept get late start decide would bite bullet stay ) . coffee awful , quite frankly undrinkable . spread look nice quickly pile plate since pack piling . food so - so . one point get ask server ketchup since already clear away seem bit annoyed request . perhaps tell we arrive late . a couple time get back hotel late , exhausted , not eat dinner yet , order room service . food not bad annoying thing : soup deliver half empty slosh bowl . ( good tomato soup ) . waitress notice , comment , take tip leave . call ask replacement . also ask bucket ice ( ice available two floor hotel least two floor away close one ) . person speak phone tell get ice . ( Excuse ! ) ( another time room service send graciously ) .When go get ice use stair since room far away elevator staircase see seedy side Hesperia . see hotel renovation ( say cover ? ) . hotel staffer find ( seem janitorial type office ) seem concerned , helpful , alarmed ( ' m sure ) point direction elevator . never make pool spa can not say nice be . there lobby speak , bar lounge . teenager want sit parent take care business little awkward . when order room service soft drink menu , assume mean suppose use room bar expensive teeny weeny bottle . ( apparently UK size bottle ' ve never see US . small barely two shot glass full liguid . cute , practical , since least two need quench average thirst ) . , occassionally , buy thirsty pinch well bet go one small supermarket Victoria Station get soft drink go . also , find good package salad ( gourmet - ish ) sandwich much well pre - package supermarket take - out meal . real & quot ; fridge & quot ; speak ( mini - bar ) ...... place freeze anything ( like freeze water bottle summer ) . in - room iron , rather strange pant - press thing could not figure ) .The location excellent , theater ( GO SEE BILLY ELLIOT ! ) Victoria Station . use tube time , rail , would easy catch train base Hesperia . the time take taxi , driver know talk say Hesperia , across street Victoria Station . one chuckle say think mis - information . seem use Holiday Inn something . also , say behind Victoria Station ( street address not seem help since not recognisable street ) well bet driver figure want go . ( one driver give we lecture not exact address tell we importance always carry address phone number hotel . not seem necessary : hotel right : right across street Victoria Station Bridge Place ! room key carry not info . taxi driver want , either . four star ? hard believe . acceptable ? yes . I ' m sorry not see pool . might either make place exceptional least simply worthy ' four start rating . when return probably look first another hotel area . really like close Victoria Station , although perhaps would like close tube rail station -- - number , London . can not find one price range , would return Hesperia , carefully read re - reading review . interior design nice , 's plus . feel like be stay clean , fresh , place . not look closely else will put cheapness renovation thing not look closely can not report . since average tricky review confusing , would seriously study travel & quot ; deal & quot ; compare TripAdvisor 's review settle hotel . check cross - check booking trip appal rate four five seven hundred thousand jump Hesperia ( hotel price range highly rate supposedly & quot ; way & quot ; place . would re - consider & quot ; way & quot ; place long close tube station . Hesperia acceptable class & quot ; ' ve get check immediately , matter much money lose & quot ; catagory , stay , ' m try give fair balanced honest review . however , Hesperia really not live usual 3 4 star hotel ' m use stay . not see overly picky : ' ve even like hotel occassion staff person rude housekeeper wass not perfect not immediately get ask . time ever ask room change US hotel smell fire , manager agree assessment smell , say not know orignate , could problem solve next day . ' m simply try give full comprehensive review stay Hesperia really like . the Hesperia 's internet excruciating slow annoying ( keep re - log use long username password ) tv channel awful , probably good thing : keep teenager even turn tv while . their wake service mess ! recording say & quot ; would like call back ten minute press button & quot ; even not press button call we back back back back would finally take phone hook . one two time press button bec . wanted call back , not . seem aware service whack ( spelling ? ) day departure fairly early flight call we directly ( person , actually ) ask receive wake call . they also get us taxi airport ask night . question , & quot ; go street find one yourself . & quot ; taxi be . so .......... decide . enjoy wonderful London . . 
 Aug 28 2007 	 great location excellent bed 	 book hotel part theatre package , would definately book independently . hotel old location terrific , behind Victoria underground , bus etc . would book sightseeing . 4 * deserve . room smart , clean report bedside lamp not work someone come repair within 15 minute . bathroom superb , shower great extremely clean . not go much Aloe Vera shower gel , smell yucky ! ! view window back look back hotel office , not bad . air conditioning perfect . bed comfortable ' ve ever range pillow choose not happy one give . breakast buffet style food not stay hot long choice plentiful . choose Spanish Omlette great spanish influence throughout hotel . staff helpful polite . 
 Aug 28 2007 	 Quality 	 fine , clean , quality hotel staff good ( although mostly spanish ) , clean room Excellent Breakfast . late bar stay open 1 am . hotel posistione right next Victoria Station plenty shop nearby 15 minute bus ride west end . proper hotel cost £ 275 per night website get £ 138 ( Breakfast ) . guarantee , beat price match & amp ; upgrade room excecutive room . eventually pay £ 98 include breakfast , chocolate , juice water check web site . 
 Aug 12 2007 	 good hotel reasonable price great location 	 spend two night Hesperia say consider one cheap four star hotel available weekend , great place stay . clean friendly helpful staff ( ask extra sheet glass reception turn minute ) great central location right next victoria station heartily recommend place stay . room back currently bit building site , not suffer issue noise reviewer note , though guess might bit noisy week . overall bargain compare London hotel 
 Aug 9 2007 	 fantastic experience 	 husband stay Hesperia 4 night 7/27 - 7/31.we pleasantly surprise check 10:00 follow long overnight flight Miami immediately offer room . room large two double bed 4th floor face Victoria Station . concern train street noice hear noise . air conditioning work beautifully . really like shower full shower curtain not flood bathroom . love location directly across street Victoria Station Underground . lot place eat -both fast food - english style american style ( McDonalds ) sit restaurant stair . much cheap option restaurant expensive . also mini mall lot little grocery store great sandwich healthy salad . variety potato chip facinating- ham , chicken prawn flavor chips- like . wine liquor also available . hotel within walking distance -- 10 minute Buckingham Palace 10 - 15 minute Westminster Abbey . double decked tourist bus front Victoria station . two year ago stay Holiday Inn Kensington Forum find Hesperia convenient , large cheap . make reservation Hotels.com get really great rate . place stay future trip London . would like say special thank Concierge , Moucharem Gkertsek , outstanding assistance we . truly asset anyone stay Hesperia . DD 
 Jul 26 2007 	 great hotel price 	 stay hotel two night theatre trip London friend family . centrally locate right next Victoria Station . room spacious modern . bed comfortable . breakfast one good ' ve ever hotel well worth extra money . eat dinner hotel plenty restaurant bar Victoria choose from . I agree reviewer noise train station though room front hotel . not bother we much early morning anyway definitly ask room back hotel . besides could fault hotel quite honest . I would definitely stay return London . hotel stay London Jurys Clifton Ford Hotel , think Hesperia far outshone term value money standard accomodation . 
 Jul 7 2007 	 Met expectation 	 stay Hesperia family vacation early July . since travel curious toddler , want pay much US $ 200 / night tiny non - air condition room peel wallpaper dingy floor . also want large private bath location close public transportation many tourist attraction . research hotel month , decide book standard double room Hesperia use discount online booking agency overall hotel meet expectation . good : great location across street Victoria station within walk distance Buckingham Palace , Westminster Tate Britain . quiet spacious room face back large double bed , good sized bathroom strong shower . breakfast excellent ( include rate ) . housekeeping , concierge front desk staff attentive , restaurant staff friendly . air condition quite effective cool room . free wireless internet access room easy use . positive nice toiletry , in - room safe , LCD tv many channel , complimentary coffee , tea hot chocolate . bad : reviewer comment , front desk difficulty understand pillow choice request housekeeping figure bring wrong pillow . one day housekeeping forget empty bathroom trash another day replace drinking glass obviously use dirty glass . check , front desk ask would like paper mention would charge 65p weekday 2 pound Sunday paper , quite surprised 5 pound ( be US $ 10 ) charge 5 paper check out . I would recommend hotel , would stay Hesperia London Victoria . 
 Jul 5 2007 	 not get room front ! 	 second visit , last review give 4 . 's still convenient , bright modern time experience problem : seem last time housekeep not & quot ; accidentally & quot ; forget put mattress cover base sheet . apparently , be . , see top bare mattress pillow flimsy sheet top . expect lay sheet duvet top . solution ? grab duvet bed lie top . not strike hygenic way make bed ! meal restaurant pretty empty . however service inattentive . call waiter drink , desert menu , coffee , bill etc . proactive . finally , bad . stay must request room back hotel . front overlook station not bad . however , also overlook station bin / garbage area . work midnight . scrape floor , shout , beep beep machine . start 6 am . Aaargh ! 
 Jul 4 2007 	 good location lack little warmth character 	 choose hotel due 's location good . clean , modern fresh inside not really offer personality . staff polite , not extend welcoming warmth . bed comfortable room satisfactory . 
 Jun 15 2007 	 like 	 Stayed weekend , reserve twin find arrival allocate double , staff 's English not good sort fairly quickly . room situate 5th floor look train station noise station negligable . room modern , quite spacious , bed good size comfortable . bathroom good size , power shower . not use restaurant facility hotel comment . hotel excellently locate tube , couple stop Westend . park carpark station close hotel cost £ 40 weekend . enjoy stay hotel would stay . 
 Jun 4 2007 	 Fantastic 	 yes Location Location LocationThis hotel much well expect , room well kitte clean . nice little touch bathroom like shaving kit comb well usual soap shampoo . it look like room newly refurbish modern flat screen telly sky channel . we eat restaurant look nice clean . bar price London fantastic £ 2.30 gin tonic . the Swimming pool Health suite little date could refurbishment find hotel facility behind Victoria Station . we actually pay £ 100 night happy not think would pay more . staff friendly would definately stay 
 May 31 2007 	 Location Location Location 	 hotel easily accessible attraction site London hotel step away Victoria Rail Tube station . arrive England Gatwick Airport take Gatwick Express Train London quick 30min ( nonstop ) ride Victoria Station . hotel staff helpful kind . accommodation standard , comfortable , except room temperature . weather outside quite cool , require light jacket sweater stay comfortable , opposite sauna room . mention heat staff suggest keep window closed order air conditioning work , ' help bit . remove clothing enter room restbreak site see . relief get heat evening , cool London air fill room window open . overall would still recommend hotel due prime location , maybe luck air conditioning bust room … 
 May 1 2007 	 A1 Hotel great location 	 wife enjoy 3 night stay Hesperia Victoria find offer excellent value money . cost pence £ 300 three night two we double room one large ( comfortable ) bed ever ! room 7th floor rear hotel . whilst view not wonderful not spoil stay . room large , modern , comfortable spotlessly clean . flatscreen tv wide range choice picture crystal clear . well stock minibar provide useful space fresh milk ( supply ) tea / coffee make facility . plenty easy use wall socket electrical equipment . stay warm weekend room always nice refuge - air conditioning really effective controllable room window open easily additional comfort . bathroom roomy , clean tastefully decorate ( indeed main room ) . large bathtub constant supply hot water well effective shower . towel change daily . room service reliable quick . Courtesy newspaper available breakfast Reception area . self - service breakfast include tariff choice plentiful suit taste . opt English breakfast morning find well cook tasty . also wide choice fruit , cereal , cold meat , etc . staff hotel friendly helpful . hotel part Spanish own group many front desk restaurant / bar staff spanish - good English . the location hotel ideal we across Victoria Station Underground . also ticket & quot ; Wicked & quot ; Apollo Victoria 2 minute walk away . , many , quite bit walk . Westminster Abbey Parliament , example , leisurely 10 minute stroll . can not comment leisure facility pool not use ( forgot swimwear ) guest speak positive comment . I highly recommend hotel . will back next time London - count ! 
 Apr 13 2007 	 wonderful experience ! ! 	 absolutely recommend hotel ! husband visit London first time stay hotel last year great experience . hotel clean , room stay roomy comfortable . breakfast buffet delicious . People work front desk helpful give we info . location great , across Victoria Train Station . feel unsafe area . 
 Apr 9 2007 	 Perfect ! 	 return 4 - day stay Hesperia perfect every way . stay double room find rollaway bed daughter already set room arrival . decor room tasteful , thick curtain fully able block light . despite construction work outside room , never hear noise . we find staff pleasant manageable level English . hotel location great arrival coach Victoria coach station . also easy find underground use National Rail Platform 1 Hudson Street Exit . the bathroom clean comfortable , particularly nice little soap . we book wotif.com good deal , although breakfast include . however enjoy easy breakfast starbuck , station even mark spencer opposite . point - room temperature hot ! find sleep airconditione room heat uncomfortable temperature . notify reception desk checkout seem like great waste resource heat room cool again . otherwise top mark perfect stay . 
 Mar 27 2007 	 favour ....... ! 	 book single room 3 night travel website . arrive early morning hotel fly Sydney . show immediately room . sensational view . stay 3 night full cooked breakfast morning . also free wireless internet access well great . the staff helpful attentive . despite hotel directly across road Victoria Train Station noise , handy location . I would highly recommend hotel . 
 Mar 4 2007 	 good hotel ! ! ! 	 really like hotel . 's good tube / rail link , although 's station noise early morning . the food good , plenty choice , room nicely decorate , although could done bright light read ! ! thank staff , friendly helpfull , really enjoy stay . 
 Feb 28 2007 	 Great Hotel 	 stay hotel long weekend great experience . reception : check time 2 pm arrive 10 am morning . give room immediately receptionist informative courteous . room : room nice . experience problem drainage dirty / unuasble window . leisure : section let hotel . men change room bring date . unlike rest hotel change room clean regularly ( often ) pool look lot big website actually be . overall : good experience . good 4 star hotel . location : little tricky find . arrive train / underground ( else walk victoria station ) , follow platform 1 - 8 sign national rail , get section follow exit sign Hudson Place hotel directly across road . 
 Feb 11 2007 	 Excellent room 	 central location minute Victoria bus station railway station , though take we little find since back street . room expensive side , £ 79 internet booking service , double room superb offer . Breakfast include though , kind eatery right around corner Victoria station . 
 Jan 30 2007 	 bad could lot well improve little problem 	 stay hotel many time 2006 . staff always pleasant occassion enjoy stay . hotel market 4 * small little thing let : * room normally hot a / c rarely work - either quiet hot open window - get air get noise * window always filthy - never know clean 2006 * clearly drainage problem - especially low floor water not drain away properly . * tv 's ( plasma screen ) always badly tune be guess game see 's channel - many snowy well . * health club ok little small - 's always quiet tho . male change room pretty gruesome - dirty break tile - clearly drainage problem worse anywhere . I free upgrade executive room apart bathrobe could find nothing different normal room - certainly would not pay extra room . the Hesperia bad hotel attention small issue would far well position true 4 * hotel Victoria area . 
 Dec 8 2006 	 Nice Hotel Convient Location 	 wife stay hotel , 4 night Thanksgiving . Hesperia conviently locate across Victoria Train Station . bed large warm inviting comforter . build construction next hotel , create morning noise . we upgrade jacuzzi sweet , wich also include seperate rooom couch , desk din table . would reccomend price difference smallthe morning breakfast nice , coffiee cup fill quickly , fruit fresh . rest food rather bland . we find staff helpful need . room clean every day , evening supply choclate room . the Hesperia location offer quick access train tube . bed comfortable , Breakfast convient necessarly special . really mission element make say WOW ! would give excellent rating average . 
 Dec 4 2006 	 great place stay 	 great location - right next public transportation . good service , fun hot tub pool . bad thing AC leak room , room big , comfy , clean . would definately go back ! 
 Nov 24 2006 	 need ! 	 book Hesperia London Victoria Theatre Break see dirty dancing great stay . hotel convenient sight 30 second walk train/ tube ! room clean tastefully decorate flat screen tv excellent shower . trouble noise - face station 6th floor room decent view . arrival notice window would not shut properly , read review thought would take age fix . however , maintenance guy room within 5 min , really friendly polite fix problem . hotel staff polite professional time problem understand anyone . a wide variety food offer breakfast cover taste , pleasent surrounding . the bit hotel stop give 5 5 leisure facility . change room bit grubby pool small inviting . however briliant stay good modern hotel would definitely stay ! 
 Nov 13 2006 	 fantastic location great hotel short break 	 book part theatre break could not believe luck see price ! get 2 night theatre ticket £ 175 worth checking offer hotel think get bargain . location great - right across road Platform 1 exit Victoria station . great come via Gatwick Express easy use tube . lovely breakfast . clean compact room , decent shower . room noisy l say view not matter tend sightsee London never room long ! ! nice meal good service restaurant . bar area bit bare cosy ok drink two . not see pool facility can not comment l would recommend hotel would stay . 
 Nov 8 2006 	 nice location terrible hotel even bad staff . 	 shall start bad point stay- upgrade room arrival executive room expect good standard . get room light shower hall work , also rather unpleasant smell urine air conditioner leak , leave pool water floor girlfriend slip nearly fall . obviously complain demand another room ; tell staff ( none speak good English ) room available . settle get maintance fix fault , eventually 3 phone call , pleasure watch maintance guy work girlfriend try enjoy meal room service . not worth call not bulbs anyway still leave look forward shower dark . add bonus smash bulb try replace , leave glass floor partner cut foot . complain manager finally new room ( magic ) available move . new room ok assume look view building site loud noise train construction site . there however numerous thing go wrong , far many mention . ( stay 2 night ! ) many thing go wrong verge move hotel , stay long 2 night would check out . the major fault hotel staff , quite frankly rubbish , yet stay anywhere large collection incompetent people small area . as say none speak English , capital city England good . there also seem clear lack management customer skill staff , include manager . we submit complaint departure demand someone management call email we response complaint . yet hear nothing . ( 4 month ago . ) good point – locate right outside door Victoria , good . ' . advice , stay well clear hotel ! favor stay anywhere else . 
 Nov 1 2006 	 Excellent Hotel 	 choose hotel location go Orient Express Victoria Station , literally across road station & amp ; exit near departure lounge Platform 1 . really impressed modern & amp ; clean room tastefully decorate & amp ; staff friendly . would definately stay . 
 Oct 24 2006 	 great location okay hotel 	 hotel conveniently locate . fly Gatwick take Gatwick express directly Victoria Station . hotel literally next train station . we train street noise issue . , day . construction go right next hotel well , be plan spending time hotel day , might place you . like many hotel , wall bit thin . , really not issue noise . room clean . water pressure good . water drain well sink tub . toiletry smell good , subjective . from hotel , walk everywhere . within 5 - 10 minute walk , could go Buckingham Palace , Westminster Abbey , Big Ben , Parliment . within 20 minute walk , could go Trafalgar Square , Picadilly Circus , etc . moreover , train station , great access bus underground . also , grocery store station Marks & amp ; Spencers . great place pick quick cheap food well big bottle water . I would stay price location . certainly luxurious , be bad either . 
 Oct 23 2006 	 short sweet 	 Stayed 1 night hotel . hotel less 12 hour , first time user offer upgrade arrival . Executive Rooms well equip flat screen tv , Wifi access usual bit . would return hotel hope stay long sample facility hotel . 
 Oct 17 2006 	 need catch sleep ! 	 base early review colleague book conference - not fall trap.- bedroom invariably noisy ( hear train , station announcement all - night rubbish collection ) - dare not open window room also stuffy.- bar small , no - smoking area . tv seem SkyNews loop - distracting -and one CD.- wine overprice quality ( £ 16 Rioja would pay £ 2.99 Aldis ! ) - swim pool tiny ( gym closed reflooring can not comment ) - signpost food refreshment conference area poor- pre - theatre dinner menu limited choice - none good quality ( appear luke warm well . ) . way get 5 portion fruit veg.- tv good size guyess channel radio . there water room , although kettle tea + coffee . on positive side toiletry good . room contain iron ironing board well trouser press , two hairdryer . buffet breakfast lunch lot palatable dinner . but consider price , woud recommend stay pay ! 
 Oct 15 2006 	 great value great service recommend ! 	 friend stay Hesperia Victoria first weekend October delighted service , room location hotel . room modern clean , bed comfortable everything work . the breakfast excellent , choice cold hot food plus yoghurt , toast , pastry cereal . coffee great , little dissapointe spanish hotel chain , everything else make small oversight . free daily paper available reception area enjoyment guest . we book throught hotel 's website get really good reate ( £ 79 + vat , include breakfast ) , bad 4 star hotel . great location Gatwick theatre . will stay hotel next visit London . 
 Oct 10 2006 	 would go 5 star well ! 	 stay Hesperia Victoria couple night delight . want close Victoria ideal - behind station . worried might noisy not . however , may lucky - sixth floor back hotel not get traffic noise station . can not say would like low front . the room lovely - good size , especially London . clean well appoint . bathroom good everything work well . breakfast lovely , plenty everything fresh . visit worth go restaurant , visit restaurant not stay . standard menu quite expensive , wine reasonable . excellent pre - theatre three course menu , choice three dish course , quality food excellent extremely well serve . also impressed efficiency staff throughout . seem Spanish , suppose would expect spanish chain seem learn English , polite , friendly efficient . would not hesitate stay . 
 Oct 8 2006 	 Great Hotel shame staff 	 reading review hotel prepare problem staff . yes get problem start staff book 4 room name could not understand need 4 room do not save 4 room even think book 4 rooms.3 double 1 twin get room 1 double 3 twin went complain tell sorry room available explain want double kept get double want say be not any . the room right 1 night clean tidy pleasent . food great get good deal website room £ 79+vat include breakfast upgarde get £ 15 include bathrode big room drink chocolate . I would recommend hotel would advise anyone stay make clear possible want do not accept always way round . 
 Oct 6 2006 	 great location . poor service poor attention detail . 	 hotel right across Victoria Station conveniently locate . 's good news . air condition not work put 2 service call 4 night stay . difference could tell fan get progressively noisy . guess background noise make easy sleep . wireless internet unavailable spotty . Maintenance work 7 be 5 pm nobody property know reset router maintenance would problem . visit call front desk show concern sense urgency . the bad part : charge equivalent $ 7700 4 night stay around $ 1100 . unable provide detailed bill checkout tell account pay full . finally give get receipt bill get airport time . argue say charge anyway ? upon arrive home notice overcharge $ 6600 visa statement . contact hotel email , corporate office email , call several time week charge still process credit . file formal dispute Visa fill ton paperwork nobody hotel concerned expedient issuing credit . stay away WHOLE HESPERIA BRAND NAME opinion . nobody within whole chain sense urgency matter concern whole Hesperia brand like . first last stay Hesperia hotel . 
 Oct 4 2006 	 good value clean hotel 	 stay two night Sept 9 - 10 . reviews target , smallish clean recently renovate room . a / c cold , like . stay week construction noise rear may issue , ask room away plan sleep late . pillow menu nice touch . great breakfast , friendly staff , great location across Victoria Station . good rate hotel web site . 
 Sep 18 2006 	 great location need 	 look reasonable hotel one night stay London go event Battersea . choose Hesperia read review really glad make choice . location wise right next door Victoria , need worry train noise . staff fairly good general look hotel clean new . room ( £ 98 double ) reason size central London . bathroom good , shower bath . bed extremely comfortable curtain block light come . overall pleased hotel , especially due closeness Victoria subesquent link around London . 
