great 	 husband stay Hilton London Kensington stay London last week . fabulous hotel ! give corner room large room clean comfortable . near tube Shepherd 's Bush walk distance hotel . Westfield Mall nearby shopper 's heaven ! high end regular store ton place eat . husband eat Byron serve burger . food service great . little pricey everything London pricey ! would definitely recommend hotel anyone travel London first time . easy access tube bus , taxis everywhere safe neighborhood ! one negative thing inter 
 small clean . good location . 	 overall , decent hotel . room small side family 3 . clean . good breakfast . location ok , good . 10 min walk tube shopping basic ( well upscale mall ) . 
 wish not bother 	 wife stay Hilton Kensington last weekend ( 27 - 29th Nov 09 short get away busy job . decide stay ta Hilton excellent stay one Hitlon hotel Glasgow ( get engage ) . unfortunately extremely disappointed several aspect stay . select non - smoking room , however room ( 2063 ) receive corridor smell badly cigarette smoke . rang duty manager pleasant offer we two solution - room freshen and/or move room next day hotel fully book . book 2 night stay breakfast one eveening meal . go restaurant ( busy ) show table completely set . Glasgow experience anticipate buffet style meal variety choice . however disappointed find extremely limited unexcite set menu ( need highlight Hilton 's website would probably book without evening meal include ) . option upgrade meal , however supplement question quite exagerate ( example 13 pound go grill chicken dish 15.50 approx al carte menu ) .My wife opt vegetarian option set menu ( vegeterian ) . spinah ricotta tortolleni extremely balnd disappoint feel tesco brand fresh pasta sauce would exciting . wife choose bread butter pudding custard desert . highly disappointed . bread butter pudding dry nothing compare make week previous . custard taste school dinner like certainly powder base . starter bland water ' fresh ' pea soup . main 8pound supplement ( 21.50 la carte menu ) West Eleven ( restaurant name ) fish chip . plate arrive mountain chip , 2 small piece fish ( apparently turbot ) stne cold mushy pea . chip nice tartar suce , whole meal boring . choose set menu lack good choice . dessert mean white choc cheesecake - however available opted stoffee pecan nut cheescake . also bore . summarise meal would say waste money service certainly 4 * .That night go relax room plan busy Saturday . however , sleep 12.30 heard group girl bang door enter room next ( 2061 ) shreke screaming . understand noise , however girl continue get loud intermittent screaming , loud laughter , music , slam door run corridor . continue approx 40 min feel choice ring reception . agree speak rowdy guest . 5 minute later hear member staff knock ask girl kindly keep noise . obviously do not care door close start louder ever . 40 minute later another staff member knock door ( have not make second call assume someone else complain ) . staff member ( introduce manager ) ask quiet . must wait outside room soon knock door inform would leave ahad warn . unfortunately , gril continued ruin supposedly relax stay . end get sleep well 3 am . follow day extremely tired wife decide speak manager disappoint unrelaxing night . duty manager ( female ) helpful understanding say unfortunately unable deduct anything bill pay advance , tell would speak manager could compensate we lose night sleep . return hotel long day give key new room ( 7061 ) size previous room ( relatively small ) , mention make time would compensated previous night . follow morning , relax night 's sleep , go breakfast tell could avail executive lounge , obviously do previous day way compensation unfortunately communicate we , although enjoy relax breakfast lounge , know access previous evening could make use could enjoy complimentry drink canape would feel adequate compensation previous night unfortunately due poor communication feel poorly compensate dissapointing night . on second night go restaurant recommend concierge ( Edera ) - good overpriced lack adequate portion . the hotel situate well original tour bus stop directly opposite hotel . hotelw close shepherd bush tube stationa nd large westfield shopping centre . we come home trip without relaxed overall stay disappointing do not think could could risk book Hilton hotel clearly consistency . 
 good location great service small noisy room 	 Hilton everything right except guest room door slam shut loud enough wake sleep . return London shortly stay repair . this short walk Shepards Bush underground station new mall . 
 May 7 2009 	 absolutely brilliant 	 come back stay Hotel . husband stay one night . book hotel londontown.com get £ 65 per room per night include breakfast . would definitley stay would recommend anyone . service brilliant room compact clean . great experience round . 
 May 7 2009 	 seventy five pound 7 day internet access ! ! ! 	 first stay hotel . location perfect business take West hotel good middle distance Heathrow Central London . properly call Shepherds Bush Hilton give 's location . the staff friendly upon check . however could not believe want 75 pound internet access ! eventually end pay exhorbitant amount . give incorrect advice reception access span two half trip ( check weekend ) get Supervisor review situation . end upgrade Executive Room access internet room plus access Executive Lounge call next evening say have make yet another error although could internet go access Executive Lounge . experience Reception staff look find way blame customer mistake . one towel nasty big handprint - look like someone motor oil something hand ! inform Housekeeping . the Restaurant lovely service little uneven quality overall friendly portion good . spanish theme Tapas good . the bed comfortable Room Service prompt , friendly food pipe hot . overall well hotel leisure rather Business seeming cater large tour group sport fan rather business traveller . 
 may 6 2009 	 wonderful place stay 	 recently stay hotel 3 day stay . room neat clean , staff pleasant . bar area great , food drink reasonably price . resturant nice , breakfast morning buffet various thing choose . please stay . 
 May 1 2009 	 lovely hotel great breakfast ! 	 stay hotel weekend March . room clean comfortable . breakfast great plenty choice good service . food bar lovely . location good , short walk Underground . thing prepare high car parking cost £ 30 per 24 hrs . 
 Apr 28 2009 	 great hotel - stay 	 stay hotel 14th April 09 think great . check - in staff friendly give choice room . call room 15 min check ok . room everything need tastefully decorate . view not great not bother lot work ! eat restaurant - WestEleven evening . opt £ 20 menu 3 course . food ambience perfect . buffet breakfast also nice – load load choice great healthy option . hotel situate perfectly Westfield Shopping centre - 5 minute walk . underground near . travel alone feel totally safe hotel surround area . would definitely go back work pleasure . 
 Apr 23 2009 	 great service location 	 hotel clean welcoming . check staff friendly . bed good , however staff able find we well bed . breakfast great . location good area far central london . bus stop right outside mall close . laundry facility site . one close , & quot ; good & quot ; . would stay hotel . 
 Apr 21 2009 	 small room clean good location 	 location great , easy & quot ; tube & quot ; access ( Shepherds Bush ) . many restaurant close . room small barely enough room walk around bed . window look right room close proximity . bed bit wobbly . closet space limit . room hot arrival due sun exposure , A / c work well get temp sane level hour . due space , tv mount wall corner room . reasonable quality lot channel . Desk space limit internet access expensive ( 15 pound per day ) . bathroom small functional . Shower stall small limited ceiling height . lot small detail problem : alarm clock work , shower head quite right , musty smell hallway , nothing major . 
 Apr 18 2009 	 problems WHATSOEVER . 	 stay 20th March 2009 3 night . room 4th floor , Kingsize bed , widescreen t.v . bathroom bath overhead shower . ( crabtree evelyn toiletry bathroom ) clean perfect . check - in staff accomodate efficient . doorstaff attentive helpful . breakfast excellent , include omlette bar . plenty choice health conscious option , case . ( full english 3 morning ) would certainly stay , would problem recommend hotel anybody . can not wait next year London weekend break . Age party 45 & amp ; 49 . 
 Apr 17 2009 	 good mostly bad 	 recently stay 4 night wife Easter . hotel good point mostly dissapointe . whether location good highly dependent look . hotel central - fairly quiet residential area Holland Park Avenue . close Shepherd 's Bush tube station Central Line ( Tip : Hilton website tell near Holland Park tube station , sorta , Shepherd 's Bush much close ) .and right next bus stop ( Tip : take bus Camden . take age unpleasant trip . hand trip Victoria Marble Arch much pleasant taking tube ) , get anywhere London pretty easily , want walk distance major tourist area hotel . hand close Notting Hill Portobello Rd , also right next huge impressive new Westfield Shopping Mall definitely worth visit want shop . get usual main street shop , plus decent restaurant . us location fine . the hotel pretty drab , reminiscent railway station busy . build flat ugly , Lobby attractive . clean modern , ... blah . room TINY . even London standard . barely closet - enough 2 coat , maybe suit dress . virtually draw put away clothe bad still nowhere put suitcase ( live anyway ) . bathroom microscopic . one problem - room well ventilate . could not believe fairly chilly weather ( 5 - 6 degree night ) window open , heat STILL STUFFY HELL . hate sleep AC , be force . fas cleanliness decor concern modern , clean pleasant enough . not crazy bed . regular double ( could not fit anything big room anyway ) way springy . felt like foldaway . they internet hotel , expensive - 15 pound per day . ( Tip : get prepay wireless dongle T - Mobile 30 pound , plus 10 pound week access give 3 GB per day ( plenty ! ! ) . total 40 pound , worth 3 day stay . ) Breakfast include mixed blessing . ok , Easter hotel pretty full , think inexcusable stand line 30 minute get table . not crowd , not enough people clear table . god 's sake Hilton , put enough staff duty busy period ! ! ! food adequate . nothing spectacular , adequate . guy make omelet , choice pastry , fruit , bacon , sausage , etc . not eat meal hotel , use facility . bar lobby seem quite lively . we pay 110 pound per night include tax , pretty much spot term value . word , expensive city would hate pay place . fact , would put hotel par Holiday Inn would generally expect pay bit less . not let Hilton brand fool , fancy hotel . 
 Apr 16 2009 	 Queuing Breakfast 	 Nice hotel nice location . room clean bit small though . bad experience queue 30 minute could get breakfast . staff utmost well clearly management mistake understaffe full hotel week end . 
 Apr 15 2009 	 good base great value . 	 well locate hotel , close Shepards Bush tube . get good deal - £ 100 per night 2 , B & amp ; b easter bank holiday ! room clean well appoint , large bed . gf also really like toiletry . breakfast excellent staff meet friendly courteous . recommend . 
 Apr 15 2009 	 nice location 	 Short review , much say , 's nice hotel , lovely location.helpful staff short walk tube plenty shop nearby . 
 Apr 14 2009 	 good location tiny bathroom 	 stay Hilton Kensington one night whilst location could really describe Kensington , still nice area . walk Holland Park tube station take past pleasant pub number cafe patisserie . Turn leave hotel practically Westfield Shopping Centre easy find thing locality . whilst location excellent room quite good . furnish nicely evidence substantial leak roof stain carpet look unpleasant . bed comfortable breakfast good . main complaint though bathroom . tiny . would usually bother small could barely stand shower ( 6 foot tall ) . really acceptable £ 125 per night . also noise seem travel easily room wake several time slam door night . get good room decent size bathroom hotel would good choice not would not incline return . 
 Apr 14 2009 	 good Hilton 	 bit nervous book hotel ' secret hotel ' Lastminute.com realise West end . Kensington say ! western end Holland Park Ave , near Shepherd 's Bush . say , need worried . hotel pleasant , safe area quiet even though hotel main road . close Westfields shopping mall , small local shop , good local pub & amp ; tube station . bus stop immediately outside front door catch variety bus west end time . ' oyster card ' bus journey £ 1 far interesting sit underground ! stay one night expect could walk Kensington quite easily . the downside we lastminute communicate reservation hotel arrive ! could problem hotel busy luckily get excellent room even well price ( approx £ 60 - bargain ! ) . receptionist deal good ever come across , sorted problem little fuss . staff 5 * attitude least bit stuffy . also eat drink without take second mortgage . the hotel pleasant atmosphere staff brilliant - friendly . else would get friendly ' hello ' walk door large city hotel ? ! everyone come across helpful efficient . room huge clean , comfortable adequate . well fact many room much high price . would certanly recommend hotel return future trip . 
 Apr 11 2009 	 Excellent hotel great location ! 	 stay Hilton London Kensington three night Easter week . find hotel hhonors.com web site , book read positive review Tripadvisor.com . even nice comment fellow reviewer , still positively surprised . hotel really live expectation . check - in courteous quick . arrive hotel 11 , give room straight away . my room 3rd floor , overlook mechanical plant roof . much view , problem either . room ok sized working desk , king size bed lounge chair + small table . quite comfortable clean . décor modern comfortable . also flat screen tv , although picture quality somewhat poor . spotless bathroom standard fare bath tub . large safe room . able fit wide - screen laptop + camera equipment easily . breakfast serve chic WestEleven restaurant ground floor . buffet plenty choice make - to - order omelet pancake . real nice start day . the location hotel great . ' five minute ' walk Shepherd ' Bush tube station quiet residential area . ( note other navigate tube station hotel first time : hotel side large roundabout . walk _ leave _ side roundabout get hotel . take minute figure street find route hotel . ) station serve central line , offer good access almost tube line . hotel less two mile Paddington station , arrive Heathrow Express , short cab ride station hotel . next Shepherd ' Bush station Westfield London , huge , brand new shopping center . provide excellent shopping opportunity , also excellent super market good selection ready - make meal take hotel room . my complaint hotel lack available power socket working desk area . unless unplug desk light alarm clock , power socket available gadget . typical problem hotel build emergence laptop , cell phone forth . major problem , need charge phone , laptop camera time , organizing do . all , really like hotel . ' pretty sure return next time ' London . ' happy recommend traveler , ! 
 Apr 1 2009 	 fantastic 	 husband stay Hilton Kennsington England France two week . try stay London day way back Canada . stay next trip . minute walk door feltwelcome . room comfortable fresh fruit wait we real treat . spend day travel . breakfast morning well ever . good Omlette ever coffee great . Canada , love Tim Hortons . bed comphy , sleep like home . look front hotel nice quiet . staff great helpful . can not wait go back . know get Christmas year . oh , way great door man , go love . 
 Mar 27 2009 	 clean comfortable stay Hilton Kensington 	 stay Hilton Kensington 3 night base London city break . travel hotel use Underground , near stop Shepherds Bush short walk away . check fast efficient , room small ( typical London ) clean recently refurbish . king size bed , flat screen tv , internet access ( charge locally ) , bath shower nice view park opposite . not pay breakfast overprice walk Westfield excellent Shopping Centre morning food . fault room quite difficult sleep mini bar buzz strange sound high powered water go night .... walk around London though become less less difficult sleep ! 
 Mar 24 2009 	 great hotel great location ! 	 stay hotel two night February 2009 really impressed . location Holland Park Kensington also handy Notting Hill hotel less 10 minute walk Holland Park underground . 's beautiful part London would love long . room lovely tea coffee facility really comfortable bed breakfast buffet immense wide range option . room not cheap luxurious worth nice weekend away . 
 Mar 22 2009 	 Fantastic ! great room location ! 	 Fiance book stay Hilton 2 night March . do not pay full price room , Hilton offer staying hotel weekend . pay £ 120 two night two people . the hotel situate Kensington Shepards Bush right across tube station MASSIVE indoor shopping centre , lot place shop eat - very market ! ! stay Kensington area evening lovely place eat , nice quiet pub . venture Shepards Bush once - be scene , come across bit rough day , full young kid hoodys .... bit intimidate day nevermind night . on arrival greet door man well speak polite . our room sixth floor , book double room , bed enormous . easy kingsize , lovely feather pillow duvet ! fridge everything it - very highly price remove something look get charge whether it - tell reception check remove bill . fridge also warm ? ! ! big phillip plasma screen room , spacious table mirror , kettle , coffee tea sugar biscuit everyday , good hair dryer , iron board iron , spacious wardrobe shelf , lot cupboard space , lamp . bathroom lovely , clean . the breakfast fantastic , everything could want , hot cold food available . breakfast include price , £ 20 otherwise - bit steep ! great place stop two night , would probably stay , not know would pay full price around £ 120 per night stop ... one snag - the air con break , blow cold air much . room hot - hotter abroad , find hard sleep . technical fault fix check . also , internet £ 3 15 minute ! 
 Mar 12 2009 	 certainly 4 star hotel wounderful food service 	 wife , son stay hotel march 2008 2009 , room accomodate 3 we even though large . room impeccable bed comfortable . food worderfull breakfast dinner . meal plan bargain . hotel staff helpfull nice . location great since 5 minute walk subway ( Holland Park station ) enjoy 2 decker bus ( 94 ) bring downtown london pleasant way since ride along marble arch Kensington Hyde Parks . since bus 94 run 24 hour day stop right front hotel door , safe way travel downtown london even night . in summary , great hotel reasonable price Londopn , great staff , great food great location make 2 trip London worderfull experience . recommend hotel anyone need stay center city 
 Mar 4 2009 	 great value London 	 stay Hilton girlfriend February 2008 . London 3 night Hilton group half - price sale equate pay around £ 65 night per room include breakfast . price pay level discount would definitely recommend hotel . full price , would not averse staying think strong contender there . the review hotel seem vary quite significantly unsure expect . everyone entitle opinion , find conflicting review confusing , particularly appear factual matter location distance near tube station . thought would try clear issue , particularly familiar London . essence need define want trip . look stay London not mind take short tube bus trip West End hotel fine . outside zone 1 tube consider cover Central London . central line Shepherds Bush Holland Park take directly Oxford Circus Tottenham Court Road 5 6 stop away . area feel safe night shop pub cater Shepherds Bush Holland Park , even neither area offer much tourist . really shop , location unbeatable Westfield Centre short walk road include high street chain lot designer store well number restaurant . however look stay slap bang centre London tourist attraction easy walk distance , hotel suit you . if look stay Kensington , also worth point Hilton group 's definition Kensington obviously broad mine . hotel Kensington , border Holland Park Shepherds Bush . rename reflect really . hotel website also direct hotel Holland Park tube station 10 minute stroll along Holland Park Avenue . although pleasant approach hotel , not near tube stop . Shepherds Bush side roundabout . reviewer say near tube long way . ' m sure Shepherds Bush shut renovation shopping centre build , fair comment long . close hotel would build underground station ! hotel ok . busy warn not thing . large queue breakfast Saturday Sunday , although feel staff manage queue well , offer orange juice wait . also give we prior warn we check - in offer guest bribe glass Bucks Fizz go breakfast 8 am weekend . go around 9 wait 15 minute seat not bad . buffet service well stock time . minor irritant wait someone come table order tea coffee . sheer number mean often wait age someone ask take initiative find staff member . quick suggestion Hilton : not get person show table take tea coffee order time ? upgrade room separate breakfast room queue day far could see . the bar fine although little pricey would expect hotel bar . standard room . quite small perfectly reasonable clean . bathroom small shower good . perhaps spend lot time room might want upgrade ok we . the drawback heat . temperature fine communal area downstairs room landing floor feel warm . guess personal thing sleep window open leave open day keep temperature reasonable . we good experience hotel . price pay , would struggle find anything similar standard London especially inclusive breakfast . value exceptional . say full price happy stay anywhere London , could probably take pick chain hotel ' m yet see anyone outdo City Inn Westminster sort budget . 
 Mar 4 2009 	 actually good - ask good room ! 	 read review nervous booking via lastminute.com one Top secret hotel ( easy work hotel get check nearby restaurant ! ) get good price - £ 138 two night . good price London 6 tube stop ( 18 - 20 min ) Oxford Street centre London attraction sight . ask refurbish room King Sized bed check get one ! room top floor , modern good size wife . assume reviews un - modernise room single room - lovely . travel lot part job room typical Hilton everything need room , functional bathroom shower , LCD tv modern decoration . could control air conditioning room iron , iron board , tea coffee making biscuit . request change towel bed sheet - part planet saving / cost saving measure - ask get do . issue . take gamble thought might poor room - basis would simply use base explore London sight . , , pleasantly surprised . staff hotel helpful , welcome impose face often . not eat drink hotel want explore , comment . bar restaurant look fine though never see queue breakfast pass restaurant entrance morning . lift work internal decoration lobby reception good . location hotel fine . within walking distance major attraction except Westfield new shopping centre - think indoor shopping centre triple size ! new major High Street shop . also lot bar restauarant want travel tube something little different centre . walk tube station ( Shepherds Bush ) take 5 minute - even lugging case see Hilton sign soon step tube station . SB tube also new modern . know review poor . however , room modern clean . everything work perfectly need ask nothing . phrase go , not ask not get - clear check type room would like . relax stay , happy travel tube day see sight ( Zone 1 & amp ; 2 day pass cost £ 5.60 per person ) much plan 2nights/3days . advice , pay less slightly centre hotel spend extra seeing sight - get lot result . hotel excellent . make sure ask good room nice reception staff check .... ; - ) 
 Mar 3 2009 	 great central location good hilton standard would recommend ! 	 stay partner Jan 2009 part overnight stay london go see wicked ( incredible ) anniversary . book hotel last minute please . hotel lovely inside standard smart reception nice bar area attentive staff . check tell put twin room , however staff reception good change reservation king room ( inside room ) straight away . room good Hilton standard bed comfortable . issue shower wall mount quite low . ' m 5 ft 6 contort little get spray head like reviewer say , pay £ 10 pp additionally breakfast well worth despite breakfast sunday morning also , breakfast manager prompt efficient . we use Notting Hill Gate Tube stop near one- guess Hilton count Kensington , although access two kensington ( South Ken High St Ken ) tube stop look near attraction ...... despite , central zone , close tube room / breakfast / service great . would recommend ! 
 Mar 2 2009 	 love hotel staff fab ! 	 stay 27th february 3 night birthday celebration weekend . moment arrive experience extremely high level customer service , concierge ( rachid - amazing man ! ) , waiter , porter , reception staff ( gosia ) colleague . nothing much trouble . upgrade executive room find executive lounge perfect . friend birthday , surprise we wine fruit deliver room dinner bring cake sing happy birthday ! already recommend friend book go back may ! excellent Hotel ! 
 Mar 1 2009 	 9 10 ? 	 year ago stay Hotel courtesy special offer include famous Hilton buffet breakfast ( basically eat burst seam ! ) . remember think disappointedly , Hotel see well day - indifferent personnel , tired room , bathroom crack tile peel plaster ... also remember not hurry book another stay ! next year stay away Hilton group mainly distinct lack reasonable deal could get much well elsewhere internet . year need come London day January see chance , Hilton good weekend - only deal approx . £ 65 per night include full brekkie . great ! Adjacent Holland Pk . underground station central line , Hotel perfectly situate need previous experience , unsure whether stay spite cheap price . sometimes think 's well pay bit extra get bit extra quality return . must say , need not worried pleasantly surprised . intervene year , branch obviously major make - over . reception 24hr bar new smart . one side bar 4 pc 's quieter preference separate computer booth yard away . recall surf rate even extortionate usually ... can not remember exactly something like £ 3.00 30min , anyway lot cheap hotel ' ve stay , be sure ok emergency not notice internet cafe nearby hardly surprising Holland Park undoubtedly upmarket area . even bar seem reasonable price drink food ( include dessert menu sweet tooth like ) pack Saturday night . room newly re - furbish although small - ish ( bed take room ) , super - clean modern dark wood furnishing . bathroom also scrupulously clean . grumble shower - only , hence bath , small - ish bit space maneouvre would nice . however space abound shower take one whole side wall slide glass door completely seal heat moisture spotless - crack tile , rust chrome fitting ( pet hate ) - perfect ! one good shower ' ve experience ! do high - spec - tap fixture etc Grohe , one good make bathroom . luxury toiletry Evelyn & amp ; Crabtree . breakfast .... well consist everything could possibly want spell disaster waistline ! name , be available . much little want . find Sunday obviously busy EVERYBODY want leisurely Sunday breakfast , not ? descended breakfast room queue right door , however go surprisingly quick keep wait long . largely due efficient breakfast manager keep beady eye staff not miss thing , also find time charming attentive guest ... something not see Hilton ( except Hilton Glasgow Grosvenor ) . food good , fresh standard add nice touch Omelette Chef cook egg order moment . side note , joker obviously turn toast machine way high soon air permeate smell bread burn absolute cinder people seem accept eat anyway instead turn heat ! something run , mention immediately replenish . free newspaper although bizarrely , unable find tv page . reason not one find annoying . nevertheless , say totally relax pampered weekend - totally unexpected . look something intimate boutique maybe not quite hit mark succeed much less corporate care small feat ! area pretty spot - on . 's 5 minute walk Underground several bus trendy Notting Hill area ( 1 mile away ) stop right outside Hotel hightly convenient . plus notice great tea - room inc . Patisserie Valerie ( nobody cake pastry well Brits ! ) , express - style Tesco 's supermarket ( although prefer Sainsbury 's ) , obligatory Pub sprinkle various funky shop boutique , brief stretch road Tube station towards hotel make pleasant walk window - shopping . believe go opposite way ut hotel lead recently construct shopping city call Westfield , however not explore ' m shop mall kind person , whatever shop . so vote ... give Hotel 9 10 . 10 10 ask ? perfection nigh impossible stayed , come pretty close : - ) 
 Feb 17 2009 	 Excellent location new shopping centre 	 typcial 4 star Hilton nothing ordinary . casual dine busy restaurant empty Tuesday night . thing miss room , bottle opener , toiletry comfortable enough . check - in pleasant efficient see queue quite frequently . gym small equipment good condiiton . the location Shepherds Bush overground underground line excellent , couple minute walk . hotel virtually across road new Westfield shop centre excellent ( De Beers , Tiffany , Dior , Prada well main high street store ) . 
 Feb 11 2009 	 normal Hilton Standards expect get grip Hilton Kensington 	 hotel Shepherd 's Bush Kensington , matter . partner decide stay hotel get last minute half price deal , birthday hotel leisure facility . first impression hotel good bad location , nice reception bar area modern clean . however constant que reception concierge desk regulalrly mean 10 -15 minute wait . staff friendly try hard , clearly enough they . the room clean , niclely decorate furnish , although room tiny without bath ! ! went use sauna steam room early morning , three hour due open neither warm . filthy dirty large build up body fat . poor lighting steam must covered filth well . clearly clean properly week month . immediately raise issue Manager agree filthy dirty state meant clean daily could see happend time . also jacuzzi water facility . gym small nicley appoint basic equipment . the Manager give we upgrade executive lounge breakfast , glad see 100 plus que standard breakfast lounge . the executive lounge two member staff clearing table work hard . ask side plate , glass , milk butter , really acceptable Hilton . the full english lacking , bean , hash brown poor quality bacon serve warm ! ! simply want room sleep night 's probably ok not mind quee wait long time cold Breakfast ! ! pay full price , would feel like Robbed ! ! previously stay Holiday Inn Kensington far superior every way . 
 Feb 3 2009 	 can not understand negative review 	 stay 2 night , get brilliant online rate stay executive suite . first impressionof room bit small executive recently refurbish clean big flatscreen tv nice decor well stock mini bar iron + board decent hairdryer ! ! ! go executive get acce exec lounge provide free drink food ( 6 - 8pm ) also get free breakfast lounge open 24hrs day get tea / coffee / cold drink , also be / pm bar serve drink food thought could do well decor find quite expensive find staff helpful . think stay hotel book online save lot money 
 Feb 2 2009 	 smalle hotel room ... 	 book one night stay Hilton Kensington end January . room one smallest ever , bathroom equally minute . however nicely decorate use base sightseeing . breakfast excellent inlude package price . hotel however near enough Kensington , however perfectly place new London shopping mall , five minute walk away . 
 Feb 2 2009 	 Average Hilton 	 book hotel end January 2009 good deal Lastminute.com , glad Hilton definitely low - end , standard Hilton 's ' ve stay before . having say , not bad , high standard expect . still beat Travelodge etc etc price good reflect . have pay full price though have disappoint . location otherside large island massive brand new shopping complex - Westfield - shopper heaven ! Shepherds Bush tube station brand new convenient . the 148 bus stop directly outside hotel also £ 2 cheap convenient tube get Park Lane / Marble Arch / Victoria etc . the standard room fairly small , everything need clean . however AirCon room either work basically rubbish , room hot uncomfortable first night , window open day 2nd day cooler follow night . breakfast nice , although busy queue seat , one stage probably 100 people queue ( luckily would get large group ) hotel fine get cheap , full price 's worth well hotel . 
 Jan 30 2009 	 business hotel poor Hilton standard 	 hotel somewhere would recommend anyone , particularly business traveller . build desperate need renovation , happen hallway stay . result , dust everywhere , lift break , force take stair . room clean enough , tiny - small ' ve see London . bathroom ridiculously small broken fitting , could hardly fit shower . shock find hotel offer wire internet access , despite promote wifi . Wifi available lobby , ' m hardly go hold webconference . ethernet cable 30 cm long , not allow move laptop around bedroom . pay 15 GBP daily wire internet seem excessive rather outdated . would happily pay amount wireless . I ' ve stay 3 star hotel much nicer , even 2 - star nicer . deserve 4 - star status . it particularly frustrating hotel staff ask opinion hotel checkout , reply honestly decidedly unimpressed , barely acknowledge response not offer apology . I will not stay ask company take preferred hotel list . 
 Jan 27 2009 	 Hilton Shepherd 's Bush 	 Hotel Kensington , be next Shepherd 's Bush train station . still convenient tube though . hotel service disappointing front desk initially refuse give we breakfast despite book form state breakfast include three time . eventually ask manager resolve this . bar disappointing draught beer available one night . room small fine clean . 
 Jan 26 2009 	 ok central 	 Kensington Hilton nondescript building situate edge central London . Kensington Notting Hill district within walking distance , anything else require trip taxi , tube , bus city center , take anything 15 30 minute . factor stay London tourist . however hotel significantly cheap hotel nearer center . find reception staff courteous helpful . public area spacious pleasant , discreetly contemporary design . room small rather drab furnishing carpeting . bathroom quite ordinary clean . quite ok , nothing special . use restuarant . internet connection available room scandalously high charge . typical british hotel -- Brits seem regard internet precious resource akin gold platinum , ration carefully expensively time . ( not even think use internet faciltie London airport ! ) bad , Hilton 's internet service puritanical cyber nanny block huge number website naughty guest . discover block art gallery website word & quot ; nude & quot ; appear site . curiousity try site clinical word like & quot ; scrotum & quot ; & quot ; circumcision & quot ; get block . make tyranny bizarre hotel provide pornography channel room tv , guest wallow depravity one medium . go figure . transport central London straightforward -- straight run Holland Park Ave Oxford Street . bus slow provide good view Hyde Park sight sit upstairs . taxis expensive . tube fiendishly complicate fare structure , unlike virtually every urban mass transit system world , charge distance rather flat rate . save hassle , buy Oyster Card tube station -- calculate price automatically save money too . tourist tip : double decker round - London sightseeing bus pick passenger opposite hotel -- excellent way visitor get overview wonderful city . take walk nearby Holland Park . lovely park originally country estate full charm surprise -- well worth visit ! 
 Jan 14 2009 	 Good 	 book hotel discount rate refurbishment work reception area review probably skewed fact price good ( high floor away noise ) . room surprisingly spacious . problem room : bed uncomfortable ( ask twin double ) ; Room well clean last occupant ( subsequent cleaning good ) ; Thermostat sensitive . otherwise staff speak helpful friendly . promptly get replacement extra fridge ask mini - bar fridge computerised can not rearrange . also familiar London hotel locate near Sheperd 's Bush underground new ( huge ) Westfield shopping centre . Holland Park tube away need walk Holland Park catch bus High Street Kensington . would probably well rename Hilton Westfield Sheperd 's Bush . 
 Jan 13 2009 	 pleasantly surprised 	 book Hilton Kensington short notice receive favourable nightly rate . assume accommodation would bog standard expectation particularly high . arrival , impressed facility hotel , nice bar restaurant , large reception area , shop , gym . check straightforward quick . room situate 7th floor . expansive beautifully decorate . also clean . staff friendly greet least 4 & quot ; hellos & quot ; route room front door . service breakfast excellent buffet well stock . not affect we , late riser wait table . hotel handy Shepherd 's Bush tube station - definitely close one . also large shopping centre across road . be look near shop eatery - , head past Shepherd 's Bush tube station will find shop restaurant . 
 Jan 6 2009 	 Hilton ? 	 hotel uphill 4 - 5 block walk near tube station advertise . hotel noisy locate intersection . clean need renovation . the restuarant price absurd ... even London . would stay worth $ 200/ night . think B & amp ; B would well next trip . 
 Dec 30 2008 	 business minded Hilton standard 	 stay 2 night conference London , second visit purpose . room small , shower bath . disapointe Hilton hotel . however clean comfortable . dinner include first night , small portion ok , nothing special . whole place seem revolve round business clientele , certainly would recommend couple break instance . be also long walk ( relatively ) near tube , especially 's raining . 
 Dec 27 2008 	 Kensington Hilton : OK 	 stay week 2008 Christmas period . Hilton Gold Member , opt free internet service rather breakfast . pay £ 15 non WiFi internet 24 hour would gall ' m always tired get stand long breakfast line . anyway , hotel locate right next new Westfield Mall Sheperd 's Bush , one hundred yard away . great shop several restaurant cover . head opposite direction ten minute walk be Notting Hill edge Hyde Park ( good power walk ) 2 minute away Holland Park upmarket neighborhood surround it . this Hilton modern feel , plenty room lobby bar / restaurant open hour . lift / elevator make dreadful racket be go , ' ve take vigorously cross time come go room . speak tiny space : 's room like ( 3rd floor least ) . queensize bed throw 's much room anything else except de minimis desk chest drawer . bathroom relatively tight well . sadly U.S. plug transformer Hiltons ( concierge toss one ask ) enough electrical connection general . 's well decorate mattress soft think water bed first . the gym , , smallish tv entertainment , couple treadmill , elliptical machine , be adequate . unfortunately 's underground window get go concierge time key . a nice touch free newspaper ( FT , London Times , USA Today ) entrance , presence sundrie store lobby remarkably well stock ( shoelace ! ) . couple concierge , one rude super - polite wife ask question , refer & quot ; Majesty & quot ; . stupid unecessary . pay £ 100 night average + 14 % taxis , right . would go back ? probably area interesting ( except mall ) . 
