contemporary 	 husband spend three night Andaz redemption Hyatt Gold Passport point , happy stay . offer coffee tea upon arrival . reservation order ( request early check - in book room ) non - traditional check - in process relatively seamless quick . early early check - in request , give we option wait room - with - a - view request ready take similar room ready internally - face - take ready , internally - face room . we enjoy sleek style lobby , traditional styling internal area hotel 1901 restaurant . decor room also sleek contemporary , bit dark taste window look internally hotel & quot ; courtyard & quot ; atrium ( know ahead time ) .The room clean , bed comfortable . bath okay ; shower 's water temp would fluctuate quite frequently seem lose heat shower progress . also , regular outlet bathroom except face shaver - provide hairdryer hideaway mirror vanity desk , would prefer option dry hair bathroom ; husband shave head electric head shaver bedroom instead bath . hear , little neighbor wall room ; noise hear hallway - door closing , clink glass / bottle housekeeping cart , etc . not overwhelming bother . compare hotel ' ve stay U.S. , turndown service pretty late evening - close 9pm . we not use workout facility , take tour impressed . gym relatively spacious , cardio equipment weight . steam room also , addition treatment room associate spa . the staff interact friendly helpful , provide information food attraction local area area London . we find hotel conveniently locate , right next Liverpool tube station short walk Spitalfields Market , St Paul 's Cathedral , London Bridge , etc . not fully realize area right around hotel mostly business - orient , shop eatery open later evening weekend . doubly - surprised hear Andaz 's restaurant also close weekend ( sushi place Catch ) . George pub open weekend , enjoy pint ambiance . Friday evening , late night dessert coffee / tea Andaz 's Eastway - sticky toffee pudding banana dish fantastic . we would definitely stay Andaz next trip London . 
 elegant hotel helpful staff . lay back feel . 	 spend 1 night andaz thoroughly enjoy stay . moment walk feel special , relaxed speedy personnal check process . room well appoint add bonus free minibar consist water , juice snack welcome surprise . bed comfortable room clean tidy . would recommend hotel perfect stay london 
 Jul 6 2009 	 great location 	 book one night stay - Saturday night - via Hotels.com - cost £ 130.only 2 minute Liverpool St Tube exit hotel see & quot ; Gherkin & quot ; visible couple street away . fantastic location Tower Bridge & amp ; South Bank 's trendy bar & amp ; nightlife . bit different check - in - could not see desk nobody someone appear informal standing desk area check we . stay special need room - although neither us disabled - guy check we take we ask we pull red cord - polite friendly service . bedroom top quality Queen bed , cool air con ( job recent heat ) minimalist decor - good 36 inch plasma . bathroom spacious bright wetroom shower . problem plug sink - small gripe really not bother call one . go couple hour come back someone room pull cutain re - arranged bed linen . can not say happy staff let room - black mark there . apart everything great . breakfast really good - smoke salmon & amp ; scramble egg - price £ 30 two not book inclusive b & amp ; b via hotels.com . I would recommend location friendly staff & amp ; quality room & amp ; bed - ask make unscheduled visit room ! 
 Jul 5 2009 	 Awesome Hotel - Impressive 	 find hotel Expedia think look nice perfect location trip , decide book . hotel City hotel lot business traveller stay weekday therefore rate double price week much cheap weekend pay full rate . go lobby hotel grand contemporary , staff check use handheld computer , complimentary tea , coffee fruit juice lobby well fresh pastry morning . we arrive early Saturday morning surprise husband sister stay hotel birthday , explain reception staff would arrive let we room surprise visit , accommodate helpful . also check time good 10 am . find staff nice not look nose we , read previous review . we ask arrive credit card give however not tell hold £ 75 leave not credit card ask pay £ 75 per night . get room nice , complimentary minibar however alcohol minibar . bed comfortable find rare hotel ; also lot pillow always good . room not view actually look Liverpool St train station not bother we , however morning could slightly announcement station . however husband ' sister stay another room floor although still nice not much character room . feel get value money however , pay high midweek rate would expect hotel . the location absolutely perfect see London choice 3 tube line go major sightseeing part London . defiantly going stay Andaz . 
 Jul 2 2009 	 Style substance must well option ? 	 arrive 10 hour overnight flight US , walk ' reception ' , look right see two guy suit , stand table play laptop . one guy turn head , look nose glass say & quot ; Hi & quot ; . & quot ; know reception ? & quot ; asked & quot ; & quot ; reply ( could not help think , reception hotel price , not turn towards properly , smile say something like & quot ; welcome Andaz sir & quot ; ) good start . after have finish check comment little confusing absolutely nothing mark table reception . he reply indignant tone & quot ; yes , different not & quot ; .Next , room , have give room face Liverpool Street unfortunately , go un - pack open wardrobe bad smell body odour . leave open see smell would dissipate 20 minute later change , call reception ask change room . it take quite ' guest service ' girl come call see happen . seem quite flustered arrive door say find another room ( hotel City really busy Saturday afternoon ? ) previous 3 week have stay hot & amp ; humid Houston , un - pack new room think would open window get fresh air . you actually call security get window un - locked , quickly throw window open enjoy cool early evening air . after watch tv realise someone must BBQ near smell quite intense however , walk window put head realise actually look roof Liverpool Street train station BBQ smell come exhaust vent Burger King station . needless say , close window 's way stay rest week . the tv give problem , would intermittently flash big message screen & quot ; Sky Box need re - boot & quot ; like although would try fix quickly call . not watch much tv rest week though . bathroom ok although plumbing wall make strange noise , guess old building . tap sink room tendency leek would flow onto floor make floor quite wet . oh careful shower , old style big lever temperature , seem small point middle ' warm ' , either side freeze cold boiling hot . breakfast ok , find ! ' m guess must problem guest able find breakfast room seem lot sign wall go various corridor stair make way there . the room serve breakfast nice , high ceiling grand . the food though quite averageone good thing remember room service quick food good overall certainly would not go back place recommend friend . 
 Jun 27 2009 	 stop seaching ! 	 London 10 time finally find home ! book doubleroom queen size bed , & quot ; upgrated & quot ; truly king size . nice room bath top fit tall people well . breakfast buffet absolutly amazing , spacious restaurant beautiful . so , want stay London want hotel perfect location , service , nice room breakfast beat hotel , Andaz be . it little expensive think , instead trouble thing cheap hotel , would say extra money well spend . 
 Jun 27 2009 	 brilliant concept hotel accommodation 	 look luxury type hotel London availability short notice good range leisure facility . take boyfriend bithday treat . it stone throw away Liverpool St station tube connection ideal want visit theatre site whilst stay London . we arrive hotel greet immediately member staff make we extremely relaxed offer we refreshment . reception informal area check use portable laptop . offer room upgrade accept quite happily ! room fine usual mod con flat screen tv fridge drink food stuff complimentary extra charge ! bathroom nice lovely touch complimentary toiletry keep . healthy range offer organic apple juice biscuit organic toiletry . we dine 1909 restaurant course brilliantly make , especially vegetarian ( one like cheese ! ) make meal combination element menu dish flexible allow make meal plan . decor atmosphere restaurant fabulous , whilst enjoy meal cellist improvise kind music mellow upbeat track choose trendily dress DJ manoeuvre around room use pace maker system ( control order play handheld device ) could wish choose track available music list . could still enjoy romantic meal chat casually fellow guest . we enjoy morning gym well equip cardiovascular weight training equipment amongst free weight Smith 's machine comprehensive item like weight train fitness would disappoint here . we enjoy time steam room large . time visit two people really chill . guest come use gym etc . there massage treatment room available , additional cost . try quite expensive £ 100 hour massage , use pay £ 45 local gym . also beauty treatment book spa staff . try evening mid - afternoon next day . we check 11.00 able leave bag storage room could bit local exploring . visit Spitalfields market roof area . load place eat generally chill buy designergood make stall holder nice friendly . we get back hotel late breakfast Catch Restaurant , service bit delay accommodate vegetarian need effortlessly although wait time first second course meal healthily make delicious . I would definitely stay Andaz . enjoy hotel somewhere list 40 's 50 's rate hotel London . 
 Jun 24 2009 	 Geekily victorian 	 last stay ( early month ) 2 year ago , hotel name Great Eastern . location top Liverpool station fantastic City / East visit , re - do great Eastern improvement Hyatt chain . gym good , layout hotel due placement station convolute , may place & quot ; vertically & quot ; venue necessitate horizontal placement . bfast , instance , call get elevator Floor 1 ( ground floor ) walk another building . plumbing also resemble cross one might find airplane ( high pressure toilet ) shower caravan . Wifi either underpowered use many teenager stream video . also , modern place , room dark lack outlet charge laptop . clean place , though , convenient . restaurant / bar week populate local City worker , male thirty - something wear pin - stripe suit w/o tie . several small business meeting hold hotel stay . weekend slow pace , hotel quick walk East attraction . 
 Jun 24 2009 	 Decent flaw 	 wife stay Andaz 3 night , say plenty positive , head - scratch negative . the room get top floor rather spacious understand norm London . big ultra comfortable bed fantastic ( Hyatt always right ) . however , top floor old building , way look porthole style window , since high wall . strange . we love free minibar wifi ( although brutally slow bandwidth hotel caliber ) . flat panel tv nice large , however believe list available channel , limited . love towel warm bathroom - great trend hotel . this hotel one good hotel gym ever see . the downside seem petty , make trip little frustrating . first , get step ladder bathtub . high step not feel safe ( especially since handle wall loose ) . speak hotel GM , wound also bring we ( wife short ) non - slip stool , well . also appear hotel not believe traveler want look press clean room come iron iron board . upon ask one , give old crusty iron ironing board nice tear pad ( try iron top ) , also appear throw flight stair one occasion . ask replacement , give steady board , still tear cover another beat iron break switch it . after much back forth housekeeping , finally bring we one set ( tell available hotel hotel less one per room ) slightly well iron iron board cover put backwards ( swear comical point ) .The last issue wife . hair dryer not bathroom , 's desk - along makeup mirror . 's underneath desk pull . not know even ask makeup mirror bring wife issue bathroom ( , be short ) . instead tell we mirror , tell we not mirror give we . now , hotel 's defense , could cover & quot ; let show room & quot ; offer check , decline get delay red - eye . know ... ? overall , location fantastic get around London staff efficient pleasant lack certain feeling warmth . GM genuinely want guest comfortable incredibly helpful speak he . just get clothe press go . 
 Jun 20 2009 	 Great Hotel 	 Conran design hotel wonderful mix modern victorian styling , great lobby area pleasant , efficient staff . 's next Liverpool St. station easy get choose public transport . although modern , room comfortable . plus , offer free amenity like bottled water snack room , replenish daily . hotel succeed modern style . 
 Jun 18 2009 	 get good deal via lastminute 's Top secret hotel 	 recently get good deal , approx £ 125 one night , Andaz via top secret room lastminute.com happy with . the hotel lose small amount character transformation great eastern part Hyatt 's new chain - would say hip corporate contemporary rather cut edge day . onto stay , comfortable , well fit room good size bed massive good white sheet bedding . also like iPod docking station , clean super functional bathroom ( bath ) , generous amount Ren toiletry mini bar stock complimentary organic juice , water nibble . location , right next Liverpool St , make get London hot Bank Holiday weekend really easy . great choice get via lastminute.com need close Liverpool St. niggle reception - busy check in / checking & amp ; retrieve luggage take forever day , good part 1/2 hr actually get room . however , desk staff gracious & amp ; efficient possibly could complimentary soft drink handing check go way assuage backlog hot sweaty guest build up . however , company pay not mind 10min walk , Threadneedles character ( room small ) , be budget ( & amp ; book advance get super cheap deal ) look something bit Hoxton hipster , Hoxton might . 
 Jun 15 2009 	 great stay lovely hotel 	 stay Saturday night husband 22 month old son would thoroughly recommend hotel weekend getaway London . staff friendly , reception impressive , room , although little small , well kitte everything need - include complimentary fridge water , juice nibble , flat screen tv , ipod dock , bathrobe , lovely Ren toiletry etc etc . sorry leave ! 
 Jun 7 2009 	 exactly like picture 	 hotel extremely modern ... staff friendly . room small , perfect 2 day stay . definitely nice hotel ' ve stay london.very close tube station easy access line tube . financial district shut work , least be quiet . 
 Jun 5 2009 	 standard stylish 	 ok , be make comparison Hilton similar , maybe Andaz chop 's really anything get excited - room lack character bathroom straight suburban new build . also pretty major plumbing issue - toilet shower use ( room close ) result roar nuclear detonation make room shake . great night sleep . dispense front desk favour wandering staff laptop make check - in farcical . Stick Threadneedles , Rookery Zetter . 
 Jun 3 2009 	 Great City location yet fab experience ... 	 good thing go hotel City location - one business , convenient ... money , would probably head somewhere else next time stay City ( perhaps even Hilton across London Bridge ) .so con first . many way , hotel quite beautiful , love domed area old refurbish building , yet , despite modern design feature , eg . rather lovely sleek furniture , accent colour otherwise monochronistic colour scheme , high tech touch - lack soul . sure not evoke one great feeling memory take away . the floor plan , least room 5th floor , make sense . bathroom absolutely enormous , apparent reason , could skate , yet room small grand bathroom ... soundproof great . Aircon noisy cooperate temperature regulation front , switch make room stuffy sleep . door easy get into . last gripe , laptop check , seem universally height challenge staff insist one sit backless useless round stool reception upon arrival whilst one 's luggage laptop throw place , inconvenient slow . need credit card swipe , work one get stick inordinate amount time . whenever one need & quot ; real reception & quot ; people talk , line frustratingly slow . on positive side , housekeep support staff actual floor super helpful ( fact one laptop wield snootie ground floor kind enough help one navigate rather meander large building ) . call room service handle super efficient friendly way , recommend japanese menu room service , good hotel food . , sum , ok hotel , great . 
 Jun 3 2009 	 would great snooty rude staff disappoint ... also noisy 	 great bed , great location , little pricey ... could great except check strugggle two heavy bag . hit day mist look little frazzle bellboy outside offer help . fact come 5 time day time look nose . not ven show room ; give key turn room long way lift help ! next day key card be not work . iw carry ehavyy bag ther apaolgy come abck - twice ! second time guy not seem beleive stay hotel not picture ID credit card . wait 40 miunte manager take room , apology offer . it be experience like thre 's acknowledgement one 's time hwich make feel like be bing rip . 's expensive hotel , nd feel take grant . also ' pretty noisy - take ear plug ! ! 
 may 28 2009 	 ok take ear plug ! 	 lot money spend refurbish former Railway Terminus Hotel 's slick modern . unfortunately would expect find bar open 11 pm ! return hotel find George Pub close , 1901 bar also close bar open champagne bar noisy could not hold conversation . room vacuum operate toilet ( like aircraft ) noisy water system drain via pump operate system people start take shower 6:30 morning also noisy ! write ' m look forward decent night sleep bed ! expect £ 300 ! 
 May 21 2009 	 amazing value ..... ...... 	 extremely friendly efficient staff . offer ( welcome ) cup tea check - in lobby . show room facility , use key access electric power explain . room bathroom clean ... complimentary minibar nice touch . ... silly ( stylish ) uncomfortable bench instead two - seat sofa ... ( much uncomfortable wriggling ) . breakfast excellent , excellent value ... serve dish freshly top - up attentive staff . if hotel close west end , would pretty much perfect ! 
 May 19 2009 	 good hotel London luxury position 	 amazing concept hotel . base around fitness food . include hotel charge mini bar ( full healthy food drink ) well internet use . the staff ( especially manager ) go way help every bit trip . room big , clean modern . food also something special 
 May 5 2009 	 hip modern love ! 	 get hotel , sit check sit , check . take lift 5th floor view amazing ! bed bathroom , clean roomy comfortable ! breakfast good part , choice salmon , egg , ceareal , different type bread , juice tea . allow use internet , spa gym ! friendly staff , everywhere . real pleasure stay hotel ! recommend hotel one age . 
 may 5 2009 	 good 	 stay first time may day weekend . hotel excellent - large room quiet night pleasant temperature cool excellent a / c . unusual London hotel class . come - hotel lack information breakfast time - location amenity . breakfast poor five star rate hotel - wife send egg back - cold . fix - stick grill five min - hard yolk - way fix recook fresh batch . much prefer buffet system Hilton . second black mark - room tea / coffee mug chip replace two day stay . overall London hotel go excellent - need wee tweek unbeatable . 
 May 3 2009 	 style substance 	 beautiful hotel fall short number level . check efficient receptionist explain vagary ' key ' . difficult open door one enter rom pitch black difficult turn light ! ( Key insert spaecialdevice light work ... ) hotel bar loud service stop 1 friday night . one dot usher corridor / lobby finish 17 £ cocktail ! next morning available / convenient socket plug kettle . also hotel guide overly design easy follow ... plus side bed fantastically comfortable view ( small ) room lovely ! 
 Apr 27 2009 	 Gem Hotel 	 Hyatt property locate directly Liverpool Street Station accessible tube - approximately 20 plus minute trip Paddington Station ( take Heathrow Express ) . read someone 's reservation stay centrally locate - not mind use tube ( get day pass ) , really easy get around . ( figure 25 minute Buckingham Palace . ) hotel stylish / modern / urban . room huge bathroom . room bathroom , clean , turndown service come , resupplie towel amenity use . room clean early spotless . nice touch water , cookie , almond locate free refrigerator . workout area decent size especially hotel downtown location . clean variety machine free weight . there four restaurant attach hotel . warn , however , weekend , two restaurant open . city area many thing close area . however , area become & quot ; hip & quot ; place restaurant bar stay open weekend . breakfast one restaurant nice - fry - up plentiful reasonable price wise London . need taxi , plenty right outside door . unease hotel check - in / front desk staff . gent speak helpful two woman night good . pleasant understand English limit difficult discover happen local area . know front desk staff try trendy , easy check desk sit lobby staffer come ( run back forth desk station retrieve information ) . would stay ? yes ... probably try Hyatt Churchill next time close area spend time next visit . 
 Apr 27 2009 	 central location high quality service 	 stay Andaz last night say hotel fab location ( near Liverpool st station can not hear train ! ) , service efficient staff run around laptop room lovely . get hotel top secret location rate definitely value money . gym good steam room nice ( jacuzzi / sauna ) .I order thing house service item deliver promptly . 
 Apr 16 2009 	 Pricy breakfast disappointing . could well special touch 	 Got take weekend treat first poor experience long wait check queue laptop . doorman greet concern many unguarded exit especially remember . CCTV make feel secure . public area beautifully restore however heritage building . room nice bed comfy amazed find toiletry price- one bar soap share whilst shower bath bath shower gel . 4 star mean 5 star ? member baby boomer generation feel comfortable although feel like trendy W nyc.1901 host function eat restaurant busy chef could tell we provenance food free range even . meal inspre . breakfast major disaster menu individual order . soya milk , low fat spread , bread could eat ( crispbread corn / rice cake ) end huge bowl porridge ! able get major european city days- go Radisson Berlin idea . buffet pick mix option guest breakfast area open pass public business meeting . overall think could well unless aim young people business type . 
 Apr 6 2009 	 Nice hotel good price bit out - of - the - way 	 hotel good value - for - money London . style - wise , seem gear toward 20 30 - something professional demographic , teeter design hotel business hotel feeling . on plus , hotel modern , visually interesting , room spacious , well lay - out comfortable . room nice ' special touch ' like complementary mini - bar wi - fi . reception service good , , price good . on minus side , issue bathtub never get fix despite couple phone call maintenance . irritating , perpetual noise pipe air - duct make not - great sleep . location - wise , heart banking district mean complete ghost town five weekend . want dinner 9 , forget , example . right beside major tube station , still - neighbourhood certainly ideal weekend traveller . would recommend hotel , reservation . 
 Feb 28 2009 	 highly recommend 	 gorgeous hotel relaxed feel rare hotel central London . room spacious EXTREMELY comfortable bed . hotel lot nice touch like small guest bar lobby , sit help complimentary glass wine two bar snack think really nice . mini bar room also complimentary fully stock lot nice fruit drink snack . bring breakfast room prefer extra charge one good hotel breakfast ever . well locate see sight London , cultural part city tourist centre West End short tube ride away . 
 Feb 21 2009 	 true 5 * accommodation 	 take son girlfriend London Theatre weekend . stay King Suite Andaz . value accommodation excellent - charge 1 adult ( kid 18 go free ) . suite large reliable air conditioner build master bedroom , controlable make restful night 's sleep comfy King Size bed . main bathroom second W / C clean fine order ( well supply REN toiletry never use - nice indeed ) ! lounge dining area modern design like much hotel , however , combine cleverly traditional elegence ( particularly 1901 restaurant ) . first evening dinner 1901 restaurant ; service surrounding quite literally heavenly . elegant live violinist play beautifully dine hall throughout experience ... way intrusive enhanced occasion perfectly . selection wines superb serve professionalism . breakfast include room price arrive follow morning obvious care attention quality presentation concern - room service conduct friendly manner . feel welcome throughout stay . unlike review report noisy plumbing , experience problem . water temperature shower little difficult control morning newspaper forgotten not view complaint , rather like tiny blemish fantastic hotel experience . overall , would recommend hotel anyone definately come back experience many facility restaurant premise . 
 Feb 20 2009 	 Superb - Blew away ! 	 normally write review , let alone gush , hotel welcome relief solo traveler road . get early today want store luggage check - in , three young man work lobby - clean , professional smartly dress - let check right away , bring glass water , carry luggage room refuse tip , despite insistence . , frequent Hyatt traveler , Andaz get right thing Hyatt get wrong ; example , include internet extra cost , great service . love room , location amazing ( right next tube station , walk distance Tower London ) . intend stay nowhere else London future trip , afford stay . 
 Jan 23 2009 	 Perfect wedding destination 	 hold wedding party Andaz , could not happy service , start finish . event team excellent - day perfect . bedroom spacious , clean bright staff pleasant deal . need leave luggage collect follow morning handle professionally . hotel stunning , really unique modern fitting old building . would stringly recommend hotel reason stay . negative think shower do not drain properly - issue 1 night though . 
 Jan 22 2009 	 really cool hotel great staff facility location . 	 wife stay Andaz hotel , Liverpool St. last weekend . location excellent , literally around corner Liverpool St. station . the reception area tastefully design staff extremely helpfulcheck - in hassle free one receptionist show we room explain feature room . stay one King room wife agree one comfiest bed ever sleep in . the bathroom , shower etc , good powerful room quite spacious nicely decorate . complimentary juice snack mini bar also great touch . try gym modern extremely well equip . steam room doctor order beer previous night . Tthe individual change room shower also add & quot ; 5 star feel & quot ; hotel . not dinner hotel drink hotel Bar George busy great atmosphere compare many dull hotel bar . breakfast include rate serve trendy cafe next door . breakfast good , 's buffet , portion generous freshly cooked . the express checkout also handy hurry catch Stansted Express . be look forward next trip London stay Andaz . 
 Jan 7 2009 	 Family Loved 	 Stayed family , choose convenient stansted flight . staff good , breakfast in - room early prior departure top notch . complaint really quite different run mill London hotel . yes area quiet night , London short transport option . 
 Jan 2 2009 	 Funky Lush Hotel Next Door Liverpool Street Station ! 	 oh lovely funky hotel ! lovely stay New Years Eve 2008 ! ( hotel extend check time breakfast serve time NYE ) Leave Liverpool St Station turn right ( apply regardless exit leave ) within matter moment hit Andaz hotel ! , location wise ' close station obviously give access National Rail network also underground ! read reviews hotel kind know expect ' disappointed ! arrive quite folk check , simply take seat wait short time someone check we ! service check efficient fast even upgrade king room free charge - BONUS ! ! offer drink time check , although ' expect Coke , boyfriend ask one tell organic ! ! ! fizzy pop ! ! want snack anything fizzy Tesco road fret ! ! reception area modern rest hotel , truly nice boyfriend please rather fussy regard hotel ! ! man ! ! ! room 270 2nd floor access lift ! walk little glass bridge room corridor . room lush bed quite possibly well ever sleep ! ! walk room dark wooden floor bathroom right wardrobe ( light ! ) fridge fill juice water leave ! bed desk area front ! overall room lovely ! view expect ' issue ! hotel provide Andaz robe slipper , nice touch ! ! plenty lovely fluffy towel provide bathroom , bath one huge ! ! ! fault room / hotel rather odd sound bathroom every time hot water use - monster pipe perhaps ! last second ' matter think little random ! also , temperature control shower bit hit miss , either red hot freezing cold , perhaps know work properly ! ! thing temperature room , get almost 2 am New Years Eve room freezing , try alter temp electronic control avail take warm bit downer want get cosy bed ! ! ! also , want kettle room , tough ! ! ' get one ! also HAIRDRYER bite bum ' take mine , never mind ! ! Breakfast include price , oh glad ! sign ticket room number 2 breakfast , fruit , toast 2 tea juice come £ 50 , ! ! nice , worth £ 50 ' bonus ' pay ! pick breakfast room advise hour wait opted get go restaurant outside hotel door ! ' glad choice menu room service menu ( may add expensive - £ 18 sarnie , ' think ! ! ) .Overall love stay hotel consider future also recommend other , close station everywhere want go London easy get ! ! ! hotel modern funky bright swish ace ! ! New Years Eve 2008 London NYE think would find hotel close firework possible near impossible get across London celebration , wicked ny soooooooooo many people crazy ! end walk across half London finally get bus ! ! 
 Dec 21 2008 	 Chic cool convenient 	 hotel fantastic . lobby area set tone , nice surprise . traditional check desk , greet staff check lap - top . stay 1st floor . leave lift huge , modern atrium , really cool bar area . my room beautifully decorate , complimentary mini - bar , full english breakfast include room service . overall , be excellent . location brilliant , right heart Liverpool Street station second away . I certainly stay . 
 Nov 17 2008 	 Nice Place Good Location 	 wife stay Saturday night . handy location come stansted airport . also good location nice less touristy area London - Farringdon , Clerkenwell , Shoreditch , Hoxton . area full nice bar , club restaurant , arty vibe ( latter two bit rough late night ) .If want go west end Buck House , would make sense stay . everything accessible via Central Circle tube line . Liverpool St quiet ( ish ) weekend , always find shop cafe open . great reception , swift check - in 2 pm , helpful local bus info , show room mod - con . room medium size , modern decor , large bathroom Ren product ( Mrs tell good ) . free juice water mini - bar , booze . Free laundry , internet access . Bose Ipod speaker provide . Decor typical trendy modern , outlandish . corridor area room could do good vacuum , nothing bad . got good night 's sleep , bed comfy temperature right ( often hot London hotel ! ) breakfast good , Eastway cafe , hotel bit maze though , obvious bar restaurant be . we do not try bar restaurant , stagger late night go straight bed ! tell friend nice though . quite good value weekend probably aim city worker week . would stay need area . 
 Nov 14 2008 	 good classy convenient hotel 	 hotel city near Liverpool Street subway station really convenient come business . even leisure , far nothing London thank subway next door . minute walk Spittafields Market Brick Lane , Barbicane , Saint Paul cathedral . room large bed really comfortable . bathroom perfect . bar nice . room service fast . breakfast iin Eastway restaurant good well dinner . and staff nice helpful . 
 Oct 11 2008 	 Serious Issues Reside 	 hotel beat path financial district London become ghost town 6:00 every night weekend long . hotel suppose hybrid Hyatt chain mantra excellent service receive stay Andaz . maid / room attendent apparently riffle closet decide elimate dry cleaning plastic hanging closet . plan use bag repacke , hotel could care less employee go guest closet . checkout hotel another disaster , could produce accurate bill departure say would send one . wait three week go back travel agent receive final bill stay . book stays month November hotel promptly cancel base problem . maybe tempt check hotel , buyer beware ..... look like great deal cost far bite bullet central London hotel time , aggrevation taxi fare . 
 Oct 10 2008 	 love extra touch 	 since Hyatt take hotel , positive welcome change . unlike many hotel , lot extra include - free internet , great breakfast ( either room one 2 restaurant ) , laundry include , juice / water room , coffee wine bar lobby small snack available . business traveller , really helpful - nothing bad stinky workout gear hotel room - , get wash ! gym extremely well equip although small - do not take many user make crowded . trainer excellent - knowledgeable helpful . room - big comfortable bed , tv sound poor though . bathroom - extremely functional , although vacuum flush noisy , travel room . noise issue - try get room away event space . door slam hard every room , along vacuum flush / drain , make noisy start morning . hotel high proportion business traveller , people early ! service - find staff helpful efficient - service understate make feel & quot ; home & quot ; .Location - can not beat need part city . overall , despite noise , become one favourite hotel . 
 Oct 3 2008 	 Coolest hotel London 	 stay andaz September two year . lobby look incredible find reception team friendly informative . atmosphere bar restaurant fantastic remember , well - anything well server remember like egg beverage choice ? room still crisp open . also really impress much area change , many great restaurant , bar shopping choice available . overall love experience andaz , staff wonderful hotel always hotel choice travel London . 
 Oct 1 2008 	 contemporary stylish clean different ... 	 nice hotel , handy Liverpool tube station ( McDonalds ) check bit different , smart dress staff wireless laptop sit sofa . nice . room , reasonable size , clean , smart , free movie channel , bathroom ultra clean tidy , mind sink drain slowly . fridge free drink - good . mini bar coffee facility . safe room good , light furniture contemporary- like it . only downside , get back Sat night midnight show find bar open , coffee facilitiy room ask night porter brew one ( veyr helpfully ) . lot noise wedding ( use good bit hotel ) . go empty champagne bar , main pub shut . look really nice look forward end drink disappointing . breakfast nice , hard find dining room , staff reception tell we go outside , walk road next cafe seem odd worked . excellent service , lot staff , food good quick , include . book lastminute.com not cheap go direct . 
 Sep 8 2008 	 hip - like sort thing 	 stay one night hotel late August , find comfortable user - friendly . atmosphere lean hip funky warm welcoming , opinion . plenty positive report : arrive early staff give we immediate access room , spacious enough ; breakfast complimentary plentiful ; location ideal walk 15 min direction landmark like St Pauls , Shakespeare 's Globe Theatre & amp ; Tower London . also step Liverpool Street Tube station , connect anywhere want go . hotel feel quite ' corporate ' bit dark shadowy liking . contrast stay week Hotel Threadneedles around corner , much traditional , comfy , club - like feeling ( see review like ) . end think boil personal taste & amp ; style - cool & amp ; funky versus warm welcoming . 
 Aug 28 2008 	 Unassuming Minimalist Chic 	 recently take Hyatt ... keep majority design element great Eastern . perfect location City close proximity West end tube foot avid walker . quiet weekend , Sunday esp New Yorker 's ok . loved inclusive breakfast could huge , comfortable bed ..... many dining option drink . amazing welcome check ... drink leather lounge chair ... ill take ! fantastic bathroom old fashion design . free water organic juice fridge , friendly staff . 
 Aug 22 2008 	 Great Hotel City area London 	 stay hotel number occasion , business pleasure . general quality hotel excellent . room comfy king size bed , flat screen tv , complimentary soft drink mini bar free use wireless movie . location Liverpool Street mean regularly use week business people , serve great location tourist long prepared use ground walk bit . please bear mind weekend lot area close sizable work population around . breakfast include room price offer quite substantial choice hot cold food . George Pub traditional english pub offer good selection beer bar food reasonable price . champagne bar nice place sit relax luxurious surrounding although last time stay weekend close . check fairly relaxed , sit comfy chair reception come . conclusion , ' great place stay like explore bit ' mind use public transport ( Oxford Circus 5 stop Central Line ) . want right Centre London walk usual tourist destination around Oxford Street , Leicester Square Covent Garden may well serve look alternative little close . 
 Jul 28 2008 	 funky weekend experience 	 stay weekend 25 - 27 July . place easy find get Liverpool Street station correct side ( tube leave , elevator , Macdonald . take leave , hotel 50 mt far . ) reception , basically : bunch guy welcome guest , check -in straight away . funky room , complimentary minibar , elegant bathroom , free internet 1st floor room 's tv ( max 1 hour ) , charming silent ( 2nd floor ) . breakfast serve Miyako restaurant locate next main entrance : menu ' la carte ' , therefore buffet : assume could order much could , though . pricey place , long breakfast include ... couple request , help ; ask late check obtain minute . 1 hour late , nobody complain . high rate Andaz , finally , also weekend deal : find reviewer quote something like 245 gbp daily rate little less .. much , 's weekday price liverpool street business traveller : pay 110+taxes , definetely reasonable price . if London weekend , will back sure . 
 Jul 22 2008 	 Pricey Funky less expect 	 stay Andaz business group . hard find hotel street , finally find , door order . make lobby , wait .... wait .... wait someone check . apology , real help either . room modern small , black , chic , like . think , find thing difficult enjoyable . bathtub hard climb , sink shower drain not drain ! take several try find closet , in - room fridge barely cool , let alone cold . room cramp evenly shape , make matter bad . like juice , artwork , atmosphere . enough signage help find room hallway , ' m fan & quot ; smart card & quot ; , hotel grow . love glass wine work ( wish another , go bar , intent ) . 250gbp night , find expensive , regardless breakfast juice . request early check - in receive , charge previous evening 's stay - forewarned . several nice facility adjacent attach , enjoy one nearby restaurant quite lot . might go back low rate , long stay well room . Andaz acquire , funky taste . overall not terrible , would suggest many people expect traditional hotel stay . artsy crowd nouveau - riche , however , might right place enjoy London . 
 Jul 18 2008 	 great service contemporary interior 	 book hotel website get offer include breakfast , mini bar , movie internet ( standard think ) £ 140 per night weekend . this well worth money , lovely hotel , grand contemporary lobby , well design simple room cool chair , lamp extra . check big free standing table side lobby informal quick . locate right next Liverpool St station , good weekend location Spitalfields Market , Brick Lane , Shoreditch course city surround attraction . definately back , staff helpful free breakfast feast ! 
