reasonable 	 boyfriend occasionally go city small get away . first time stay comfort inn . price reasonable service horrible , guy front desk look like not know . disappointed & quot ; city view & quot ; see window another building room small , lot space we put belonging . light break . overall room rather clean.i would advise couple want spend anniversary . would spend money stay hotel instead . parking lot small hard move vehicle , reasonably price . 26 dollar . pretty cheap parking city . 
 Jul 10 2008 	 Comfort inn ? 	 room TINY 4 people ! bed particularly really big enough 2 adult ! breakfast ok although limited choice toast waffle random bit bob . location quite good , could walk hill 2 block crooked road hill block get cable car . reception helpful give we direction great steak house ! 
 Jun 22 2008 	 Ice Vest need 	 place great view , lack true air conditioning . stay top floor premier room . rate good San Francisco , stay sheer hell temperature never drop 80 Fahrenheit even curtain closed day & amp ; air conditioning ( so - call ) blast full day . even dead night 20f cool outside still swelter . anyone slight lack fitness problem heart respiration suspect could mortal concern . window long open nice view good next holiday check - in near hospital . another two night hope survive delight leaving . 
 May 22 2008 	 Big Disappointment 	 reading review , believe hotel stay one describe review same . negative point : * room tiny ! stay large room Europe . bathroom small , open door almost touch toilet . * inside room face wall building next . , room room , also absolutely view . seem review outside room view large spacious . go stay hotel , would make sure ask one room leave chance would get room like . * bed need update . linen old pilly . mattress lumpy . * not feel clean room . * parking $ 26 / day . not really bother price pay visit large city . find problem say return evening might place car would find alternative parking . luckily not case , fact worry disappointing . * tell would pay $ 2 / day use room safe . seem unreasonable . pay know whether use ? * Breakfast go 9:30.good point : * staff nice . disappointed room ask move . first night completely full option stay room . offer move we second night , point , much stuff move , stay . * shower pressure good . overall , disappointed find worth money . would rather pay money nice , clean hotel . would recommend friend coworker . 
 May 17 2008 	 great hotel money 	 return vacation northern CA . Comfort Inn Bay great hotel value . 's 5 - 10 minute walk Fisherman 's Wharf right Lombard Street . terrific King suite surprisingly spacious . continental breakfast typical breakfast . staff outstanding- always helpful direction suggestion . another plus overnight parking cost half nearby hotel . overall , would definitely stay . 
 May 13 2008 	 Great Place Stay 	 recently spend two night . staff freindly helpful . room choose stay view bay . ( cheaper not plan staying room much ) . room small side much . clean bed comfortable . would definately stay ! 
 may 13 2008 	 nice stay great view 	 great view golden gate bridge ( room 1015 ) . nice breakfast , everything expect & quot ; Deluxe continental breakfast & quot ; . 10 minute walk fisherman 's warf many restaurant walk distance . free fast wireless internet . 
 may 2 2008 	 Great Location - wonderful view recommend ! 	 book hotel research option via site ( become somewhat overwhelmed ! ) - must admit Golden Gate Bridge view sway . cheap spend many happy moment gaze view , know actually San Francisco ! be nice , clean comfortable hotel . breakfast ( like cook waffle hard boil egg ! ) include take advantage coffee . room 2 queen bed ( double ) also provide fold bed friend one night . bar hotel 's minute walk Bay . everything pretty close sf.only quarm try charge fold bed 3 night rather 1 watch that . the view wonderful ! 
 Apr 28 2008 	 Great Location View 	 Overall , hotel stay good . great location , 15 minute walk Fisherman 's Wharf . breakfast area nice lot table , food selection ok . bathroom pretty small . careful parking garage . first , parking fee $ 26 , parking tight . minivan , manauvere difficult . also , two flight stair parking garage elevator lobby , carry luggage . may want consider unload street front , parking garage . , happy stay , view window . 
 Apr 28 2008 	 satisfied Third Time return guest 	 yet disapointe stay hotel . offer quality guest service amenity ; reasonable room parking rate ; staff knowledgeable provide excellant service value guest . the parking rate reasonable compare hotel area . increase $ 26.00 daily rate offer last year privelege . although parking limit ; quite challege park vehicle depend full parking lot time . hotel room recently remodel new furniture choice bed . bed presently feather topper bed cover . stay different floor three stay . time find room clean meet need family . despite fact bathroom small , still meet need . wall appear thin voice hear neighbour experience stay ( ) . past stay , encounter neighbour 's conversation could part due room adjoining room . we choose hotel part fact allow five room hardship hotel allow 4 guest room even though guest child . also like idea , child age 12 year stay free sharing room parent norm Choice hotel chain . another concern 5 family member stay , 4 set towel leave room family use . we find odd despite hotel quieter last visit , room clean timely manner . leave room approx . 9:00 a.m. find return 3:00 p.m. , room clean time . find bit inconvience plan couple hour need change clothe prepare outing within two hour . the front desk staff knowledgeable San Francisco area gladly assist guest request . find true visit especially come use transit system . hotel offer complimentary breakfast daily good variety hot cold item . staff maintain breakfast reward excellant service . continually ensure item always hand , dish available table clean guest hotel . the location hotel close many area interest : Fisherman 's Wharf , Ghirardelli Square Lombard Street within 15 minute walk hotel . want visit area Chinatown & amp ; park , transit stop close within block hotel . we make reservation room locate middle floor . make reservation , inquiry contact hotel . course conversation , front desk reservation staff discover return guest hotel due hotel vacancy upper floor , much surprise staff decide upgrade room full view room locate 10th floor appreciation return guest extra cost we . the Comfort Inn Bay yet disappoint we stay ( ) highly recommend hotel anyone visit San Francisco . 
 Apr 26 2008 	 make stay great one ! 	 REAL hotel ( noisy motor lodge ) excellent friendly staff , comfortable lobby , convenient free lite - breakfast buffet , super location near Fisherman 's Wharf ( away noise bustle ) , close public transportation . BIG favor book odd - numbered room high floor . expansive view room Golden Gate Bridge Marin highland Bay full boat windsurfer one highlight trip -- upgrade cost less tour . another good investment multi - day public transportation pass , useable trolley bus ( available trolley stop Beach & amp ; Hyde . pay $ 3 map system . ) use bus trolley take hill . favorite place : Muir Woods , Coit Tower ( check view WPA mural ) , Ferry Terminal ( full cafe , bread , wine , cheese chocolate shop ) , Maritime Museum Hyde St. Pier ( go Balclutha see Captain poor chinese sailor live ) , North Beach ( great restaurant cafe ) , trolley ride , , yes , sea lion Pier 39 . Skip Chinatown . fun ! 
 Apr 21 2008 	 Comfort Inn Bay 	 recently four night stay Comfort Inn Bay pleased quality accomodation price . hotel situate Van Ness approximately 15 minute walk wharf , good starting point see wharf , alcatraz , ghiradelli square , Lombard . near bus line , use go baseball game , within ten minute walk cable car . find far enough BART station cab require take public transport airport , however ( although may bus run ) . room clean , interior decoration ( bedspread , carpet , etc ) seem fairly new . downside room bathroom . tub / shower toilet separate room ( vanity outside ) extremely cramp tub / shower curtain , etc . could use update . , pleased accomodation price ( also great view golden gate bridge window ) enjoy free breakfast . thing would mention place eat near hotel , area lot restaurant nightlife least 10 - 15 minute walk , might consideration tend stay late would like able walk back hotel . 
 Feb 19 2008 	 Fantastic Hotel ! ! 	 probably one nice hotel ' ve pleasure stay long time ! recently renovate beautifully do . stay 10th floor fantastic view bay Golden Gate Bridge . quiet beautiful room refrigerator trouble free internet service . great location near Fishermans Wharf bus run frequently car need travel city ! not forget check Cafe Lombard that s locate right across street hotel . good italian food ' ve long time serve breakfast til 11 a.m. Comfort Inn Bay get top rating first class accommodation , value , professional staff overall friendliness ! 
 Feb 12 2008 	 Great Location ! 	 first trip San Francisco - want hotel near enough major attraction , within easy reach public transportation , heart highly touristy area . Comfort Inn Bay perfect ! located corner Van Ness Lombard Streets , 's bus line , walk distance Fisherman 's Wharf 3 block Powell - Hyde Cable Car line ( uphill way , definitely worth ) . cable car stop Powell Lombard top & quot ; World 's Crookedest street & quot ; - must see ! climb not take breath away , view top . like Comfort Inns , 's free breakfast buffet make - your - own waffle , cereal , danish , toast , muffin , fresh fruit , juice , coffee & amp ; tea . huge selection , enough get start . selection not change , could get boring couple day run . staff friendly , helpful come great local restaurant suggestion Thai food within walking distance . would definitely stay . 
 Feb 9 2008 	 good stay 	 budget Hotel fine bathroom little small room clean . carefull charge 26 $ parking daily wich aware . 
 Jan 24 2008 	 friendly staff good location 	 really enjoy stay ! staff friendly help however could . large group australian teenager stay & quot ; holiday & quot ; , staff help we get parking garage open secret door every morning leave . breakfast nothing write home , muffin , waffle , english muffin , fruit , pastry , juice , waffle good . room nice , large , tiny . opt pay extra bayside room since work day get enjoy view . one people group stay one bay room would recommend vacation . my complaint would be:1 . 29.65 parking , good god ! would suggest get car stay bay area public transportation work fine get around.2 . one elevator keep break , headache morning . I would stay San Fran . 
 Jan 14 2008 	 Great Location / fantastic view 	 do usual research booking , know expect . pick hotel Location , Parking , view ( research google earth building : - ) ) price . our flight delay 5 hour . arrive midnight staff helpful . room big , bed good . generally little date clean . admittedly , outside window need little clean not spoil view . dodgy vent window . open , call reception close it . we pay Deluxe - Panoramic Bay View Room 2 queen . give room right next elevator , hardly hear noise lift 4 night there . breakfast good . good selection food , cereal , toast , croisant etc , include price . the location excellent . hire car . park lot last night set yosemite . , first time american car , car huge ... even look back , car park really tight parking . limited space , lift main floor . generally good safe . all , would book . 
 Dec 28 2007 	 Great locations/ view 	 want tour San Francisco great location , Central Muni transportation Van Ness Lombard , within easy ( downhill ) walk distance Fishermans Wharf . stay San Francisco many time , hotel offer good view Golden Gate bridge , ask upper room odd number . we stay 10th floor . hotel reasonable parking rate , great staff . 
 Nov 10 2007 	 good location 	 great hotel far location . 15 - 20 min walk Fisherman 's Wharf close sight without tourist traffic . also easy want go place car locate 2 major junction . many restaurant close not bother usually meal . car , pay parking $ 20 something night . bonus 4 block away & quot ; crook & quot ; street - Lombard . also , pay extra room bridge view . bit disappointed even though 3rd floor , not view . think high floor would better . room huge 2 queen bed , bonus ! one unfortunate thing assign smoking room not smoker . , think good value money . 
 Nov 8 2007 	 make sure good security ! 	 book hotel know area good tourist spot . stay okay , old appliance thing not good thought . last night 3 day stay car get break gate garage , camera . stay make sure not pay leave car garage . turn save money rental parking . less friendly cituation hardly help we . be still work damage cost loss we . 
 Nov 5 2007 	 Bring Raid ! ! 	 4th time stay hotel last 7 year . choose great location tourist spot although not many place eat around . hotel not restaurant breakfast area . decide book 2 colleague budget friendly know locale business tight budget . disappointment turn . pay extra view bridge , friend not get view parking lot . wall room cover mildew curtain friend 's room . room seem clean enough second day notice dozen tiny tiny bug crawl flush tank toilet . call front desk 7 notice ask send someone check , call 8 9 go hallway find housekeeper . tell problem say board . also say could not spray room leave . meeting day major conference city could not get another hotel go . also not want separate colleague . leave room go 5 hour . come back , room still not touch . call front desk ask speak manager tell help someone else would call back within 5 minute . wait almost 1/2 hour eventually go downstairs lobby . not want discuss front guest really push . manager apalle say first have hear . assure room would do immediately bathroom would spray . could not tell creature . event evening come back 1 notice still still many leave early day . call downstairs 2 pack thing move another room . check follow morning . mention front desk staff say fault eat banana room day fruit fly . actually work Health Dept . explain fruit fly need 12 hour incubate fruit fly fly , little critter crawl not even near garbage use . staff front desk less helpful thing need ( ie FedEx form package need send ) . paranoid bring something home empty suitcase garage even new sweater etc . buy wash dry immediately would bring house . bad treatment ever receive . sign site could warn other place really like . picture must year old really represent hotel really like . stay away , not worth hard earn money grief wonder catch something . 
 Oct 30 2007 	 Average Hotel 	 husband , two family member England stay hotel October19th -22nd , fly directly Vancouver San Francisco , arrive hotel ( noon ) well check - in time 4 p.m , room ready suggest leave luggage return around 3 p.m. room ready . take walk , lunch return 3 pm , book trip least 4 month take think request make would honor . we ask upon book trip room either face city bay neither , dissapointe view room 4th floor face apartment building , also request one two room smoking room , tell one available anyone smoke room would hefty charge add credit card . no big deal , not room much sleep go outside want smoke . room bad , comfy bed , lot pillow , decent size television , bathroom however great , tiny window fan ? think odd , plenty hot water nice size tub plus . internet available patron free breakfast room sign post say not working- ask front desk may available use unable tell , get lot hmmm ? sure ....... still available come monday afternoon . pop / juice machine floor , long day walk around city go back room break get ready go dinner- walk pop machine get drink sign post - out order , problem- hop elevator another floor thing - order - after try 3 floor gave - walk across street store purchase drink . the breakfast room pretty good - good assortment fresh fruit , danish , muffin , hard boil egg , tea , coffee , juice waffle , never problem find table eat 8 am get quite busy . we see alot city 4 day - Alcatraz amazing , Fisherman 's Wharf also fave -- much go great food available - really like eat Nick 's Lighthouse , seafood awesome . rented car drive Napa Sonoma valley - go winery call Rosso & amp ; Bianco , own Francis Ford Coppola absolutely amazing ! could sit terrace lunch , $ 10 could little wine sample nice , garden well keep pretty .We also double decker bus tour evening $ 15 person , well worth able get fantastic picture - great way see city ! would definately go back 4 day enough see everything , however - would try different hotel next time , people run hotel not seem really know . feel free contact debrab60 @ hotmail.com u question . 
 Oct 27 2007 	 Loved Fisherman 's Wharf 	 quite happy hotel although realise arrive restaurant . breakfast good easy walk bus ride Fisherman 's Wharf love . staff friendly helpful luckily us weather perfect ! trip Yosemite awesome . ( travel New Zealand ) 
 Oct 24 2007 	 frill honeymoon SFO 	 husband stay honeymoon . 10th floor room bay / bridge view . room in - room fridge safe . worth extra $ 20 buck night stay multiple night . bridge view great , bay view ok developer build couple match eyesore block view Alcatraz . speak Alcatraz , still see lighthouse bright enough shine room night -- annoying , keep awake kind way , hey , be Alcatraz kind way . excellent access public transportation walk distance junk fill shop Fisherman 's Wharf . breakfast area busy morning , get 7:45 prepared wait table eat . pretty good breakfast -- make waffle , boil egg , cereal , bagel , apple , orange , etc . 
 Oct 22 2007 	 walking distance Fisherman 's Wharf 	 first stop 2 week trip northern California . first 2 night room face another tall building , next 2 night upgrade Bay view room fantastic vista include Golden Gate bridge Alcatraz island . let we store luggage office continue tour City . the include continental breakfast well mid - range hotel . three four front desk staff talk helpful providing direction , suggest restaurant , reimburse we lose money soda machine , etc . 4th clerk act like hate job - avoid talk he . it good yet car , parking hotel 's basement garage expensive . pick rental car start remainder vacation , staff let we park free load luggage . the famous twisted road Lombard Street 3 block hotel - like walk cliff almost 30 % slope ! learn frequent bus Van Ness Avenue front hotel get almost anywhere city ease , $ 1.50 . definitely worth save leg hill . 
 Oct 22 2007 	 Thought Shabby Hotel need renovation 	 place old desperately need renovation . refrigerator , microwave . toilet seat break . window screw shut can not open . courtyard view reality courtyard , plant plant along street . Sad say , great location , need spend monie renovation . the internet photo not representative run condition room , hallway , etc . 
 oct 22 2007 	 cheap cheerlful 	 & quot ; be full service hotel . & quot ; say man desk . long keep mind will happy . good location , basic room , good size view Bridge . Breakfast include , breakfast room get busy time . would rather stay elsewhere , money one not bad . 
 Oct 15 2007 	 Perfect Stay 	 not know expect booked hotel , pleased stay . book cheap price could find website smoking room . smoke asthma little worried . get room , clean trace smoking anywhere . hotel overall smell look clean . great location , Union Square Fisherman 's Wharf hotel look like would noisy opinion . hotel three block bay ! close public transportation . breakfast so - so enough get go worry find place breakfast . staff pleasant friendly . help find way around . would recommend hotel everyone . would stay . 
 Sep 28 2007 	 Great Location ! 	 travel PCH Bellingham , WA San Diego , CA make reservation stay Comfort Inn Bay San Francisco two night . other pay additional $ 26 per night parking , enjoy stay . hotel within walk distance Fisherman 's Wharf also right muni line wish walk ( use muni return hotel exhaust day tour city ) . 
 Sep 26 2007 	 Great Find 	 great place stay budget . clean room helpfull staff.easy walk Fishermans Wharf / pier 39 
 Sep 24 2007 	 good value service 	 Comfort Inn Bay - San Francisco : & quot ; Good Value & quot ; reviewer : James Lam , SingaporeJust come back four day ' stay Comfort Inn . location convenient many bus ply along Van Ness Ave . practically go part San Francisco bus . room ready arrive 12 noon convenient . clean white bath towel bed sheet . two complaint ( water flow bath tub toilet flush system ) fix quickly satisfaction . however , tell heating system work ( maybe be still summer ) .The complimentary breakfast good adequate . hot waffle fresh fruit welcome item hotel breakfast . Sharon front desk provide excellent service . provide information tourist site , bus take , bus ticket buy even give we bus guide . will definitely stay hotel next visit San Francisco . 
 Sep 18 2007 	 ok 	 high rise ( 11 floor ) hotel block Lombard Street ( crooked street ) easy walk Chinatown . top floor , traffic noise still pretty loud . room adequate , certainly spacious . breakfast room large , crowded . ( five six wafflemaker , one two . ) , ok hotel nothing write home . 
 Sep 17 2007 	 good value ! 	 return San Francisco , pick Comfort Inn price location . dissapointe , hotel clean staff friendly . room back hotel , view noise , sleep like log three night ! would recommend research transport system use ! fair climb lombard ! 
 Sep 12 2007 	 excellent base explore San Francisco 	 come book accommodation San Francisco become clear hotel generally pretty expensive . use TripAdvisor research eventually whittle Comfort Inn Bay : price good ( book use hotelpronto.com pay £ 80 per night room include complimentary breakfast ) .The hotel pleasant enough . room clean quite large . ask room high floor , hotel junction Van Ness Avenue Lombard Street quite lot traffic . give room 9th floor fine noise not problem . room view Golden Gate Bridge - mine not not bother pay upgrade ( glad not fog would obscured bridge time anyway ) .location good , 10 minute walk Fisherman 's Wharf ( walk back take bit long mostly uphill ) . bus service stop Van Ness near hotel make easy get Fishermans Wharf city itself . breakfast okay - room get pretty crowded cramp . staff friendly helpful hotel would definitely consider stay . 
 Sep 5 2007 	 Nice room check early 	 rent King Suite hotel use parking garage . the King Suite big provide plenty room three traveler . could see golden gate bridge room . the bathroom big ; however , shower temperature never hot - warm . the sleep terrible - bed comfortable , traffic noise keep we whole night . the breakfast good - coffee bad ( walk Van Ness go local coffee shop ) , food dry - waffle maker line guest waiting use it . the parking garage $ 26 per day , stay . , spend one night - pay $ 52 plus tax . we end check one day . originally going stay 3 day . 
 Sep 4 2007 	 Functional 	 nothing really get excited . room clean breakfast ok . great location - 10 minute walk Wharf . find parking bay limit small ( People Carrier struggle get ) . complaint not enough room dining area , people eat cereal hotel lobby ! 
 Aug 31 2007 	 great location good price ! 	 stay 4 night August , look bunch different hotel tripadvisor . select one base positive review , price location ! double room , bridge view . Golden Gate bridge not exactly nearby , clearly visible window . nice . street bit noisy , disturb way . sleep well night . the hotel within walking distance ( downhill ) Fisherman 's Wharf area . be tired ok shape , take 15 minute get . also busstop far hotel , excellent public transportation ( get muni passport ! ) , could anywhere easily . breakfast cool - make waffle ! additionally 's hot cold cereal , bagel , muffin , juice , fruit , coffee / tea / cocoa . nothing incredibly fancy , everything healthy perse , fill stomach ! parking bit expensive - $ 26 + tax per night , however , seal , secure parking garage underneath hotel . be guarantee spot though . ' m sure make difference , arrive monday , trouble find empty spot . , leave car whole stay , use public transportation . prevent frustration : ) , would definitely come back ! 
 Aug 27 2007 	 great location value 	 stay Comfort Inn Bay June year find hotel excellent value money . location great want see attraction Fishermans Wharf bus stop couple yard road want travel downtown . guy front desk really brilliant , give we part use Muni pass free come useful . front desk staff really helpful tourist info etc . friendly . lot pub nearby night time unless want walk Fishermans Wharf bus run 24/7 travel 10mins downtown fisherman wharf problem . visit F experience cable car , great fun experience , miserable driver come across , travel world . find rude unhelpful , good advert F tourism . go downtown , stop Lefty , Doules , right next Handlery Hotel Union Square . great entertainment cheap food possibly one good barman world . 
 Aug 24 2007 	 great place stay moderate budget 	 look comfortable , clean hotel Fisherman 's Wharf area also include free breakfast , find Comfort Inn Bay . room 7th floor , quiet , large enough two we . free breakfast tremendous asset look forward begin day breakfast buffet . waffle , cereal , bagel , english muffin , hard boil egg , banana nut muffin satisfy . fruit , coffee juice also include . would recommend hotel anyone . 
 Aug 21 2007 	 Mark ( front desk ) exceptional ! 	 echo other say property . customer service outstanding -- Mark , front desk , give we much personal attention advice , even give we partly - unused Muni Passes hurry catch bus 47 Alcatraz tour . pay bit extra top - floor room take advantage bay bridge view . view grand ( although bridge bit away expect ) , window could use good washing . room average motel - type furnishing , bathroom small , everything clean housekeeping staff nice . breakfast room crowd , ( hotel full ) find table four we quite feat . breakfast quite substantial keep we go good part day , though little protein less starch might good idea . ' m sure establishment offer good value rate charge , San Francisco hotel ( unfortunately ) seem uniformly overprice . 
 Aug 15 2007 	 good location average hotel not pay extra bridge view 	 family 5 stay 3 night early month generally satisfied . location Lombard Van Ness easy get walk distance Fisherman 's wharf . take # 30 bus Giants game . hotel room average small bathroom . family 5 2 double bed plus rollaway tight problem . not pay extra high floor view bridge - good view . parking garage small difficult maneuver get minivan repeatedly . go early breakfast - get crowd last hour 8:30 - 9:30 . 
 Aug 9 2007 	 wonderful stay city bay ! ! 	 mother stay Comfort Inn Bay vacation San Francisco . impressed hotel . breakfast great . room perfect . bed comfortable . room view Golden Gate Bridge beautiful helpful need something need direction . hotel great vicinity relation & quot ; touristy & quot ; place ; ie : Fisherman 's Wharf , Pier 39 , Ghirardelli Square .. hop bus 47 take ! go back SF , DEFINITELY stay ! ! ! love ! ! great budget vacation ! ! ! 
 Aug 8 2007 	 good location budget conscious 	 family five stay 3 night begin August 1 . hotel locate Van Ness famous Lombard Street . , Fisherman 's Wharf walkable , right bus line . car need , read far . staff courteous helpful . breakfast standard , room somewhat small clean orderly . issue confirm rollaway bed thru hotel website , staff say accomodation make directly hotel . thus , make without . Cafe Lombard ( italian ) right across street fine place dine ; not expect 5 star service , wine booze . we look bus trip Muir Woods , fare five much , look rent car day . opt City Rental , prove excellent choice . bring car , be cheap , easy drive Golden Gate beyond . for neat inexpensive lunch people watch experience , try Tait 's Fishermans Wharf . ( credit card ) .would stay hotel , would look other well . 
 Aug 8 2007 	 job 	 hotel book via travel agent first time visit US San Francisco . the room comfortable perfectly adequate . not book room view , do not ' matter every day . Comfort Inn nice handy everything . walk Ghiradelli Square Fishermans Wharf , easy catch Muni bus Van Ness anywhere . handy location tour bus pickup . the staff friendly helpful great tip like get breakfast early find certain shop . I couple minor issue . great coffee room , would rather little container uht milk instead powder whitener . also , conclusion stay , need get three bag plus baby daughter street catch shuttle , alone , could really do bell hop ! otherwise would happy recommend hotel look something clean comfortable basically get job do . 
 Aug 7 2007 	 Great Family Hotel 5 ! 	 family 5 ( 3 teenage daughter ) hard time find decent hotel need one room decent price . hotel great . nice clean room , good breakfast , friendly staff . walk distance Lombard street , Cable Cars , Pier 39 . pay parking worth . day check , allow leave vehicle garage ready leave San Francisco . overall great place stay family ! 
 Aug 2 2007 	 wonderful Customer Service 	 Comfort Inn Bay great place stay . entire staff -- housekeep front desk -- friendly , helpful extremely courteous . & quot ; Bridge View & quot ; room ( rather & quot ; Garden View & quot ; room ) look Lombard Street fog , would view Golden Gate Bridge . room nothing special ( bathroom small ) immaculate . hotel website states room desk , be accurate . room desk , small round table . high speed internet access available charge . business trip , would prefer real desk , everything else pleasant not bother lack proper work space . Parking San Francisco difficult pricey , parking Comfort Inn Bay exception . hotel small number parking space available guest underground garage rate $ 26 plus tax per day . garage small difficult manuever . small car , parking manageable , think large car truck would difficulty . overall , stay pleasant probably book room future . 
 Jul 31 2007 	 great ! ! 	 staff friendly enough . breakfast buffet free - for - all whether could get seat . great choice fare offer . ' by Bay ' stretching point somewhat fair walk get Bay ! many eatery close hand - advise catch bus ! view room straight wooden wall building next door - special treatment Brits ? still 3 night - would not want stop long . San Fran worth visit - prepare hill - long wait tram . Alcatraz think provoke definite anybody 's list thing . 's prison - punishment holiday camp ! ! 
 Jul 8 2007 	 good location middle hotel 	 Comfort Inn locate busy stretch 101 turn Van Ness Ave onto Lombard Street head towards Golden Gate Bridge . room 9th floor could see ( dirty window ) Golden Gate Bridge partial view Alcatraz . reception polite , though friendly , room basic , clean especially nice . not think high mean street noise- seem come air con , perhaps round back hotel would good light sleeper ? addition wall quite thin , luckily reasonably quiet neighbor . parking $ 28 ; large vehicle use lot side ; not fill . hotel seem attract coach party ; not day not coach outside . add chaos breakfast ; find seat nearly impossible , choice acceptable , little stodgy . breakfast staff militant clearing away room : arrive 5 minute breakfast end late ! seem forget hotel stand falls service provide guest . location seem fairly safe night 25 minute brisk walk Fisherman 's Wharf steep hill climb reach trolley stop summit Lombard St , wiggly road be . for price , keep expectation low , acceptable place stay could much well little TLC hospitality course . 
 Jul 5 2007 	 Spectacular firework 	 actually stop motel six month ago reserve one top floor room 4th July firework . one establishment guarantee request . holiday traffic tremendous number visitor town , pay rack rate $ 179 + 14 % tax , $ 26 night parking + tax . bit steep & quot ; face & quot ; double firework easily compensate . good walker appreciate location motel , Cannery Ghiradelli Square within 15 minute less . a number restaurant close 4th challenge find good place eat become even great . Union Street great number eatery . good bar scene Perry 's , watering hole popular 60 's . settle popular Betelnut , seven block Union St. , asian restaurant offer good value vibrant ambiance . there problem may wish note experience will not hinder . example , bathroom sign recycle towel room notice change sheet remain ignore . four set towel replace sheet change . parking issue . get secure garage fine . announce arrival speaker , gate rise . exit different story . gate remain despite check . 10 minute , someone go around entrance use arrival speaker get desk respond . the room bright bed comfortable . ' m sure someday management something wear carpet soil chair . , clearly three - circle experience , one gladly repeat . 
 Jun 23 2007 	 Handy Base 	 Comfort Inn expect : clean , basic accomodation , good base explore San Francisco . the staff polite happy answer question area , bus stop close cable car stop crooked part Lombard - 2 block away . the breakfast nice - especially waffle . think choice slightly limited room get quite crowd free , can not complain . I would reccommend place anyone budget , look travel San Francisco . I also post trip report San Francisco Forum , anyone interested . 
 Jun 21 2007 	 absolutely wonderful 	 spend week stay Comfort Inn Bay San Francisco . never San Francisco sure would good place stay . notice web Comfort Inn offer view Golden Gate Bridge Bay plus review state within walk distance many area . motivation select Comfort Inn extremely happy ! room 7th floor definitely great view -- get wonderful picture bridge & amp ; bay room . room spacious nice . breakfast buffet definitely plus ! 3 waffle machine prevent wait long get waffle . also bagel , boil egg , danish , cereal , juice , coffee ( 24 hrs / day ) , muffin . offer nice variety without problem go somewhere else & amp ; pay breakfast . it 3 block walk get bay area able walk along bay beautiful stroll fisherman 's wharf . shop along bay many cheap price store locate Pier 39 . buy Muni pass able ride muni bus ( stop locate extremely close Comfort Inn ) well ride Cable Cars often need . thoroughly enjoy conveniece Muni pass ! one good site see Alcatraz tour . extremely informative well do . hotel within walk distance Lombard Street ( crooked street ) uphill walk . take cable car stop top street able walk , take several picture , walk back catch cable car . could walk couple block catch Cable car line . also several tour Gray Line . pick hotel . follow tour : city , bay cruise , Muir Woods , Monterey & amp ; Carmel 17 mile , Yosemite . enjoy able see area tour . car need one . completely enjoy vacation San Francisco would definitely stay Comfort Inn Bay . 
 Jun 21 2007 	 good base 	 back 3 night stay comfort inn bay.we find location satisfactory , good wharf pier 39.All muni transport close by . good big breakfast bar lot choice . staff polite . over find hotel clean good value price , area good two teenager we . Mels diner block hotel Lombard , good burger etc . N.B staying day buy 3 day pass muni tram bus pay quickly . 
 Jun 2 2007 	 great convenient value 	 opportunity go San Francisco last summer , decide stay stay 5 year early : Comfort Inn Bay . hotel great . room great view Golden Gate Bridge . clean nicely furnish . hotel staff good helping negotiate way around San Francisco public transportation set tour Muir wood . havd expand breakfast buffet fantastic . stay . luxury hotel exactly familite old tourist look . 
 May 20 2007 	 Great Location Clean Updated Rooms Good Value 	 stay Comfort Inn Bay last week pleasantly surprised . usually stay high - end hotel , time want bed bath since have spend time see sight . will could not believe $ 130 night get we prime location ( AAA rate ) . hotel block Fisherman 's wharf less crowded , cable car turnaround . easy walk distance plenty nice restaurant right across famed Lombard Street . hotel recently remodel everything clean , fresh bright . plus outstanding view Golden Gate Bridge room . would definitely stay . park $ 25 night ( cheap SF ) . 
 May 18 2007 	 great start holiday ! 	 arrive hotel 3 pm room ready . Met friendly reception staff give we map city . Room standard though view window building next door . upgrade want well view city Golden Gate Bridge . Breakfast expect , cake , muffin , cereal cool ' make ' waffle maker . always plenty eat much tea coffee wish . hotel great location Fishermans Whalf short walk hill . catch cable car Powell street downtown . hotel also corner Lombard street , ' crooked street world ' ( steep ) hill . Room keep clean . tell charge car parking web site , tell charge room safe reception staff . check , tell pay service . complain drop charge . warn ! plesant stay would use hotel . 
 May 9 2007 	 bad 	 start ... worry book Comfort Inn get relieve . location great ... walk distance fisherman 's wharf . hotel room nice . even though second floor view building , enough room . room clean maid service come everyday clean . staff helpful calling tour see squeeze tour group letting know great place eat . breakfast enough . choice waffle , bagel . toast , english muffin , cerea , , hard boil egg , toast , pastry . think enough breakfast . hotel staff polite wonderful anything make stay comfortable . say location great far Ghiradeli square Fisherman 's Wharf . go Lombard Street , crooked road right . enjoy stay would love come back . 
 Apr 23 2007 	 Basic comfortable 	 Comfort Inn Bay nice hotel . mix reservation arrive take time sort . aside , service fine staff helpful . parking terrible . be tiny lot attach hotel , tiny actually scrape car wall try go ramp . be also expensive $ 28 / day ( include tax ) suppose 's expect San Francisco . location great , walk distance wharf Pier 39 . Union Street cool little district block enjoy explore well . be also close several bus stop . breakfast good , be basically cereal , waffle , pastry . room little small , really cramp . overall , would recommend price right , probably choose somewhere different next stay . 
 Mar 29 2007 	 decent place stay 	 want somewhere handy bay 4 night stay . inclusive continental breakfast fine , bit monotonous several day , waffle machine fun ! room bathroom great , even view Golden Gate ! do not eat meal hotel , adequate cafe , bar & amp ; restaurant within easy walk distance , Pier 39 , ferry Alcatraz cable car trip . I pay 85 us dollar double room , 340 4 night , think good value receive 
