Clean 	 husband book Rooms Manor experience really good . sister parent also . even ask , check - in , give we adjoining room . room clean comfortable . room locate ground floor - parking basically front manor . Circus Circus offerre really good buffet meal - 20 usd whole day ( breakfast , lunch dinner ) also offer eat prime rib 13 usd . well worth it . we stay 2 night really great time . probably one cheap hotel facility great . 
 disaster 	 daughter family stay 4 night Circus , Circus Las Vegas . total disappoint past experience . normal amenity i.e. , refrig . , Microwave cost extra per day , room clean , elevator break , walk flight stair get room . talk desk receptionist Supervisor unprofessional sympathic . & quot ; kid friendly & quot ; advertised family set prior year staff rude instance . ever recommend staff Circus , Circus Las Vegas . many family attend football tournament . next year stay elsewhere . 
 cheap ... 	 Somewhat way & quot ; strip & quot ; . price right though like clown , well will love place . room pretty basic , date . room quiet . Shower floor uneven feel somewhat odd ... not know would stay pinch , 's bad choice Vegas hotel . 
 Aug 29 2009 	 way well expect ! 	 family decide head Vegas one last trip school , book cheap flight hotel package do start read horrible review . honestly expect worst arrive , pleasant surprise exact opposite . check lady extremely pleasant helpful happy receive two one coupon Adventure dome . room West Tower hold breath open door . surprise newely renovate room , large bathroom spacious bedroom area . eat one restaurant first night offer $ 12 .. 99 prime rib dinner , eat , husband love , meal order huge probably could share amoungst we . great time would love go back . 
 Aug 27 2009 	 Excellent value 	 bit unsure stay hotel reading review , glad . excellent value money . stay West Tower ( believe nice part hotel ) 3 night . room spotlessly clean ( be come someone usually get anti - bacterial clean touching anyhting ) large enough accommodate 2 adult 2 teenage boy . all - you - can - eat buffet one cheap strip excellent choice . would definitely stay would recommend everyone great value break . 
 Aug 26 2009 	 enjoy 	 glad stay , even read review ... great location strip . nice comfortable room reasonable rate ... 
 Aug 24 2009 	 fun always 	 go vegas year last 5 year . always stay circus . hotel make . 's fun kid , also be good deal . make reservation may , request 2 room side side . give we inter - connecting room . first lady check counter little rude , talk another lady work vip service , take care we . even though hotel little old , people fail realize reason go vegas see sight enjoy self , become hotel critic . overall can not get well deal $ 23 night two free night player . go back may wife , can not wait . 
 Aug 24 2009 	 way well expect ! 	 enter hotel check area , must enter parking garage . careful speed bump , tall . free Valet parking nice place large , would hard find car . the check - in process long , especially since book online already pay . $ 1 day charge phone . the first room give we still dirty 2:00 P.M . safe also lock . call desk give we another room . get new room clean safe also lock . unlock safe , engineering man security guard . guard show minute leave . say tell engineering man ok unlock safe without security . engineering guy show say can not unlock without security . get phone finally get ok unlock . need well system speedy check safe leave lock . burn hour vacation time Vegas . the room fantastic ! modern style granite countertop pillow top bed . flat screen tv hardly watchable channel . we trouble enough washcloth . motel housekeeping can not leave enough washcloth ? 3 towel , 1 washcloth 3 we . call get fairly quickly . I not sure get read review . surpise room modern update . besides time waste safe issue , great stay . 15 year old 3 stuff animal midway $ 5.00 . need something staff midway . lifeless , unhappy look people see 4000 mile vacation . 
 Aug 23 2009 	 Love Circus Circus ! ! ! 	 third stay Circus Circus last 3 year . first time stay manor learn lesson stay . second time book Tower nice . however , last time four night begin August 3rd . happy renovated room West Tower . wonderful ! ! go end Strip swanky casino lose lot money come back Circus Circus win back ! love end strip Slots Fun , Sahara , Riviera . stay end middle Strip go back . 
 Aug 22 2009 	 go 	 GO ..... mea not stay 10 night move soon could . tell hotel going demolish last year recession hit .... money spend . wallpaper peeling , tv cabinet door rip sharp edge show , crack leak toilet , pool pack can not get seat , long distance strip .... pay fortune cab fare . Dont come .... american hotel . 
 Aug 22 2009 	 good value 	 arrive party 6 give room old part hotel request move West Tower , big conference room available till next day room ' clean comfortable ' STAFF friendly helpfull worry reading review want deep pile carpet gold plate slot spend money elsewhere steakhouse great eatery standard [ supply snack mainly ] never try buffet always busy speak children hotel never problem downside location plenty bus / taxi 
 Aug 22 2009 	 good low budget modest expectation 	 stay Circus Circus several occasion room big , clean fairly modern , public area kind stale clearly need refurbishment . clear hotel cater low budget fine guess . breakfast buffet good , choice restaurant dinner much , not good meal . 
 Aug 21 2009 	 great price 	 hear read mixed emotion Circus , Circus ... want something kid , good value . get ! ! book online directly hotel back Spring June stay wow ! ! 25.00 / night . book adjoining room main tower . nice , large accomodation , clean , nice bathroom comfortable bed . 15th floor quiet ! casino nice kid love Adventure Dome ! ! ! buffet disapointment ! food not good ! would recommend , overprice poor quality . they place eat though food tasty ! ! pool bit disapointment well ... over - over crowded not look cleanist , think may start renovation it . would recommend hotel not child ... everywhere well ... hence Circus , Circus ! ! ! 
 Aug 20 2009 	 Excellent stay nice room 	 las vegas trip mach 2008 , stay hotel , first bit shock small gruuby casino area , howevere soonm check room happy , excellent room clean room simply splendid , huge bed plenty space . even well krispy kreme donoughts casino , make . casino house huge car park easy navigate around , food casino steak house , even though highly regard good vegas also seem way overpriced . overall excellent stay would recomend anyone . deffo stay . 
 Aug 17 2009 	 Refurbishment need poor location 	 situate north end Strip ( Stratosphere Tower end ) , well away main action Strip . taxis ( long , hot walk ) require get central Strip area . in desperate need refurbishment , decor tired look claustrophobic feeling . look like hotel original decor 1960 . gear towards family budget , cheap serve purpose keep cost stag - weekend UK much well place stay . would definately return Vegas would definately stay . 
 Aug 17 2009 	 will not mind stay . 	 Circus Circus perfectly fine wife , 16 month old , . book reservation Orbitz.com & amp ; get decent deal Saturday night . hotel charge $ 1 / night charge use phone local call , nothing compare $ 10 - 15 / night resort fess find place ( plus high rate ) .The room West Tower real nice . room clean , bed comfortable & amp ; room stay cool . room 22nd floor view Las Vegas Blvd . unfortunately location CIrcus Circus , view Riviera & amp ; construction ( never Las Vegas one time not construction go ) . hotel locate far end Strip , require little bit walk get main area . little tip though : get pass Deuce . $ 5 / person 24 - hour pass , ride double decker bus much want up - and - down Strip . even pick right front Slots - a - Fun right next Circus Circus . the elevator extreamly pack & amp ; try get stroller one hard . maintenance employee let ride employee service elevator b / c wait elevator 10 - 15 min due every elevator stop full . the complaint weekend summer , peak season , cheap , sit - down dining option around 7 - 8 pm . error part assumption ( live laughlin area least cafe open 24 - hour casino ) , assume least one 24 - hour restaurant . course , review hotel portion , food & amp ; beverage , can not fault Hotel that . my 16 - month old love advenuredome , even though 1 & quot ; small ride small ride . get play game & amp ; watch ride action , exciting enough . well , Midway & amp ; free circus act really get attention . game range $ 1 - 2 win usual stuff animal prize . overall , stay . great place stay , especially kid . 
 Aug 16 2009 	 avoid hotel . 	 one bad hotel stay many year . surprised MGM embarasse portfolio . hotel look like not touch since build 1968 . pool absolute joke ... literally park lot privacy fence planting get practically involved cut boiler room . spend extra $ 20 - 40 night go stay one nice hotel close action . 
 Aug 15 2009 	 stay 	 oh god good , coffee pot room go bottom floor buy coffee guess machine order week say something worker say hotel 's could care less , safe broken room , commode break , air not work good , please check around book . 
 Aug 15 2009 	 Circus Circus run like 's name ! 	 Circus Circus Hotel need new slogan well fit hotel . example .. - & quot ; Circus Circus , bad hotel strip . & quot ; - & quot ; Circus Circus place ant share room board guest . & quot ; -Circus Circus hotel offer 2 mile walk hotel room main lobby & quot ; staff rude . hotel crowd . kid friendly . price . BASICALLY , bad choice hotel possible . trump tower offer price $ 69 night , less pay . WASTE TIME MONEY ! ! ! ! ! 
 Aug 12 2009 	 ok ish 	 matter anyone say far strip worth summer . walk 100f+ much , thank god McDonalds ( be often say ! ) half way ... air con much appreciate . pay stay central , will glad . motel style manor room , clean cool , give litte pay fine . one thing aware shuttle bus airport ( think call ' Showtime ' ) , not buy return phone arrange can not get ... someone else mention dead right . try every 30 minute hour succeed get receptionist persisitently try . get single make arrangement . airport 's dead near anyway . 
 Aug 12 2009 	 bad price 	 get good deal Circus Circus , pay £ 63 family 4 3 night . the hotel rather tired looking sit right one end ' the Strip ' , be rather long walk attraction Las Vegas . budget 's ideal visit Las Vegas would pay extra well hotel well location . 
 Aug 11 2009 	 Sucks . not even consider hotel 	 stay Circus Circus two kid ( 2 4 year old ) uncle - aunt 8/8/2009 . book two non - smoking room west tower . one friend also book room family ( 2 kid ) day . request put room close . reach room , find smoking section . room stink Cigarette smoke . approach customer service person rude . complain , offer room different floor different section hotel . claim every room iron board iron . iron one room . iron board . room iron ironing board . these people hospitality business . 
 Aug 11 2009 	 Viva Las Vegas @ Circus Circus 	 well say , Vegas fantastic ! hotel show 's age . my husband stay July 28 August 6 2009.hotel pro , cheap stay , large room , comfortable bed , quiet room , ( unable hear other ) , shower work well , location end strip , little quieter ( beleive good thing ) . deuce bus stop front ( use alot get around , run 27/7 ) . unable comment pool ( use ) . housekeeping either around 8 am 2 pm ( depend disturb sign ) . flat screem tv . child friendly circus show & amp ; indoor park rollercoaster game etc . various food selection , buffet , Krispy Kreme , hotdog , Subway , Pizza anything imagine , McDonalds next door . Hotel Cons , Old , tea coffee facility room ( know booking ) , housekeeping forget disturb mean call couple day row see time want room clean ( asleep ) ! ask smoking room get non smoking room - go back reception say , problem send ashtrays - non smoking floor - seem bother ...... child would likely like hotel , much entertain they . on another note : know go Vegas , child able walk Casino 's long not loiter around gaming machine table ( something allow Australia ) quite weird we . much Vegas free age . would recommend hotel family , would stay somewhere else return Vegas . 
 Aug 10 2009 	 cheap good reason 	 busy impersonal hotel , staff particularly helpful verged rude time . room ok brilliant . bad thing location , although look far map , along way hotel Strip . major factor temperature 43 degree + August . basically get pay wish pay bit stay central location . 
 Aug 8 2009 	 easy kid 	 fine stay Circus Circus . ' posh ' hotel strip , however good value , easy place child , clean food good standard . choose stay west tower room bit expensive think worth lovely . go casino comment gambling . however base explore Las Vegas take trip Grand Canyon ( use Papillon pleased ) , excellent . alsowent show ( Cirque de Soleil Treasure Island ) would recommend . 
 Aug 6 2009 	 kid friendly Vegas get 	 spend one night Vegas kid , place . circus act fun , indoor amusement park pool ok . stay remodel room nice worth extra money . check phone hour arrival . highly recommend . try keep girlie picture advertisement away 's little kid friendly . street though , prepare ' ve get kid . 
 Aug 5 2009 	 Decent hotel fun atmosphere . clean . 	 view TA hotel review upcoming vacation , realized never write visit Circus Circus two year ago . consider amount wear tear hotel receive , understand reader think two year - old review inconsequential , want alleviate budget - conscious traveler . stay five day husband find hotel adequate . Hotel Room : bed comfortable linen smell freshly launder . no smoke smell evidence previous occupant . bathroom : tub , toilet , sink , bathroom floor clean visible mold . shower good water pressure . staffthis large hotel employee busy , yet friendly helpful . within five minute call Housekeeping , iron deliver room . food / EntertainmentThe complimentary circus act entertain Adventure Dome , fill amusement park - type ride activity , pleasant diversion . several eatery hotel , include McDonalds . Buffet reasonably price , crammed edible notch Old Country Buffet quality . ? LocationThe hotel locate near end strip . feel safe comfortable time . public transportation Vegas run 24 hour ' bother rent car . I comment Manor stay main hotel . ? ? remember : problem , contact management CALMLY succinctly communicate issue acceptable solution . like Gramma use say : catch fly honey vinegar . I would definitely stay . 
 Aug 4 2009 	 good hotel 	 good hotel , scare bad review hotel actually nice , good staffing well . hotel really big cicus fun entertain . complaint one cocktail waitress rude , thanthat staff great . near strip bus take minute . 
 Aug 1 2009 	 less expensive hotel - Ritz everything family need base explore Las Vegas . 	 not try compare Circus Circus one new ultra - deluxe mega hotels strip . want go stay - expect pay considerably . Circus Circus old hotel popular family . crowded hotel Vegas - since lobby area great big high ceiling probably feel crowded hotel . the Hotel work fine , wife 9 year old 16 year old . adventuredome indoor amusement park must kid . lot great ride . Circus act midway fun - enough seating show start . price ( free ) not think right complain . the hotel bite date area , room large , clean newly renovate . marble tub / shower , LCD TV , fresh linen non - smoking room adjoining room . room ultra luxurious complaint . the place popular family expect lot kid . look ultra posh resort hip hangout - . name alone tell place . the hotel lower price . north end strip rental car big deal we . bus transportation option . I would recommend place family look spend whole whack cash room want something decent kid enjoy . you get pay people surprise hotel build 60 's ( ? ) compare one new super hotel . the big complaint hotel pool . surprising difficult get relatively small without amenity like would expect hotel cater family . basic pool - kind small waterslide anything . hotel update - re - doing pool priority . 
 Aug 1 2009 	 Plenty Convention Room Comdex gr8 	 make Time Leisure plenty BusinessConvention time price triple not book early probablyhave scout room , Superb Dinning , name ! ! fun 
 Jul 31 2009 	 Rundown Dump 	 price whch entice people worth money . hotel run , dingy , noisy poorly run . ask handicapped room due husband 's physical condition . we senior travel teen grandson 10 year old grandaughter . equally unimpressed . fortunately check luggage valet parking draggimg many people . walk entire length lobby around escalator promenade , area casino elevator get room . commend valet parking satff bell hop prompt efficient well helpful . bell desk another story . return evening find escalator Promenade ( room ) shut explantion reach thrid floor room , hike back bell desk , finally get attention , tell west elevator take we 2nd floor could walk promenade get elevator room . the area around circus act hard locate , surround arcade game rip off . seat extremely limited around circus stage , act 30 45 minute act . take elevator pool creak light blink , give we great concern would get stick . needless say not swim . adventuredome gear young child pretty steep price consider . overall hotel clean , worn , crowded worth stay . avoid one ! ! ! ! 
 Jul 31 2009 	 not ! ! ! bad experience 	 bad ExperienceHotel fall apart . obvious either go bankrupt plan tear soon . investment make maintain infrastructure . staff nice pleasant tell work limited resource . hand face towel one day 5 . tell supplier delievere . 2 4 elevator service 21 floor work two scary ride . consequently long wait time 20 minute elevator . find staff open access freight elevator ( work perfectly fine . ) overall cleaniness hotel room good carpet room stain , window dirty completely turn . hotel buffet gross . hotel smell . real place sit relax drink . long registration line . 1/2 hour wait . one pool open scary adventure get . hotel full vendor sell junk . difficult walk hall without someone try sell something . would check first day prepay . room service open noon ( get someone answer phone ) . try call help ( house keeping , front desk , etc . ) pointless . one answer phone . carnival game circus act outdate ( retro 80 's ) . amusement park overprice compare limited ride especially young child . 
 Jul 30 2009 	 dump 	 circus circus suck . 's . 's unofficial hotel choice parent drag juvenile delinquent along vacation . 's dirty , noisy , almost end strip . restaurant way pricey , drink , really not even good . casino okay , defiantly outdate . room small , smell stale smoke ( even though non - smoking room ) , nothing modern . almost think bring rabbit ear hook get picture ! go to spend minimal time hotel , not mind walk much get , pay cab fare , hit . 's cheap nice hotel . want good hotel experience , defiantly place go . redeem quality place 's really fun , really seedy & quot ; casino & quot ; next door call slot - a - fun . 's place rub elbow tourist not wan na high roller real casino . really fun place drunk lose rent money next month . 
 Jul 28 2009 	 GOD AWFUL 	 check smooth , get room . dump . hair bathroom floor previous guest , window full hand print . coffee maker , room service except could order pizza . the Steak House GREAT thing hotel , food outstanding , service staff fantastic . definetly worth visit . pool crazy , go hotel hang . Golden Nugget Freamont street load fun . go see Hoover dam , bus driver Ron great , load fun informative . would stay hotel ever , due room , mile walk strip get pass trash along road , empty parking lot building , mention crazy people hang around side walk . for price , upgrade stay Treasure Island Freamont Street . 
 Jul 27 2009 	 O.K . - life name 	 good = location , good standard room ( main part hotel ) clean & amp ; great view , value money . bad = chaotic customer service , noisy , brash & amp ; restaurant expensive - poor food & amp ; long queue . after long flight - hotel check appallingly long ( hour ) - great start . lobby public area hotel ridiculously chaotic - fact everywhere outside room literally circus ( sorry pun ) . decor see well day hotel cater family young child . main let hotel - 's chaotically run & amp ; customer service variable - staff pretty helpful , other really could not care less . the restaurant hit miss - Garden grill Westside cafe long queue morning food unappealing & amp ; expensive - think bagel , bagel another bagel . head casino cafe well , expect queue . chemist ( like mini supermarket US ) 5 min away however sell variety food . room ( main part hotel , manor lodge ) good - 4 * /seen - well - day Hilton standard make sure get one main hotel . clean service daily . view room North end strip also simply fantastic esp night ! location also ok - 10/15 min central part strip . sum - value money , live name term service , could lot well - O.K . 
 Jul 20 2009 	 get pay 	 choose location low price . hotel offer fairly entertainment ( circus show every 1/2 hour ) money , would suggest another hotel . boyfriend stay manor , little far central hotel . room clean old , dark , slightly discolored . 's location central Strip walk fair distance look hotel . overall , 's good be tight budget . 
 Jul 18 2009 	 Disgusting 	 room family stay outdated . carpet numerous stain , cookie crumb underneath armoirem visible dust night stand , stains linen , hair tub . top associate not know room locate restaurant . work hospitality industry quite frankly , ' m surprised hotel still around . 
 Jul 17 2009 	 Circus Circus FUN ! ! ! 	 really enjoy stay hotel ! check - in , clerk nice enough upgrade room main tower room west tower room free ! ! ! ! room nice ! housekeeping staff generous well . kid love fact Adventuredome right hotel McDonalds inside well . husband able enjoy fitness center equip enough equipment workout . plenty stuff everyone ! lot restaurant hotel . buffet ok price . really diappointe hotel free wireless internet . fee $ 11.99 per night could use kiosk lobby 25 cent per minute unless print boarding pass . little . 
 Jul 13 2009 	 gross gross gross ! 	 bad hotel could imagine . smell like can not even say .... pubic hair bath tub , yellow spot bed , couple cockroach bathroom . buffet food horrible . , do not use valet service .... 
 Jul 13 2009 	 average standard . 	 not forget one dollar hot dog nearby . Quite delicious . small theme park hotel , advanturedome , fun child . 
 Jul 13 2009 	 good cheap stay 	 buddy book Circus Circus four night trip Vegas . since take fine place stay since need try bring lady back room . stay Skyrise Tower , normal double bed 19 & quot ; tube tv desk . pretty basic room , slightly date , real complaint pillow come bed . instead eat hotel instead eat lunch every day McDonalds right next door , probably nice McDonalds ever , plus cheap . gambling nice cheap $ 3 mininum Blackjack Craps . look like casino hit hard time , one gambling table section close entire time . half open time Craps open Noon . play time Slots Fun little building right next own Circus Circus . never problem find open chair table space Craps table last night , Friday night . slot Fun seem get little business table actually main Casino , though easy street access probably contribute that . the Deuce stop right front Slots Fun , $ 3 1 - way , $ 7 all - day , $ 14 3 - day . also stop opposite side street Riveria . get crowd , since one early stop usually not problem . be great place cheap room cheap gambling long not mind kid run around make way back room . not problem neighbor noise though , nice . 
 Jul 12 2009 	 not judge book cover ! 	 recently travel Las Vegas boyfriend college graduation gift . never Vegas really concern stay Circus Cirucs read review , however , arrive late Tues . night greet FRIENDLY employee glad accomodate we . upgrade manor room skyrise tower without request extra charge . arrive room 22nd floor greet beautiful view strip . large king size bed , large chair , desk table , television , two end table . room large bathroom large , well . marble sink countertop marble shower wall provide we clean amenity . sheet clean , along everything else room . other write bad review obviously have not see . hotel great budget , child . yes , crown family , not entile family vacation , ? complaint circus circus location end strip not get stay long . however , near stratosphere chance , extra money stay circus circus , visit restaurant Top World , EXCELLENT ! mention $ 3 blackjack offer @ circus circus ! way stay , not worry , everything GREAT , VEGAS ! ! ! ! ! 
 Jul 12 2009 	 's Day come go 	 read article Mae West say , aging , apartment age . once - clean sumptuous decor white satin silk deteriorate like apartment , Mae clung ingénue attire even though dress not fit quite right turn dingy . 's Circus Circus , like call cc . hotel 's day come go not seem owner ( MGM Mirage ) mind much maybe like Mae be old notice . cc bargain hunter , frat boy , individual not really care stay long be roof . last minute , company decide send convention . compatriot book Hilton next convention center time plan make Hilton full . company 's travel agent choose CC one , close hotel convention center room two , inexpensive . , colleague pay special convention rate $ 59 / night CC go $ 70 / night seem reasonable . when arrive , wait line , one often Vegas , 35 minute check . reception personnel friendly , advise & quot ; $ 1 per night room charge telephone & quot ; ; little tidbit conveniently mention confirmation form . upon receive room key , tell Manor room . sound lovely ? be . get go back door , across street walk vast parking lot building room , also happen next Strip 's RV Park . obviously , good sign . say , room dirty wheel luggage quarter - mile reception . ( room big actually old hotel , would estimate 300 sq . ft . , plus minus , unfortunately not update since late 1970 's early 1980 's room furnishing old can not get clean . ) happy , return hotel try get another room ; mere upgrade $ 10 per night , get room one tower . , say , reception bell staff friendly quick come retrieve . advice -- -do not stay Manor room . they send nice bellhop pick golf cart not walk anymore . carry luggage escort new room assure would like tower room MUCH well Manor room . right , well . update early 1990 's , not smell bedding bathroom appear clean . unfortunately , old hotel not build well new one . adjoining door not double insulate could hear child next door wake scream every morning 5 a.m . play dance marble tile laughter vibrate door entry , sound parent 's voice echo song discipline morning leave part unknown around 7 a.m ... 30 minute alarm clock set go off . the food cc not fair much well . supposedly great steakhouse anything option oversized portion prepare large foodservice distributor offering . it be kind sad ... hotel classic Vegas era time ; feature several movie lot money could make beautiful . owner could keep circus theme family aspect place , like Adventure Dome , create adult carnaval area within hotel , could appeal wide demographic potential guest -- -it could something unique . all people come contact work Circus Circus nice , 's plus , 's thing go hotel . 
 Jul 9 2009 	 room clean large . buffet meal good value 	 room clean large . buffet meal good value 
 Jul 5 2009 	 Circus Circus suck ! ! ! ! 	 take family Vegas first time we suck ! arrived greet rude non helpful staff . finally get room walk bed not even make . dirty linen sit plastic bag next door . call stairs tell said & quot ; will send someone right & quot ; . hour later one show . husband call ask someone going come rude say soon hang . finally 10 min later nice maid ( probably nice person work ) show apologize . floor dirty throughout hotel . air conditioning inside elevator outside . Luckily family visit casino area much nicer . staff much nice . one make first trip Las Vegas memorable one -- -not Circus Circus ! 
 Jul 1 2009 	 do not stay 	 would great hotel child . adult , much far site . room odd smell never go away . always line get elevator check . seem super crowd family ... kid run almost trip . hotel seem date old . food good neither service ... forgot drink app two occasion . many help speak english . pool gross .. clean really crowded . like7 channel tv . pay 12 dollar day internet 1 day charge phone . clean lady leave dirty towel floor . good part comfy bed . gym tiny date smell bad . overall enjoy would't stay . 
 Jun 30 2009 	 bad trip 	 husband spend 1yr anniversity Las Vages stay Circus Circus Hotel bad review read line . stay three day June 20 - 23 fun circus show walk strip night . Las Vages beautiful place night city light . much see enough time . food eat really good ( SLOT MACHINES & quot ; let GO money ) . overall fun hope go back someday stay different location due fact Circus Circus far away main sight place could walk catch bus . never forget Las Vages ( SIN CITY ) & quot ; happen Vages stayes vage ) . Mr. LaRon & amp ; Erma Smith Dothan , AL 
 Jun 28 2009 	 Un Helpfull un caring staff ! ! 	 stay Circus Circus Las Vegas every trip . time fall badly light ground car park . find knock bleed . security staff take inside take picture etc . ask go hospital want go holiday UK little insurance , tell would help cost , week later $ 2500 bill stiches hotel tell would help towards cost ! ! ! un friendly un helpfull . add drama room dirty hair bath toilet ! ! ! 
 Jun 27 2009 	 fantastic stay 	 stay circus circus 15th June week . bit nervous see bad review go . when arrive check straight forward efficiant . hotel lively friendly . our room 20th floor one tower . the room clean everything could need . order room service breakfast first day really lovely . the casino great neighbouring slot fun.we drink bar nearly every night favorite pina colada . the bar staff could bit friendly service fast . the circus act great even tho hotel lot child stay always keep occupy circus indoor amusment . we love hotel even tho long walk centre strip , catch deuce bus every day $ 7 24 hour pass bus great run day night never wait 5 min 1.Visit Freemont Street great atmaosphere . have fantastic time gamble load , eat load drunk load would go tomorrow . 
 Jun 24 2009 	 incredible bargain ! 	 second stay Circus , Circus past 2 year . find incredible bargain . time , room huge , king bed , sofa chair , dress room , etc . entire room spotless , plenty towel , etc . moreover service outstanding , checkin , bellhop , valet parking , etc . Checkout take 10 second do via tv room . call bellhop , even though busy check time - 11am , less 5 minute ! ' ve never well service anywhere . actually find special online $ 26 per night ! would say sometimes get pay ! certainly feel . downside $ 11 per day charge internet . 
 Jun 24 2009 	 noisy place stay . 	 round trip Usa . want selbrate 50 year birthday . stay 2 night . verry noisy . place stay adolt people . kid maby verry good . go place eat fun 
 Jun 17 2009 	 nice place 	 hotel may rate 3 star , great value money , friendly staff upgrade well room . room good – really spacious , modern standard amenity . bathroom maintain standard room décor set . internet access parking add attraction . casino good enough travel/ show/ box office desk good place info ' need Vegas , hotel , casino , show , et al . since ' really value money property , may encounter long queue check check . ' panic , staff efficient & amp ; check - in breeze . negative , one may call , towards end strip . tourist willing explore , ' bother . btw , ' miss light night – Vegas well , get dark . 
 Jun 15 2009 	 Get Pay 	 want cheap stay Circus Circus great place . decor outdated not bother we . stay start terrible , book non - smoking room even tell room non - smoking horrible smoke smell rug drape room . pool huge dissappointment size hotel room photo 's site decievee . amount child run around insane , expect extent . service subpar throughout whole stay , nothing really make we go wow . flip side casino treat girlfriend really well . payout good , casino anywhere else - low minimum buy - in good since huge gambler . I would stay unless take whole family , will not . 
 Jun 11 2009 	 Disappointing 	 utterly disappoint disgusted hotel , never , ever stay again . we ( , husband ) arrive Monday , get key check . go room , daughter wear white sock within 15 minute , sock black ! gross . use cups sink bathroom , re around tub , dirty sheet . immediately ask transfer , grant . one least clean . next problem people next door . room side adjoin door convenience party 's one family family share room . smoke side ! ! ! non - smoking floor . daughter cough could not figure , smell cigarette . call front desk , ask hold , explain people side smoke . said & quot ; control people room & quot ; .I confirm non smoking floor say yes . I ask go . want move US & gt ; inconvenience one follow rule . exact word & quot ; mam , apologize . switch room like put towel door room service come spray room not smell ! & quot ; OOOOOH mad ! know illegal , would call police front desk ! completely miss point . call daughter suffer cough wheezing ! regard health stay . end stay Circus - Circus Friday , end need stay Las Vegas another night due husband ill . end book Treasure Island , hotel . soo much nicer , cleaner much well service . now know inexpensive stay coupon book full discount . suck ! 
 Jun 11 2009 	 dazzle spectacle 	 daughter stay 5 day Circus Circus , boulevard , Las Vegas May year , safely say good hotel ever stay . even daughter agree , love stay luxury comfort . we land Las vegas night , reach near hotel dazzle saw . huge front porch , hundred light , giant billboard clown greet we . walk casino , like . truly amazing ' Midway ' area middle casino earmark entertainment . circus performance free every hour 11 am 11 pm , incredible number game kid could play , cost dollar even less . daughter soft toy top world . also 20 $ free play slot machine . one day , stroll thru hotel , give free meal coupon meal restaurant call Buffet , choice food mind - boggle , much variety , tasty , could hardly eat want . shall never forget huge table full every kind dessert pudding imaginable ! room . truly spacious . get room 2 kingsize double bed two we , good small club sort thing nearby , pool , library , internet facility , every convenience imaginable , shop microwave could use . , amazing experience , hotel comfortable exciting lively , day would spend whole day stroll around shop restaurant hotel . afford surely go , time entire family . 
 Jun 10 2009 	 good stay 	 nice stay good price las vegas . the room well good enough spend night . casino attach hotel help especially since variety kid activity 
 Jun 9 2009 	 LOVED stay Circus Circus ! 	 get marry Las Vegas , group 45 people stay . personally stay one big room . ( say hotel 9 ) suite style room kitchen , living room , king size bed , stand shower , whirlpool bath ( big enough 2 ) . also double sink bathroom huge mirror . room top floor , 35 great view . pay $ 20 night room . family compare room decide room 22nd floor well room . bed nice comfy . loud . 9 kid we everybody enjoy time . buffet not good food will ever , decent . staff great . little impromptu reception designate certain spot we . staff tell congrat since wedding dress . really good family also . the hotel little towards end strip , work fine . 
 Jun 7 2009 	 service hotel awful except bellhop chapel 	 fiance , , adult niece , 2 kid stay 4 day . call twice make sure info request get nothing . took forever end get anything ask . every person talk except 1 3 bell hop chapel employee rude seem care . pay arm leg check late get room noon maid take crib move stuff one tell stay . every price quote thing wrong , like extended check . walk room ridiculous . take 2 elevator walk 2 circle around place . room outdate thing break . circus show great , come see wherever stay . definitely highlight trip . way far north take awhile get big attraction . 
 Jun 6 2009 	 clean affordable friendly staff 	 boyfriend get back stay Circus Circus , admit little scared reading review . compare hotel strip , one be not nice .. say , affordable , clean room , plenty restaurant choose , friendly staff , great place kid . expect hotel way actually . take we 5 minute walk fashion show mall rest hotel . upon check , concerned room unrenovate one , look kinda scary internet .. get one room incrediby clean quite spacious . would 80 dollar charge upgrade new room 5 day . bad . be not plan room , forgot . complaint hotel renovate do floor we 6:30 morning . loud bang hammering , annoying have not sleep . eat italan restaraunt , buffet hotel tasty . buffet lot good salad . potato salad really good . also Mcdonalds inside midway next door hotel conveinent late night munchy time . bus also stop right outside hotel ticket booth right outside well . also convienent . valet parking great , quick friendly . help we rental car comany run extreamly late good . super depressed leave ! ! great trip ever ! hotel clean , close , everything could need . could ask ! ! 
 Jun 4 2009 	 not believe bad report . 	 family friendly Hotel money good value , one old hotel Strip need serious updating , generally room clean find everything work order . hotel would stay length time really base sleeping , buffet servce good occasion use , like wine dinner forget virtually impossible get , wait waitress casino time finish meal . advise stay well clear Mexicanitalian Resturant service option , staff like something faulty tower simple meal order take 45minutes arrive table , order drink think sort alien be . the Front Desk fine long wait , staff helpful pay attention request , permanant circus bit joke would waste time , ADventuredome o.k . overate compare attraction definetly line refit . location ok use deuce bus servce go strip find good get pack later day . all attraction Strip course good , ground air trip Grand Canyon fantastic , SKYWALK find overrated exspecte far small , indian tribe get Disney MGM build , way arrival Grand Canyon greet one Indians mean one say & quot ; ticket want & quot ; pity General Custer around , Grand Canyon say . 
 Jun 4 2009 	 great comfort 	 go family vegas get great deal stay hotel.we get manor room , still like deluxe rooms.great hotel price . 
