room 	 would highly recommend hotel - fantastic spot Manhattan ( walk distance 5th Ave subway etc ) be neat , tidy decent price . our room 2 single bed inside , must admit much small expect , not bother we one bit - be New York , be go spend extend amount time room , be crazy ! tiny room suit we sleep . clean comfortable within budget ( $ 1000 5 night - book expedia ) .I highly recommend hotel would definitely stay . 
 Apr 17 2009 	 great base NYC 	 go NYC 3 night break boyfriend February . find Thirty Thirty online easy enough book . little concerned negative review read figure last place have New York hotel ! flight delay Heathrow concerned staff would think not go . quick phonecall rectify check many hour later expect problem . staff friendly polite . we book superior room want . big comfy bed , couple lounge chair little table tv . sink mirror main bedroom toilet shower find en suite . there hair dryer , iron board , iron free safe room also . however smell cigarette smoke ( wonder whether people actually live hotel filtering never see anyone smoke ) . wall thin side not bother either we want early see sight . hotel centrally locate thing within walking distance . walk end block look see Empire State Building amazing . avoid restaurant attach hotel reading review , spoil choice good cheap food . please go eat Crooked Knife opposite thirty thirty . atmosphere bar great food reasonably price tasty . bar staff make cocktail want . there concierge base hotel 's reception area available unsure want . not use guide book lot research go . we pay basic $ 45 plus toll tip JFK yellow cab hotel book we cab return trip know much time leave city . suitcase keep storage facility bell hop polite helpful . overall , great trip . would go back definitely . 
 Apr 17 2009 	 great location ! ! 	 stay four night Feb / march 2009 . hotel 3 minute walk Empire State building ideally locate reach everything foot . hotel clean , well present 3 star right . four night £ 300 heart ny great value . there pub opposite call crooked knife atmosphere great food good . seem used sort way home office . put complimentary spicy chicken wing bowl home make chip table thursday friday 5 7 . delicious ! moan stay use porter order taxi get airport . polite obviously thing go mate turn range rover take we airport . license taxi driver hindsight , get vehicle . fore - warn fore - armed ! , highly recommend return , shall stay . 
 Apr 15 2009 	 Comfortable ideally place midtown hotel 	 4 night want . nothing spectacular hotel , clean , room small perfectly adequate staff helpful . actually upgrade first night standard room . although expensive room big , find bathroom small standard . plus , standard room quieter side building . it good location walk downtown - base Thirty Madison close Empire State , Times Square Grand Central . suggest get bus town JFK - $ 54 dollar return 2 great take Grand central transfer car take direct hotel pick door return . go theatre , suggest 39 step - ' ve turn comedy fantastic . also try rooftop bar 230 5th Avenue - brilliant view midtown area . good grub - good particular metion must go Grimaldis pizza across Brooklyn Bridge Tortilla Flats Greenwich . 
 Apr 14 2009 	 Excellent Location clean -would recommend def stay 	 Excellent Location -clean , comfortable cosy room . walk distance Times Square , Grand Central Station & amp ; Empire State . staff helpful face great ! really good restaurant bar vacinity -our favourite Crocked Knife ( directly opposite ) Foley 's vibrant , friendly great value money . dont listen review -especially want use room base get see city ! hotel great perfect need -will go back would recommend ! 
 Apr 12 2009 	 good base New York 	 extremely nervous stay Hotel 3030 . young woman travel review read hotel awful . arrive hotel expectation pleasently surprise . hotel 3 * think lot people forget , 3 * mean will not Marriot . request room high floor - which get . single room , small nice . bathroom nice amazing granite ( granite substitute floor shower ) . lock door safe . thing could replace room -like carpet grouting bathroom bite odd , sheet matching , quilt sheet cover instead quilt cover apart place perfect base NY . staff overly friendly one particular unhelpful . small resturant attach hotel - I bfast lovely irish pub across way good food . good description give hotel like good student accommodation - its fine Waldorf ! 
 Apr 10 2009 	 Ideal hotel ideal loacation clean helpful staff 	 Service first class 4 people party book two twin room arrive one twin bed available fold bed immediately send double room new room twin bed allocate next day request deal pleasant staff . room ok bed clean comfortable . location first class tourist attraction 4 street Empire State Building could see bedroom . nothing not like hotel already plan another trip next year book hotel 
 Apr 4 2009 	 ideally locate 	 stay thirty thirty two night end March . hotel ideally locate explore Manhattan fully . empire State Building 10 min walk Grand Central Station & amp ; Madison Sq Gardens ... negative note attitude staff front desk . kinda thinking may flunk charm school ... let put hotel great lovely bar / restaurant directly opposite call Crooked Knife ... food lovely reasonably price . subway station 33rd Street around corner open whole Manhattan walk place ... Central Park 30 min .... Times Sq 15 min . 
 Apr 2 2009 	 Hotel Thirty Thirty conveniently locate accommodate 	 hotel locate Park Ave , catch subway anywhere 28th Street . room standard back , corner eleventh floor great view New York Life Building window . room small , clean . bring travel coffee maker , not one room . tv mount high wall , not care , New York , not matter . not purchase hotel 's internet access ( expensive ) able connect via wireless one several unsecured network . comfy bed , nice bath . vanity , desk , table ( except night stand . ) Booked Hotwire $ 97 plus taxis / night . 
 Apr 2 2009 	 excellent location decent place stay 	 long not expectation Thirty Thirty somehow add experience stay ny , acceptable place stay . read previous review , make sure book large room also confirm prior arrive . pay $ 170 usd inclusive taxis breakie ... would not really want pay . room large king bed , modest - 1 mirror , in - suite bar , coffeee - maker , iron . front - desk staff rather surly , charm smile help we early check - in extra breakfast . room cleanliness , despite review , actually fine . hear several complaint guest error booking small room . hotel attract budget traveler -- - english bloke drunk hallway , school group , european , young couple . european - feel hotel - include electro - pop trash music blaring breakfast cafe . Advise get large room , confirm reservation advance stay price right . 
 Mar 31 2009 	 Grand 	 Reading people review say bit nervous go . lobby large ugly . staff unpolite , man desk not give we information whatsoever i.e . check time floor room even get room . hotel little grubby alright . room perfect girlfriend . view not well quiet , clean , bed unbelievably comfortable bathroom clean . bed make every morning sheet clean . would definately recommend hotel short budget stay NY . job . be grand . 
 Mar 29 2009 	 rename hotel dirty dirty 	 book hotel location recommendation travel agent .We adivse traverlle wished change hotel . give room back hotel , small dirty .with wall paper hanging , fray carpet , scuff skirting board , bath room well . nothing hotel feel clean staff not helpful . bad hotel ever stay price pay would got five star hotel uk . 
 Mar 29 2009 	 like visit railway station basic accommodation 	 stay two night wait visit relative Upper West Manhattan . never see enormous reception area , underused unfriendly - uncomfortable chair along one wall really . wait nearly quarter hour get book , one man duty gentleman front us problem . friendly New York welcome , taxi driver ( please note pay $ 45 plus toll JFK ) . room small bathroom tiny washbasin bedroom ! ! great prefer clean tooth private . plus side , sheet towel change second night . ok would not go . cafe next door serve expensive breakfast opt convenience . 
 Mar 28 2009 	 Disappointing 	 stop 2 night similar experience recent review . positive - great location Empire State Times Square . room small actually clean although show sign age , adequate price pay . disappointing aspect restaurant / bar attach hotel staff add 50 % service charge bill . challenge say error calculator accept standard 15 % prepared pay . read reviewer comment since return , wonder calculator excuse genuine ... reception staff Bell hop unhelpful . keen quote overpriced mean transport get around city . quote $ 120 - 140 transfer Newark yellow cab ( hotel say would not ) quote $ 70 . yellow cab turn , Bell Hop try talk driver take we favour transport . load bag cheek demand tip attempt increase fee negotiate cab driver . say furious understatement . yellow cab driver embarrass apologise we , visitor belove city . restore faith New Yorkers give generous tip ! impression staff hotel merely see we cash machine . could recommend hotel anyone value customer service . 
 Mar 27 2009 	 convenient base explore NYC . basic adequate . 	 hotel fine long be use place sleep wash head another adventure . tourist , wife look get . yes , room tiny long bed comfy , , not need much else . sink also bedroom bathroom ! ! hotel conveniently locate access flurry activity Times Square also far enough south take strole characterful downtown . staff not helpful , must say . ask concierge contact transfer company tell hotel not ' deal provider ' ..... ' so ? ! ' think . so , summary ; basic basic . 
 Mar 21 2009 	 terrible 	 hate say hotel bad ever stay . arrival try put we room already occupy hang around another age . put smoking room could swing cat , stunk cigarette smoke , door wardrobe , clean , tile fall wall . complaint make front desk appear trail anything . finally get give another room everso slightly big , still smelt smoke slightly want sleep . inspection morning carpet fall piece , hole ceiling bathroom . get front desk . thank goodness stay 3 night ! good thing say location realatively central . 
 Mar 20 2009 	 poor service 	 stay 7 friend 5 night ... get great deal Jan booking . say be glad cheap ! room small fair enough bathroom grubby room friends'.service terrible.if request something like towel / extra blanket prepare ring reception 3 time . service bar next door bad . 3 time head St. Patricks parade twice evening late drink .. occasion service incredibly slow . unbelievably slow ... frustrating order drink watch bartender go back friend end bar continue chat ! 
 Mar 17 2009 	 get pay .... 	 NY frequently business stay hotel twice last month . location great , service non - existant . front desk pretty much anything avoid converse , let alone help . & quot ; executive suite & quot ; visit . light room bad , take shade lamp carry room room . one dirty hotel NY , ever stay . bathroom mildew problem dirt dust vent shocking . carpet furniture quite worn . admit get scream deal room , pay future sleep clean safe environment . 
 Mar 13 2009 	 not trust hotel 	 hotel incredibly terrible ! first , book standart room boyfriend arrive room occupy . instead give we well room , give we single room , single bed two people , exhausted long trip . joking not finish . have never see terrible service . doorman spend time look we carry bag . attendance totally stupid inneficient . last day ( thank god ! ) , pay & quot ; good price & quot ; hotel boyfriend 's credit card . however , surprise ! credit card , use booking , charge , without authorization . see day later , bill come country . receipt fee , information , nothing ! stay hotel can not trust ? would well pay cent headache later , 's advise learn . 
 Mar 13 2009 	 Excellent price 	 good deal thing consider . hotel great - restaurant however awful . price bill high menu service charge party two ? scandalous . server probably need extra money buy charm lesson . 
 Mar 3 2009 	 Perfect traveller budget 	 stay hotel 4 night weekend . first night say awful . arrive 9 pm tired long haul flight extremely basic hotel look noisy 29th street . wall paper thin could hear man talk mobile phone 2 am 4 am . do not think slept wink . next morning 7 am ask move middle hotel face street side building site . staff oblige without question . arrive back afternoon delighted see ' upgrade ' much nice room . bathroom lot big room . first room even picture wall make feel cosy . hotel get good cleanliness , location value . nothing fancy could fault want . restaurant attach hotel call Zana . breakfast nice did'nt try anything else . Crooked Knife directly across road lovely brunch arrive late first night like , nice pizza place end street call Californial pizza . go , would try spend morning time eat drink West Village night . go last night love . next time ! 
 Mar 1 2009 	 get Excellent Deal 	 stay Thirty thirty eight night February . spend first 4 night Standard Room ( town conference ) next four night Superior Room ( partner join ) . appearance : hotel rundown , wear look . need cosmetic attention – new paint , carpet need professionally clean , etc . also , renovation well do – example , seam baseboard ' match . ' though thing go make break stay , ' small thing notice realize much choice hotel NYC wonder make right one . bathroom room look " newly " renovate – within last 5 year – look like mould floor second one . room look okay , completely lack character . wonder " decorator " – art wall ( maybe ' good thing ! ) first room , small , feel institutional . size : Standard room pretty tiny . sink bathroom – beside bed . tv hung wall , way could watch lie bed . outward face room 10th floor , constant night traffic sound . comparison , Superior Room inward face 12th floor – terrible view , quiet cut traffic noise . felt confine first room , even little time spending . Superior Room twice size Standard Room , ' feel like suffocating . [ ' know else put , lock bathroom door first room faulty actually get lock 5 minute one night follow shower . able work lock jiggle free , terrible vision scream help towel – stop shut door ! ] cleanliness : well , thankful see bug review read . bed make towel restock , , happily , carpet vacuum , thing miss . coffee maker room , example , ' clean . drank coffee leave partner leave coffee cup bedside table quarter inch coffee bottom – still come back 11 night . outside scope cleaning , fine , hotel usually thorough clean room . also , find clean varied floor night , seem depend work . 10th floor clean 12th term housekeeping . , 10th floor also smell like cigarette smoke . staff : people front desk ' unfriendly , ' particularly friendly either – although varied among person work . answer question , couple feel like inconvenience ask . comparison , stay Chancellor Hotel San Francisco last year staff incredibly friendly helpful . ' much choice place stay , something like customer service really make difference . manager unhelpful/ unfriendly ask question . , able check early Saturday arrive , really nice . location : pretty good location . right near subway ( Park ) 3 deli / grocery nearby , open late night . ' walk back Time Square late , stick Madison Park 34th , little street ' well light . say , time feel uncomfortable unsafe walk alone . eat one breakfast hotel restaurant . little pricey comparison nearby place , food service good . price : way , price issue , come . get fantastic deal . pay $ 104 per night Standard Room pay $ 118 per night Superior Room . pay anything , would really upset hotel . room book December . website price room currently double pay ' imagine pay much get . , maybe save really nice room people pay ! would return ? probably unless got deal Superior Room Standard Room way small . 
 Feb 27 2009 	 Great Place stay 	 room update , clean , location good . recommend hotel plan stay . negative 1 - one front desk clerk know nothing vicinity , 2 - the attach restaurant overprice breakfast muffin dry , 3- trash pickup & amp ; horn midnight ( take ear plug would recommend NYC hotel ) . 
 Feb 26 2009 	 great location good hotel price . 	 stay 3 night Feb. 2009 . hotel excellently locate accessible subway . room quite small however clean meet need fine . limited dealing staff , check - in check - out find pleasant . complaint bathroom smell cigarette smoke seem come ventilation . appreciate wireless internet room . would stay next trip NYC . 
 Feb 24 2009 	 great base explore New York 	 stay Thirty Thirty last year although be Ritz , find clean comfortable . room not huge hardly much city . staff polite help organsie transfer airport departure . bathroom clean decent size . ground floor really nice pizzeria / restaurant . location excellent- walk distance Empire stare Building Central Park . not hesitate book want good value central hotel . 
 Feb 24 2009 	 Great Value - good location 	 book hotel great rate give location . read bad review little worried enough good one figure would take risk . disappointed . fine hotel . nothing spectacular clean enough great value . staff helpful . room large comfortable enough . view disappointing however stay room much time not matter . great location - close subway line . 
 Feb 22 2009 	 Clean centrally locate hotel would definitely recommend 	 room small 's expect - main thing clean . provide safe great store passport currency . Room clean / tidy every day , although ask thing replenish reception , eg loo roll shampoo . overall really impressed hotel , especially 's close main attraction , especially Empire State Building Macy 's . also close subway route , 2 - minute walk fabulous Les Halles brasserie . would definitely stay . 
 Feb 20 2009 	 great staff definitely good hotel not worry ! 	 first book Hotel Thirty Thity want somewhere Mid Town low price , yet still offer nice room ! website decide go , could not find well offer , look absolutely fine . Holidays New York never hotel anyway ! later browse trip adviser , read review check people think . although good good , bad seem bad , leave feel pretty worried . taxi pull hotel think fuss , maybe awning front door little tatty , apart could see Zana restaurant look nice souvenir would perfect place pick camera battery . crock knife across road see immediately , really across road great quick beer , Rosie o ' … 46th street . hotel entrance seem like nice hotel internet perfect check day leave . check everything run smoothly , pretty much decide fuss pot complain trip adviser , family room pretty big . even two armchair one end ! plasma scene tv coffee machine room great . big bathroom huge shower great . Hotel Thirty Thirty fine , book really nothing worry . lush awning doorway be , maybe not come great hotel , close fifth ave many tourist hot spot be great . good doorman take care stuff last day , get cab airport . people reception great , even book ticket ! get we SATC tour day ! 
 Feb 18 2009 	 would stay hotel 	 boyfriend return long weekend New York stay Thirty Thirty . taxi JFK $ 55 include toll tip . book hotel ask quiet room high floor please give room 11th floor quiet large bathroom shower bath . bed comfy room clean daily fresh towel etc . check need either give credit card detail $ 50 dollar refunded check ( long not use phone internet ) . arrive hotel early , check 3 pm left bag reception want explore city . hotel 2/3 block away Empire State building Maddison Square . really good location . nice restaurant / bar across road call Crocked Knife , food reasonably price staff friendly . check leave bag porter not need leave airport 6 pm . porter also arrange taxi pick we ( black one yellow cab ) , $ 60 incude tip . save hassle hail one outside could do . think service do side though , may ask away reception staff . overall would stay hotel price location . 
 Feb 17 2009 	 great base never forgoton holiday 	 back week thirty thirty hotel 16 feb 09 . would recommend place hotel clean , feel safe situate slap bang centre manhatten , easy walk distance uptown downtown . staff friendly efficient , problem toilet cistern flush randomly fix promptly offer another room could not fix quickly . room small side enough space shopaholic wife sleep store ever expand purchase , sleep get ready go do not spend much time room much see . room cable tv , coffee perculator , hairdryer iron / board . Maid service daily.lot place eat , love little place call Tasty Madison ave less one minute walk , breakfast ther daily plan day . holiday celebrate 40th birthday , expect lot N.Y. do not let we , holiday lifetime .fave place top rock , central park , statue liberty soho greenwich village area . top tip wear comfy boot ! 
 Feb 15 2009 	 Best Show ! 	 town Westminster Kennel Cub dog show look dog friendly hotel . hit winner 30/30 ! deluxe family room huge clean . hotel personel friendly helpful . location awesome close everything ! wonderful dog park three block south . would highly recommend hotel plan go . 
 Feb 14 2009 	 Yuck 	 positive thing hotel location . room small smell awful . keep candle burn mask smell . bed small uncomfortable . bathroom tiny date . nothing room feel clean . front desk personnel unfriendly inept . check room share co - worker 1 bed . bring attention , say mistaken . finally give another room 2 bed small smelled bad original room . sure go front desk check person since apparently hotel leave not automatic check - out slip bill room door . fail check person noon , charge card additional day . keep finger cross computer not ' down ' go check . never stay recommend anyone like . 
 Feb 13 2009 	 Noisy ! never stay 	 first visit week ago , fire alarm go 45 minute 1:00 Saturday . ( fire even smoke anywhere hotel , desk staff tell next day . ) go hour that . on second ( last ) visit , construction go many room hotel . move complain , second room next another room next door construction . point gave move another hotel next day . the desk personnel pleasant mostly , bald guy ( Kyriades ? ) kind dim - witted . perhaps full barrel caffeine would improve level alertness . 
 Feb 12 2009 	 ` ` Excellent Location '' 	 Arriving airport approach quiet driver looking take we city private shuttle . airport advise avail service . long flight dublin five hour delay be not bother take family hotel . ask one driver I.D show . charge 15 dollar ( 5 we ) , altogether 75 dollar , 90 tip . shuttle car comfortable get we hotel 45 minute . HOTELFirst impression hotel poor . look quiet run outside , old building New York . reception nice , clean spacious . porter take luggage we straight away wait we check . check go smoothly . ask produce credit card hold fee extra charge , normal hotel . however do not credit card ask give 50 dollar instead per room refunded end stay . porter kindly bring bag two room book 4 night tip 5 dollar . ROOMSMyself girlfriend give small comfortable double room ( 404 ) , front face street view . bed extremely comfortable . bathroom clean good shower . room perfect we . towel provide every day room clean everyday need . leave disturb sign door one day city room not clean . fault nobody else 's . parent brother triple family room 11th floor ( 1138 ) room excellent . sofa bed enter room dress table tv , separate living area . bedroom opposite plasma tv wall cd player beside bed . bed super king bed , huge ! ! ! bathroom really nice modern , standard 5 * hotel . breakfast hotel terrible . service poor . plenty little diner maddison avenue eat instead here . we eat every night different restaurant , plenty choose . close time square expensive eat . across road hotel crook knife bar restaurant . nice nice city . great quiet drink ( pint miller 3 dollar ) ! ! ! ! ! ! want see manhattan make sure hop - on hop - off bus . take around city town town , jump stop . bus pass every ten minute jump back . stop empire state , time square , china town , greenwich village , soho , ground zero , central park many . return airport make mistake book car driver porter charge 110 dollar . want travel together one car . yellow cab take airport 45 dollar flat fare . would recommend hotel base stay , great location , great bed , great family room ! 
 Feb 10 2009 	 reserve first ... ! 	 read review go New York doubt hotel booking ! arrive hotel not keen keep street hotel stand . place 6th floor spacious room , problem storage bathroom awful ! room spotless , not get wrong not small look nothing like photo be go bad review would read previously . the location hotel good ( Central Park foot ! ) feel really safe walk around night . beer find expensive bar across road ( Crooked Knife ) Miller tap $ 3 drink choice ! end send partner downstair chat receptionist get room change could not take anymore ! every helpful move within minute let know issue ( dread bathroom ! ) . room move we great , lot big great view Empire State Builing - happy anything ! room similar one stay would recommend hotel highly . we not tea coffee facility Starbucks Subtletea round corner easy bathroom small clean plenty storage . , ( end ) please hotel , suggest problem room , ask change , week definately worth ! 
 Feb 7 2009 	 Clean Comfortable 	 read review website worried would find upon arrival Thirty Thirty . ' m actually concerned people expect 2 star hotel CENTRE New York . hotel clean , comfortable pleasant . must admit pull outside reservation , upon enter getting room wonder complaint ! ! room big cosy , facility need include coffee maker thing miss bath full 12 hour day walk bath would good , hey day . the bar hotel expensive , cost $ 23 2 bacardi coke double either ! ! ! use pub road evening meal Crooked Knife , great food great service real friendly bunch . food really good drink much cheap fact $ 12 cheap hotel . look great breakfast would recommend Murray Hill Diner 34th St , Lexington Ave . really good grub good price . hotel good base look somewhere plush amenity , do not stay , hand look somewhere clean warm comfortable , extremely central , go ! ! ! ! ! problem , complain get sort can not ? 
 Feb 5 2009 	 bad Hotel ' ve stay 	 can not give ZERO star rating ? ? ? ? ? understand New York hotel suppose small , ridiculous . hotel 's website ban false advertisement . the room smell like sewage , window not close properly ( stay snow storm ! ) , room quite old , front desk TERRIBLE ! hotel 's employee unfriendly seem quite depressed ( somewhat room make we feel ) .also , website special free breakfast restaurant next door front desk girl ( name Daniela ) fix problem rude top all . do not fool . room / hotel worth . 
 Feb 3 2009 	 brilliant location good room bad service 	 go end jan year , hotel really good location literally 4 block empire state building , 2 block subway , right 5th avenue load eat place around we , however , walk hotel high easy trip confront nice surprise reception , harsh tone say could room unless pay $ 250 person room charge , do not know refuse say ' no dollar room ! ' refuse slam key card counter , nice start holroom ok , do not expect view , cleanliness good , location excellent though 
 Jan 29 2009 	 New York New York ! yeah ! 	 well locate hotel 30th Street , Manhatten . room basic , clean pleasant . bath , dismay good lady , good shower . there really facility , pay - per - use internet conceirge , 's ! lobby overly modern ( overly big ) , stone cladding , helpful reception staff . use base , destination , sleep get city ! 
 Jan 26 2009 	 Hotel Thirty Thirty - would use ! 	 concern hotel prior stay 19th January 2009 . upon return , happily say thoroughly enjoyable experience ! email manager October 2008 ask room upgrade & amp ; agree upgrade room superior room free . arrive hotel check , note room upgrade . thankfully bring email , speak manager room upgrade deluxe room , .... free CHARGE ! room outstanding . 2 double bed , sofa , desk & amp ; chair & amp ; massive bathroom double shower . the heating noisy & amp ; first night wake kick , simply switch go bed . work well & amp ; room always lovely & amp ; warm . the maid service impeccable . clean towel every day & amp ; point complain cleanliness . also New York Post leave outside room everyday nice touch . the room quiet & amp ; front face room , could not hear noise outside . large lobby 3 computer & amp ; payphone easy keep touch home . the staff general nice , one porter seem take personally not book return car airport via , instead via reception desk . car cost $ 73 service fantastic . also pay deposit $ 50 upon arrival hotel not previously make away of . the location excellent , 10 minute 5th Ave & amp ; 20 minute Times Square . Crooked Knife opposite serve excellent food good price . already looking go next year & amp ; would use hotel without question ! 
 Jan 18 2009 	 Clean Conveniences 	 arrive hotel Jan 2nd late evening . check , lady desk apologetic room available one night fully book . , grade room , not problem , tired argue want get sleep . say room little bit small change room tomorrow afternoon thought & quot ; fine & quot ; offer we free complimentary & quot ; continental breakfast & quot ; . get room , find one single bed think way go share single bed two people . , ask foldable bed , fine . room soooooo tiny luckily manage squeeze foldable bed . bathroom weird oddly present , small deed . heater room work . ask help fix , fix turn . soooooo cold middle night jump single bed cousin heat . next day , check single room room change , time room not make , smell damp shower , bed make , towel floor , point happy , organisation really bad lack communication staff . manage check another room , time & quot ; ready make & quot ; . clean , be care . find strange sink bathroom , sink situate sleeping area , next bed , main thing clean , comfortable , cosy feel safe hotel . shame not fill coffee station plastic cup everyday . overall nice hotel , do not think would like come back ! location great . 10 15 minute walk Madison Square Gardens . use subway lot . shop good . 
 Jan 17 2009 	 Great Hotel Great Value ! 	 boyfriend stay Thirty Thirty Hotel Jan 2009 impressed place . read number mix review , not sure expect . arrive early ( 10 ) front desk attendant , Daniela , outstanding ... offer we room right away even though check be not several hour ! ! happily accept arrive room , somewhat shock small , not come NY hotel room ... bathroom nice spacious . throughout stay , room make daily give fresh towel everyday = ] LOVED ! request ice bucket room , take care immediately ... issue stay would absolutely return , get incredible deal hotel close everything- walking distance Times Square great shopping ! ! ! 
 Jan 12 2009 	 K place stay good location 	 Group we go hotel New Year Break . room vary small cupboard . bathroom vary . clean room , bed comfortable , service ok one porter bite ready hand ! little storage space nowhere put bag . Desk servcie good helpful . heating noisy ! ! bar restaurant attach expensive , try Tasty across Maddison , great breakfast good service . lunch good expensive . Crooked Knife opposite good Dinner , good food good service . hotel well place Metro walk Manhatten . ok could refurb ! 
 Jan 11 2009 	 Basic NYC hotel perfect location luxury ! 	 read review worry travel agent book we hotel part honeymoon package within budget , caribbean new york ! however say want luxury Caribbean budget hotel New York . the hotel 's standard room small 3 day spend hour total room asleep . breakfast til evening . because close everything - would drop shopping pop back again . if look luxury view not stay want easy base away noise , hussle bustle traffic stay ! 
 Jan 10 2009 	 great hotel 	 worry hotel read many bad review pleasantly suprise . hotel well locate , clean , modern staff could not enough we . return hotel next trip new york . 
 Jan 8 2009 	 great hotel great value ! 	 stay hotel weekend December 19 - 21st . begin ? ? ? location : location superb . tourist , arrive train Grand Central Station jump cab get hotel ( 10:00 pm alot luggage carry ) . cab ride take 5 minute cost $ 3.50 . location amazing ! block Empire State Building ( catch one many tourist trolley travel city ) . also great little restaurant right across street call Crooked Knife . highly recommend it . room : book standard room rate $ 175.00 per night steal compare hotel look Manhattan area . room tiny bed two end table perfect we . bathroom shower ( tub ) , toilet . sink area room bed easily accessible . also coffeepot counter . tv plenty channel browse relax bed . speak bed ... comfortable ! truly make wonderful night sleep . be look spacious luxurious room , . however , be look clean , safe place relax get good night sleep perfect . staff : staff wonderful . doorman practically run cab greet we take luggage snow pretty hard . polite welcome us City . check - in breeze head room within matter minute . housekeep great job cleaning room always plenty towel , washcloth , etc . overall , say enough hotel . first time NYC already make plan return next year definitely stay Thirty Thirty . great alternative expensive hotel Manhattan area . great people look nice place rest head end fun day sightseeing . 
 Jan 3 2009 	 Fantastic Location 	 stay hotel New Year . find staff polite much speak desk check . doorman always friendly . room big back hotel view , go New york see sight sit hotel room . room clean every day nice clean sheet towel bed comfy . location hotel brilliant walk everywhere not need cab subway . go right battery park right central park within walking distance . walk around see sight come across thing would not see take cab 's everywhere . if want great breakfast visit Murray Hill Diner lexington Avenue 34th Street . fantastic holiday brilliant location plan next trip . would not hesitate recomend hotel anybody want 's comfortable place lie head busy day sight seeing shopping . 
 Dec 19 2008 	 Nice Hotel Excellent Value 	 stay Hotel 30 30 weekend Dec. 12th . book superior room hotel ' website pay $ 171 / nt plus tax ( avg 3 night ) . do fair share travel stay wide variety " accommodation . " whole - heartedly recommend hotel " budget " NYC . fact , rate pay particular weekend 30 30 far less comparable hotel like POD LESS hotel appear less aesthetically pleasing ' even private bathroom ( i.e . Americana , etc . ) .i ' comment thing find important budget traveler NYC ( bc doubt agonizing Ritz Four Seasons reading review ) … like other say , go NYC sit hotel room ? ? location : Superb ! ! couple street south Macy ' s / empire state area Midtown . quiet street 2 block ( & lt ; 5 min walk ) subway station – green line , 2 stop form grand central , 10 - 15 min total time square ) . several place get breakfast / coffee close , include starbuck 20 ft away . great location ! room : superior room wad desk , chair , wardrobe w safe decent sized bathroom shower / tub combo sink bathroom . room small nicely appoint , modern CLEAN . bead comfortable linen quite luxurious 2 star hotel . supposedly internet room , however work , even call service provider never resolve issue . big negative hotel . complaint particular room , head bed directly front door , make hallway noise bit loud morning . bad … get we bed ( talk 8 - 9 ) . put towel last night ' hear thing . temperature comfortable , could easily open window need heater room . note , feel website accurately depict hotel . service : find friendly . check in / out go smoothly . even recommend good restaurant we . maid service good job cleaning everyday . ask towel once … wait almost 20 minute they … average service . overall , consider price pay price similar hotel , feel Hotel 30 30 excellent bargain . nice hotel excellent location . clean safe . recommend anyone sub $ 250 / night range ( least mid dec ) . big negative internet work room . 
 Dec 16 2008 	 disappointment 	 visit NY husband 's 50th birthday recent review hotel give hope nothing worry . reality different . tiny room back hotel ' m sure mean single occupancy . hardly room move around bathroom consist shower toilet washbasin bedroom . bathroom also reek stale tobacco smoke ( obviously use previous occupant avoid smoke detector bedroom ) . rack put baggage chair clothing - use tiny available floorspace . the housekeeping poor , insufficient towel , bathroom supply etc . 2 day water washbasin run brown , leave sediment basin . understand work undertake area surround hotel water shower unaffected ! buy bottled water brushing tooth . staff indifferent everything mention say nothing could . experience helpful , friendly staff mention other except helpful porter . glad much spend time room lend relax active day . plus side , bed comfy . least NY worth - hotel ' m afraid , big disappointment . 
 Dec 13 2008 	 Great Location 	 room basic , not go New York hotel ! comfy bed , wardrobe safe bathroom half size room . clean tidy . the hotel internet access room warm , sleep window open jar every night . siren go night like friend experience hotel . the hotel great location could walk empire state building , Times Sq , Macy 's Madison square garden . I would recommend hotel family friend would stay without hesitation . if want large room great decor comfort home intend staying room time not hotel base great ! ! ! 
 Dec 12 2008 	 fantastic place ! 	 return Big Apple stay Thirty Thirty hotel . fan Trip Advisor think time make contribution ! anyone stay hotel say nothing worry about . we arrive 1 pm swift check , staff greet arrive take bag . room nicely decorate clean , amenity need : hairdryer , iron & amp ; iron board , telephone , coffee maker , tv etc . the maid service fantastic room clean daily fresh clean towel leave . tip maid dollar day always leave thank note . as New York .... wow ! morning person like kid xmas bed 5.30 every morning ! much , foot ache , make sure take comfy shoe lot warm clothe . try cram much possible : -views esb amazing - get 8 am ish avoid queue , Top Rock fab ( sunset view stunning light ) , Brooklyn Bridge , Staten Island Ferry give great photo 's Statue Liberty manhattan skyline cold time year , Greenwich Village beer food - meet lot friendly people bar call Wagon , Times Square buzzing matter time day night go , Macy 's & amp ; Bloomingdales shopper heaven ( make sure go round Santa Land 8th floor Macys ! ) , Horse & amp ; carriage around Central Park , Rockerfeller Tree .... could go ! ! ! love xmas , place . never see tree decoration like . make sure go Charmin toilet Times Square - 's happy pee ' ve ever ! also go Radio City Music Hall Xmas Extravaganza . 's nice show get festive mood . dancer perfection back drop etc outstanding . everyone tell would love New York , right - would go tomorrow could ( need rest foot bit 1st ! ) . not feel unsafe walk around , everyone meet shop happy . be go ' m jealous , enjoy HAPPY HOLIDAYS ! ! 
