security 	 glow review , sadly , would actively steer people away hotel . everything go along nicely 3 night stay -- think price right , location good room amenity nice . unfortunately , money vanish room safe would feel safe stay hotel .... recommend hotel friend colleague . fact : stay hotel 3 night mid November . stay , use hotel safe valuable extra cash would not carry street . night check , take valuable cash safe , leave $ 250 safe lock security code . check next day though experience traveler always check room thoroughly check , forget empty safe . leave hotel 10 a.m. realize mistake 4 pm immediately call hotel . supposedly , security person duty go room use hand hold device ride personal security code . wait hold check room . get back phone , say , & quot ; ' m sorry , safe empty & quot ; .Of course , word mine , see money safe know lock left room . one open safe meantime , would explain vanish act ? next talk head security hotel several time . first conversation , say personally go security person safe open . next conversation , press whether SAW safe open empty , retract early statement say , & quot ; , not go room , stay elevator . & quot ; therefore , person open safe witness . find revelation bit disturbing . change story ? next , ask speak hotel manager . wait 5 hour receive call back . apologize behalf hotel , could not explain discrepancy security staff 's story promise & quot ; get bottom situation get back & quot ; . say look forward full report wish could get money back , concerned hotel institute well security system follow . nearly two week since incident not hear anything manager ...... credit , offered offer complimentary stay future visit , issue fully investigate resolve , would not feel safe staying hotel . so .... stay Empire Hotel , remember well carry valuable . money lose , could upgrade well ( safe ) hotel . one point , stay , lobby close entire day tv show , Gossip Girl film . ' m sure hotel compensate use space , add nothing inconvenience stay go alternate entrance , etc . make feel like hotel try use space make much money possible without concern might affect guest . mention issue front desk staff , say lobby use film crew nearly every week , one situation , on - go inconvenience future guest . 
 Closet -- -- joke ! 	 absolute bad hotel ever stay ! small understatement . closet size space . broken window . iron . bathroom disgusting . huge disappointment . picture website suite .... not fool . 
 Aug 8 2009 	 Extreemly noisy worth money 	 almost impossible sleep hotel , even noise plug almost unbearable . room also small , suite , can not even imagine size regular room . hotel good location , would never select return new york . 
 Aug 4 2009 	 form function : worth big $ except location 	 trendy dark elegance carry room ; 2 - queen double ok 3 people , certainly roomy . obligatory minibar coffee - make setup , access ice without call . view blackout shade help late sleeper . small bathroom vent fan . noisy rooftop bar scene hear 9th floor room . and repeatedly call request towel ( room stock towel 2 , remove use never restock without call ( arrive promptly , though ) . several evening ( stay 7 night ) return obviously tidy room towel washcloth , verbal write request repeatedly ignore next day . wonderful location , 2 subway station . young family member walk Central Park play several time day . many nearby restaurant . save $ eat several meal nearby Whole Foods , Starbucks outside corner , next 24 - hr pharmacy . 
 Aug 4 2009 	 good Enough probably would not return 	 good point : Central , Cool roof top bar , & amp ; lobby , helpful conceirgebad point : loud air condtiioner pretty much could not use would kept we awake night , small room know norm NY unless want pay fortune , house keep ok -hand towel / shower gel replacedI get good enough corporate rate 163 usd per night would annoyed paying anymore get . 
 Jul 30 2009 	 Decent Location Freindly Staff would stay ! ! 	 good POINTSI stay 5 night , love it . now mainly sleep get ready , 's good location , within 5 min less walk distance Central Park , 5 min 5th Avenue , get main bit Broadway , Times square , roughly 20 min walk be stroll . if fancy lazy , bell boy happily call cab , hail one around corner . the front desk staff bell boy helpfull , whenever question get answer , can not complain , also get bus ticket certain location front desk . bed turn evening , air con work great hot water always run , pleasant stay would stay again . BAD POINTSThe bathroom room little small size 3 we , 2 queen sized bed squeeze bit space walk around ...... fine short period time , sleep ! want go downtown , would need catch train cab , cabbe everywhere , turn bit expensive ! bit , descrbe rubble , corner room , aircon , not really bother , be hotel expect spotless ! , room clean . ADVICE / SUGGESTIONSPlease scare tip cab driver , be happy service pay owe get , get abusive , walk away feel need call policeman , noamlly load walk around . bit bad experiance cab driver try rip we ! please please please check way go street run one way , last thing want go south , catch cab go north go round corner end pay extra $ 10 - $ 20 ! ! cab driver try rip ! ! want see Broadway play , buy , be cheap ! buy ticket venue ( find around times square ) bfore day want see .... get decent ticket $ 50 buy would cost £ 55 ! take map guide book help find want plus recommend stuff want - ei food , fun shopping ! enjoy trip ! hope helpful ! 
 Jul 29 2009 	 2 star worthy 	 currently write hotel 's room ( pour outside ) arrive yesterday visit LA , Miami Vegas far bad hotel ' ve stay . upgrade superior room $ 30 + per night since fist room show place two suitcase , extremely noisy since room overlook fan insidecourt jump bed get otherside room . superior room although ( apparently ) 10 m large one sit toilette order wash tooth . pool ( rather big jacuzzi ) close next two day private event ( inform last night 9 pm ) . service start get note door phone call 8.30 requiste leave room servicing . 
 Jul 22 2009 	 4 star hotel rifle thing enter room be go . 	 room fully reserve double occupancy . upon check informed reservation single room , & quot ; smallest & quot ; available . strange considering early day come store luggage check , lovely room available we early check , extra fee sort ... plan go explore NYC turn offer . apparent reason make pay extra fee order upgrade room would fit we . strike one . strike two= wait half hour luggage arrive room . two backpack ! want change swim gear order enjoy pool deck lobby inform we wait half hour clothing . strike three = find luggage rifle whoever gone not even bother close bag . boyfriend find thing strangely tuck bag . beyond strike three waaay : -leaving room evening disturb tag , come back night find someone come room regardless , go . 2nd time go thing make sure nothing taken.-have change swimsuit go rooftop & quot ; guest pooldeck tell look forward , halfway elevator & quot ; guest & quot ; tell we close private event . none staff bother mention fact.-checking & quot ; pool & quot ; deck next morning learn not pool shallow elongate bathtub like structure . swim try , ' ve hot tub large . pool shower not work either , go back room rinse chlorine . the staff hotel fake bent charge extra fee . attempt contact stay charge nto receive fail ( get talk anyone without put hold , fax get , email ignore ) . simply care . 4 star hotel go bag room be go refuse take responsibility ? thank , never . 
 Jul 22 2009 	 great visit - clean accomodate trendy enough 	 arrive Friday perfect dxe dble room . quiet , great view , clean , lot room . we take full advantage location , really enjoy rooftop deck sunbathe . pool tiny roomy enough get wet . enjoy evening day view . interesting mix crowd - foreigner US resident . staff try much please- would definitely stay . 
 Jul 21 2009 	 want money steal ? stay Empire ! 	 stay Empire 10 day January . room ok though small service pretty average . wife put envelope cash safe deposit box reception . one day go retrieve fund , say envelope go & quot ; missing & quot ; . manager duty first say would refund $ 7,000 full , come back day later say hand nothing could . check day , ask bill . said & quot ; bill & quot ; since still resolve matter & quot ; missing & quot ; money . month later charge credit card completely refuse address matter hope frustrate us submission . would never ever return hell hole & quot ; Hotel & quot ; ! 
 Jul 21 2009 	 excellent location New York Style great service 	 stay Empire 11 night . great awesome location ( upper west side , one block Columbus Circle Central Park ) .Nice design , great roof top . we choose hotel next NYC trip . 
 Jul 17 2009 	 trendy hotel good rate 	 work Columbia hotel convenient - right near Lincoln Center subway stop , starbuck right downstairs . helpful staff , cool room not small ( think whole hotel refurbish ? ) , quiet . good part great rate get website . hope not introductory continue reasonable ( New York ! ) room rate . 
 Jul 15 2009 	 not Walk run away hotel ! ! ! ! Housekeepers Wake 6AM -- even Disturb Sign Door ! 	 husband live Upper West Side NYC many year move suburb past year . anniversary , decide spend nite old neighborhood . Empire Hotel well locate booked room . upon arrival 4 pm tell room available would wait -- though check - in time 3 pm . get access room tiny dark , first floor , view air shaft ! aside , nice able unpack venture evening . enjoy lovely outdoor dinner across Lincoln Center Bar Boulud , proceed see South Pacific Vivian Beaumont Theatre . after show , return hotel drink roof lounge . bounc lobby incredibly rude insist wait sidewalk huge crowd form , despite insist hotel guest show room key . discussion concierge lobby able wait line lobby , rather outside sidewalk . already annoy convince first place . proceed roof , actually quite nice -- despite $ 16 cocktail . the final , last straw reason say RUN AWAY hotel happen much later evening , rather , quite early morning ! despite Disturb sign door handle , housekeeping staff pound door 6 clean room ! ! ! livid insist leave immediately . finally fall back sleep housekeeping knock 6:45 ! baffle since check day need make room . call housekeeping lodge complaint finally lay . never figure would knock early morning throw entire day unable fall back asleep overslept ! never stay hotel , sure tell everyone know ( trip advisor ) find another hotel area . live nearby 11 year , likely try Ave Hotel , Beacon Lucerne next -- strongly suggest ! ! ! thank . 
 Jul 14 2009 	 Worst Service ' ve ever experience ! 	 recently friend party rooftop bar . staff rude abrasive entire time . initially think , well maybe person bad day . meet another rude waitress , another rude bartender , another , another , another . absurd . one waitress actually say , & quot ; motto customer always Wrong . & quot ; short , bad service ever . 
 Jul 9 2009 	 Empire Hotel special hotel 	 adult daughter book Superior Queen - Queen room evening July 4th see firework Hudson River . get 30 % discount room hotel 's web site . taxis , ect . include , room come $ 267.00 . room clean nicely appoint . large walk closet hang clothing closet mini - bar fridge safe ( free use ) . bathroom plenty big full tub shower full shower door . space next sink put make - up toiletry plus shelf underneath additional item . careful turn water quickly would splash due kind sink . nice robe use . check list 3:00 p.m. go early see could drop luggage ticket ballet across street Lincoln Center . arrive 1:00 get check right room ready . eat hotel 's restaurant , Center Cut , food wonderful . pre - fix menu satisfied portion quality food . get 3 huge cookie take room full main course . dinner go roof top lounge get good seat firework . Guest 's stand line outside . go elevator 's show bouncer room key let right elevator . also , friend meet we hotel evening . go lobby arrive tell bouncer we get go roof top right away . drink average $ 13- $ 15 expensive many place NYC . every staff person friendly helpful doorman bus boy . ever get good deal hotel , stay recommend family friend . stay make 4th special . 
 Jul 6 2009 	 Unique Trendy Hotel Great Location 	 Unique trendy hotel , room perfect size spend day New York . bar area cozy pleasant area sit . every Thursday evening live jazz music play . staff friendly helpful . breakfast hotel minimal would expect choice . Hotel locate 100 yard Central Park , near 5th Ave many shop restaurant . would definitely recommend stay Empire Hotel . 
 Jul 6 2009 	 Great Location 	 Great Location find subway 200 m hotel . great sized room , bit disappointed restaurant . cocktail bar top floor evening run hotel can not put anything tab . stunning view though . one block Central Park - David Blaine hang upside , well time ! Loved New York . take bus tour get know first instance . go high level Empire State build amazing view . favourite place Times Square Broadway , light evening buzz fantastic ! ! birthday dinner go Rainbow Rooms , Rockefeller Centre . amazing ! 
 Jul 6 2009 	 amazing hotel fantastic location good value money 	 book hotel read mixed review - not believe bad one ! ! hotel great value money - room extremely comfortable decoration neutral stylish . staff concierge service pleasant helpful . rooftop pool small great deck sunbathe individual booth , ipod dock robe - great view manhattan . location also great - central park literally doorstep . stay three new york hotel far favourite . definitely go back . 
 Jul 1 2009 	 pro kind balance con will not go back . 	 partner stay two weekend night not hideous hotel experience , joy go back room . the pro : great location . right across street Lincoln Center lot restaurant , Central Park , Time Warner Center nearby . right Columbus Circle , midtown start give way West Side . hotel public area room extremely clean . finish furnishing fairly new . bed comfy . the Cons : Standard Queen room definitely small ( tiny ) side single window face air shaft make dark room middle day . lighting room not really help much . except bathroom one single plug available iPod , cell phone , laptop charger kind hard get one night stand . non - smoking room least smell smoke come somewhere else . overall small bathroom kind nice sink oddly hard use . stylish faucet close shallow basin make hard get hand water time . not think ever trouble wash hand hotel bathroom . fitness center small 5 cardio machine free weight . one major reason choose Empire pool roof . think might nice amenity give late June stay . unfortunately day arrive close pool early day rain even though sun bright blue sky five hour start rain . claim closure due threat weather , safety etc . seem overly cautious rely forecast rather real time condition . set aside judgement whether pool open , get conflicting message open , would open etc . get least three different story one really sure open . one point hotel operator tell open even though try get find locked door . try transfer front desk , instead wait phone 8 minute 47 second get tired waiting hung . real relevation little later day someone front desk tell pool open defend closure policy -- say would check food beverage department make sure open . suggest pool profit center hotel amenity guest . food bev people not ther take money pool close ? another disappointment spa . wait 15 minute treatment never anyone explain run late kind acknowledgement keep wait . say leave receptionist offer weak & quot ; right ... & quot ; say thank thank . partner mani / pedi say pretty lackluster definitely worth time . it also one boutique hotel feel like interested nightclub , line front door rooftop bar evening . overall , stay not hideous . not . 
 Jun 30 2009 	 ` ` Funky Cool Secure Modern 	 take elderly mother NYC June surprise 80th birthday present . well feel important us hotel locate safe area NY would allow feel secure comfortable room door close ...... issue similar opinion book hotel confidence . its bit expensive side shop around need trimming . apart great location , room modern clean , shower good baby sit mother great retire roof top bar old one tuck horlick ! ...... check really cool & amp ; funcky ! 
 Jun 23 2009 	 Quirky hotel great location 	 Stayed Empire June 18 - 21 friend , attend US open golf tournament day city night . room ( particularly queen express ) quite small , note review , well appoint . location great , right across street Lincoln Center , easy walk Central Park lot attraction . feel hotel like W hotel - lobby bar 's disco pump night . great people watch . knock housekeeping - one day , three glass room , next day one ; one day not leave bath mat , another day hand towel . would recommend sale rate advertise rack rate deserve . 
 Jun 20 2009 	 Good Location shame Cost ! 	 book & quot ; Superior King & quot ; hotel two month go visit son . grand entrance , lounge , lobby bar brown gold interior decor . our son able get we promotional code give we 30 % + discount still , want pay , good location . when arrive apparently room give someone else rather disturb say least . we arrive around 6 pm room available 3 pm exactly late . however , offer room two double bed ( call double double ) .There hang rail curtain eight coat hanger wardrobe chest drawer . we return reception offer another similar room , wardrobe chest drawer bad news want $ 50.00 ( £ 30.00 ) night oh view street ! go back mangaged settle room ( look Broadway ) two queen size bed ( double double ) hang rail long seat two drawer extra cost . time suggest go come back well choice ? way , thing well sort straight away even though seven hour flight one hour taxi ride jfk.incidently get yellow cab 's fix fare $ 45.00 anything else could cost double . anyway 400 room hotel three people deal guest arrive guess expect know room like . we come conclusion style / design important practicality . the shower miss slide door supposedly remove safety issue ? wash basin trendy shallow box shape mean put hand flat wash . although room little dark partly due decor four different light . bed comfortable , 32 & quot ; flat screen tv good not expect good programme although may see good film lucky . we third floor double glaze window pretty much take away traffic sound . the rooftop bar good , terrace , good view pool great hot day , heat . air conditioning seem stop engineer came swiftly put right . unfortunately happen . visit six different engineer week want hassle change room , may option . when come pay bill , say wanted talk someone could authorise deduction due faulty air conditone unit . all staff good manager speak apologise , take $ 100.00 bill $ 18.00 taxis . otherwise final bill would $ 1440.00 inc . taxis without promotional code , even ! overall location excellent hotel good standard . use pay much room only . the Lincoln Center across street multiplex cinema five minute foot Broadway . if starbuck , one block two minute away . there number eat place almost opposite get cheap prepared walk . if staying week get metro card $ 25.00 ( £ 15.00 ) travel subway every day without incur outlay . it almost pay first day ! much see could begin put trip Hi line walk open 9th June pleasant central park short walkaway 's boathouse boat . the good part trip pick ticket Times Square audience Dave Letterman Show see Julia Roberts live . 
 Jun 15 2009 	 Good Standard 	 enjoy stay Empire . excellent location right opposite Lincoln Center easy walk distance Central Park , Upper West Side Midtown . find staff friendly bedroom lounge area clean relax ambience . one minor downside bathroom seriously tiny - barely big enough swing small washbag . , say , minor . 
 Jun 14 2009 	 tiny room bad service great location ... mediocre good 	 pretty excited staying hotel . despite mixed tripadvisor review , pretty keen good stay . minute arrive , start doubt . arrive Friday early evening long line front door hotel half way street . apparently line want get rooftop bar evening . one front desk clerk line least 6 guest wait . take almost 20 minute check ! staff assign people try access rooftop bar staff dedicate check guest . question management - primary concern service guest hotel guest rooftop bar ? room small , even NYC standard . closet - pull back fabric sheet mini bar . desk even plug laptop ! shower pretty cool figured turn ! mention other , air conditioner room quite loud . pluse location . right 7th avenue subway line walk distance Central Park , Lincoln Center , Columbus Circle . hotel provide free WiFi . lot choice NYC , likely stay elsewhere next stay . 
 Jun 12 2009 	 avoid ! noisy air conditioner - small room - dark lobby - rude staff - crap swimming pool 	 avoid ! noisy air conditioner - small room - dark lobby - rude staff - crap swim 
 Jun 11 2009 	 modern roomsspotlessly cleana walk away central park times square 	 stay Empire & quot ; art deco & quot ; room fantastic modern hotel locate Broadway . there wine bar type place roof nightly drink never see guest go .... seem like & quot ; & quot ; place - right people , also dress correctly i.e certainly holidaymaker short . 
 Jun 7 2009 	 nice room great location 	 really pleasant stay Empire Hotel . many reviewer note , location really convenient . ' ve generally stay Times Square , nice stay somewhere little bit quieter , still easy walk Lincoln Center , Central Park , Time Warner Center ( heartily recommend Bouchon Bakery , anyone sweet tooth ) . quick subway ride Times Square ( would not quite say easy , since NYC subway system always seem confusing need , number line get Columbus Circle ) , inexpensive cab ride . room , must lucky , room quite large , king - sized bed , desk , chair , closet , dresser , bathroom decent -size . first floor , afraid would noisy , really not problem ( fairly sound sleeper , though ) .my two main complaint oddly shallow sink bathroom , splash we every time turn faucet , matter careful try ; rather antique A / c unit other mention . not really hot weekend , sun come directly late afternoon get tad warm , nothing really uncomfortable . 
 Jun 2 2009 	 Great Hotel 	 3 girlfriend stay Empire Hotel quick NY trip Memorial Day weekend . hotel directly across street Lincoln Centre one block away Central Park . close Times Square ( within walking distance ) still far enough away little quieter . 's Starbucks next door hotel drug store around corner ( sell everything soup nuts ) . hotel beautiful appear internet . however , room bathroom quite tiny , little tough 4 girl get ready , manage ..... get great deal $ 179 / night US two double bed . pool quite tiny actually indoor ... ( okay kid ) ...... beautiful lounge chair lounge area outside catch ray . free wireless internet access rare day . 
 May 31 2009 	 love first stay NYC ! 	 meet husband NYC day . find amazing deal Travelzoo Empire Hotel . first stay NYC , check review Empire book . review sound reasonable say ? location great ambiance lobby perfect . hold bag checked greet pleasantly . , one complaint would check time . suppose 3 get room 3:45 . apologetic . room adorable . superior king - extremely clean , neat tidy . sheet great bed comfortable . tv large nice view park across road . ask 11th floor due rooftop bar . new towel everyday , love wooden slat shower turn service black white cookie delicious . main reason visit NYC sightseeing not room much day spend two night quiet lovely . really find amusing complaint size room . 's New York . bathroom small need space ? love Starbucks next door , pj clarke great pub , pharmacy next Starbucks . staff wonderful . guy door help we get cab anytime need . love stay Empire . 's 7 dollar cab ride Broadway - ya can not beat ! back . 
 May 30 2009 	 great location not bring clothe ... nowhere put 	 although hotel highly rate praise give many New Yorker , can not help wonder ever spend night room crash much party one & quot ; fabulous & quot ; event . room maneuver around bed , DRESSER CLOSET ! ! ! ! hang couple item stock fridge safe long item . maybe check ask stay . .It unfortunate ... otherwise wonderful property .. 
 May 28 2009 	 try hip not quite make 	 location nice room ok , big problem hotel : lounge top floor attract crowd reflect well demographic hotel . walk lobby one night , girl help outside , completely drunk nearly pass , puke right outside front door . crowd go upstairs less desirable . bar first floor , quiet not even feel comfortable staying drink friend . seem like not quite act together yet . 
 may 28 2009 	 hotel mixed bag 	 spend two night Empire Hotel . Booked Travelocity price right . plus : proximity Central Park Lincoln Centernice linensdecor esthetically pleasinggood room snacksnice roof top gardencomfortable lounge areasminuse : leaky showertiny bathroomsmall roomnoisy air conditionerno alarm clock 
 May 17 2009 	 Noisy air conditioner 	 similar experience last reviewer . room ok , location great ( every location New York great ) . room clean toiletry nice . bother noise air - conditioner . kept go half night wake every time go . ' sleep completely stop work morning . 
 may 14 2009 	 's o.k 	 stay empire 4 night April w/ mother , ( well seasoned world traveler ) . get good rate 169.00 double Travelzoo w/ tax work 200 night . location excellent walk take subway everywhere . room small . bathroom small , figure shower fine . nowhere bathroom put personal item , curl iron , toothpaste etc .. except top toilet tank narrow shelf . see advertise turn service free newspaper . ask several time turn get 3rd time , newspaper ask desk , unlike place deliver door pile paper front desk . rooftop bar ok , expensive . go one night nearly empty next night line lobby . know special bar . would nice little fridge room instead expensive mini bar . little coffee w/ room would even nice , instead supply little tray convenience item table . mother get kick item , everything candy bar self pleasur item . would rather like coffee offer instead , dress every morning go Starbucks . stay several hotel comparable price Empire offer least coffee microwave . think need help , often wait front desk . housecleaner would forget thing , like leave towel . even though take half full bottle wine sit table . doormen friendly . concierge arrange shuttle pick airport around $ 50.00 two we , toll include . room 5th floor noisy . would stay rate . would never pay . 
 May 9 2009 	 great location not make terrible staff 	 recently NY long weekend , though apprehensive stay Empire Hotel review see , decide book several friend live area . see review , pretty much true . location great , easy access midtown via Columbus Circle park . however , give price room service hotel , certainly well hotel area Empire Hotel . upon check 4 pm , tell room ready yet , despite check - in time . tell long would take , receptionist say idea , come back hour . even apology rough estimate . go come back 6 pm , still room not ready . ask explanation none . thing get even bad ask speak manager . receptionist go back office speak manager , could hear manager respond & quot ; problem , tell ' m & quot ; . kind hotel ! tell receptionist hear , pretend idea talk . finally 20 minute later give room , 3rd floor face Broadway . other mention , AC / heating unit not function properly , feel like 90 degree room . could not really open window noise street construction go . despite bed quite comfortable , barely able get sleep noise heat . bathroom another mistake . small one person go time , shower water get place . would think would fix . 2nd night decide check rooftop bar . serve separate elevator lobby . go line outside maybe 10 - 15 people . however , take good 25 minute finally let . get surprised see maybe 20 people bar . make we wait downstairs time place empty ? drink outrageously price , waitress really pushy come order drink . check hotel Sunday . call bellhop service , never show . try charge we bunch drink minibar never take . argue receptionist , finally agree take charge . would recommend hotel anyone . much well hotel city , especially price . 
 May 4 2009 	 love Hotel Empire definitely stay ! 	 book hotel Perfect Escapes offer guarantee room upgrade . get fantastic deal queen express room upgrade standard queen . usually stay much large hotel instead small , boutique hotel idea expect end love hotel definitely stay . one block away Central Park directly across street Lincoln Center . fantastic location ! subway station 3 block south 3 block north . be close park , close midtown , close upper west side , 's quieter spot not mob crowd every time step door . starbuck step away another one block south . 24 hour Duane Reade right next Starbucks , Deli / bodega block , lot fruit cart vendor around . several restuarant immediate area moderately expensive many chain store , hop subway one stop 72nd broadway cheap eat & quot ; neighborhood & quot ; feel . the lobby hipster / cool vibe tourist type stay . doorman great front desk staff overly friendly extremely helpful efficient . offer print boarding pass end need use business center access email $ 3 . hold bag checkin checkout problem . rooftop lounge open public apparently hot spot line stretch around block saturday night , be access elevator use guestsroom disruptive . room near elevator usually mean hear night worried noise never hear anything nice , quiet stay . bathroom pedestal sink shower half door floor could get little wet not bad thought might . bathtub . vent fan bathroom would liked cut humidity , although also not turn much problem . ac unit not upgrade rest hotel stay comfortable temperature high ever get truly cold , prefer night , would like since record high 92 April . never hot though . bed nice pillow top sheet , find odd slightly discomforting since never use comforter hotel bed . white duvet spotless though must replace cover clean one guest . use sleep thick pillow top bed bed hotel pretty hard great night sleep . room spotless toiletry towel nice . fully stock minbar lot extra purchase incredibly expensive , expect . room small , also expect . plenty big two people can not imagine small & quot ; queen express & quot ; room would like glad upgrade big room . small closet place large suitcase , desk , 2 nightstand , 3 lamp alarm clock ipod dock . big flat screen tv . upon return one night power room expect bathroom light take maybe 2 minute repairman fix ( blow fuse circuit ) problem . & quot ; interior courtyard room & quot ; look upon much courtyard patch grass construction , across side hotel ( be shape like v ) . pool not open may spa wide array treatment use . do mention fantastic location ? truly can not beat . ' ve stay downtown never think would like stay midtown come back hotel next trip . nice away hustle bustle true midtown able action 2 min walk . park one block away great , 's great area park too . I incredibly impress Hotel Empire encourage give shot . recommend hotel everyone know interested visit New York . 
 Apr 27 2009 	 wonderful hotel ! 	 stay Empire fabulous . staff could nice , room comfortable . great linen , quiet room , excellent bath product wonderful rain shower . love location ... couple block Central Park , right across street Lincoln Center . Starbucks Duane Reade pharmacy right next door , lot awesome restaurant close . rooftop bar lovely ... 9pm hotel guest , get extremely crowded . would definitely return hotel . like Soho Grande Upper West Side ! 
 Apr 24 2009 	 Fun Great Boutique Hotel 	 stay hotel open year ago back 4 time . nicely price boutique hotel nice bar scene great rooftop / pool bar . room nicely appoint . standard room small , stay deluxe room bit big . nice location , across Lincoln Center . nice lobby bar , restaurant & quot ; Center Cut & quot ; open right stayed suppose good ' ve hear . locate across street # 1 subway . 
 Apr 23 2009 	 recommend 	 like hotel . small room smalle bathroom ever . terrible view build next door . real bad experience would recommend . terribly noisy busy nightclub line door . 
 Apr 23 2009 	 would not mind stay 	 stay Empire husband April 7th 15th ( yes , Easter ) . make reservation online get assign room 141 - size breadbasket , tiny window open something almost indescribable - claustrophobic inner yard could see pipe relate air conditioning stuff ! ! ! way going spend 8 night hole ! plus , book online , specify preferred room upper floor end give we one 1st floor ... immediately go back front desk let nice woman know shock extremely understanding - upgrade 30 dollar / day , assign room 10th floor , overlook Broadway : ) apart , interact staff check go smoothly - wake morning 15th ( last day ) , informative invoice slide door review , nice . one bellman take luggage give room noon hour later go back retrieve bag . one let we know get airport normal taxi meter run ( pay around 80 dollar get Newark Liberty Empire ) could use one hotel car flat fee 75 dollar - toll tip include . choose take one suv , get airport , driver say charge 85 dollar include toll . argue tell flat fee agree 75 dollar take people hotel . say charge least 80 dollar let go - nice goodbye Hotel Empire , biggie either . 
 Apr 22 2009 	 great stay ! 	 book corner suite website promotional rate ( stay suite one night get second night free ! ) . room nice clean . exactly picture website . room descent size not know standard size one . con shower not curtain water get . overall great experience , worth money would definitely stay . 
 Apr 16 2009 	 right location small bathroom 	 hotel locate right across street Lincoln Center ! offer quiet room one view . pick view watch traffic Lincoln Center 6th floor king size bed room . room decent size desk , chair , additional chair bed . bed comfortable duvet . bathroom , show innovation , size one Amtrak . sink tiny , shower showerhead ceiling wand - explanation operate . little room move around . there trendy roof top bar bar first floor well . check bill departure . charge two purchase mini - bar not . clerk mention simply matter trust - would away mini - bar . not think appropriate say we . 
 Apr 12 2009 	 Clean Boutique well place ....... 	 first trip New York , wife 's 30th birthday . fantastic flight Delta , great $ 45 cab trip hotel . we welcome smart , well dress doorman , would anything help . foyer , bar , entrance beautiful . lift v.funky . got room , big ' ve stay lovely bed , big LCD tv wall , nice shower / toilet great smell shower gel . room temperature quite warm , like like , not AC time . location second none . 2 minute walk Columbus Circle MTA , even Central Park . wife love walk town , usually go Central Park , walk 5th Avenue . hotel great site see / shop MTA station pretty much access anywhere Manhattan . the restaurant around hotel great . pj Clarkes brilliant , Rosa Mexicana . Guacamole make fresh front something try ! ! ! ! ! big city hotel , mini bar price expensive 24hr mini - market type shop round corner , purchase type drinl fraction price , plus also local Starbucks ! 
 Apr 11 2009 	 stay away ! 	 normally stay Le Parker Meridien decide try something different . mistake ! read warn loud construction noise Empire , request quiet room . room put directly woman 's bathroom rooftop bar . two night hear loud clear ( feel headboard shake ) time someone close bathroom stall door bar close 2:00 a.m. day could hear construction noise street sleep day night . addition , air conditioning work despite two attempt maintenance man fix . second repairman say unit old not work well . ask move tell room available . could go read review will see bathroom also problem . hotel charge way much basic problem fix . two sleepless night , check move another hotel . avoid hastle hotel move mid - trip stay somewhere else first place . will Le Parker Meridien . 
 Apr 8 2009 	 not waste time . 	 need hotel near meeting place next morning , like slightly offbeat hotel , think Empire would good choice . & quot ; Trendy & quot ; nice way say & quot ; mostly inadequate . & quot ; semi - goth decor , light bad squint even see elevator button . not mind small room , one put 205 sf , exactly . unless stand tiny bathroom , place go foot bed bed . glass room , think purpose , & quot ; bar & quot ; three bottle wine sale even much bottle water . time get breakfast buffet parch . completely skip restaurant dinner . lastly beware business traveler . & quot ; business center & quot ; consist two computer terminal two printer / copier tiny closet . literally . location great want near Colmubus Circle , otherwise want trendy hotel Manhattan go tribeca one half dozen place downtown . Empire come short . 
 Apr 6 2009 	 Hotel joke . 	 book website queen room $ 229 . price fine website last year never make mention square foot . promise refurbish linen closet . walked pass door 3 time never see . picture normal hotel hallway door either side sudden 's little mini alcove . room entrance . turn sideways get door ( promise ' m fat ) . could ' ve sit bed wash hand bathroom time . crawl bed get closet . wife laugh hard saw room almost worth enjoyment . walk upstairs pool roof elegantly advertise . know what s come - it size plastic pool toy r Us . roof bar terrible crowd . luckily time return hotel sleep . except story get tell friend joke hotel really be not funny . hundred well place stay NYC , include sleep park bench . take advice , seek accommodation elsewhere . 
 Mar 31 2009 	 Fab re - furb - surface ! trendy noisy . 	 hotel wonderful location accept many New York hotel noisy . 's junction Broadway 8th room outside , expect traffic noise . room inside , expect generator , air - con noise . ' ve . , many NY hotel , room small - internal one dark hot . re - furb amazing - 's trendy , wonderful lobby great joined -together look ; bed comfortable bathroom posh minute . actual detail somewhat lack - none sink ( 3 room use ) drain 2 splash place tap ; 's rain shower , get work ... air con old incredibly noisy - without internal room bake hot even March . spend much re - furbing hotel must , would dealt fabric building improve air - con double glazing , make real destination hotel ... fill like , good they . desk staff fine ; bar uber - expensive cool ; free wi - fi big bonus . want look feel , go hotel ; want really good night sleep , go somewhere else . 
 Mar 26 2009 	 Fantastic Location 	 location simply perfect ; front Lincoln centre , step away Columbus circle , Central Park , Broadway , 2 underground station 5th Avenue . we book family room four people save money say , accord ny standard , room spacious ; luxury bath bedclothe occitane bath product ! ! breakfast bit expensive , may find starbuck around corner . 
