warning 	 reception staff polite , demoralised constant barrage unhappy customer complaint demand money back . the dining room seem know training , like start morning chaos . the location good local bus route underground , quite square . the reception area clean need date , however reception area confront heavily stain carpet poorly maintain state hotel . the room date poor state , broken furniture , door lock break well number thing , linen clean however general state room can not say feel home comfortable room . the bad dangerous fault opening draw bed dangle draw live electric , uninsulated real threat life . Cant say ever complain anything really ruin break stay , cheap hotel strike owner hotel take guest ride continue time get away , clearly do not care . they staff hotel people probably never day training obviously do not care either , think that s probably feel sorry ! ! ! ! 
 wait basil faulty appear 	 read review think can not bad ? stay hotel slate . boy wrong . book weekend away friend see show , book 3 double room , check , go room find twin room , go back recieption ask double , long time come back say hotel fully book could not move room ( manager speak finish 2.pm ) , hey let spoil weekend . back room go.then list started.musty smelly room towel , one room , open bed side cabinet live electrical wire tape together , breakfast joke dirty table ask waitress 4 time clear away dirty plate , even one else , full english breakfast six we order time come 1 time , wait 40 min last breakfast appear.when get egg bacon stone cold , knife fork , join que receiption complain.i ' ve stay much well hostel around world place.deffo stay here.had room 219 , 205 & amp ; 124.have take picture live wire forward H.S.E 
 Jul 26 2008 	 bad Value Hotel 	 avoid hotel cost . stay hotel back - packer 7 * world , bad value hotel ever stay . dirty , stuffy room poorly design shower would not drain properly . noisy despite relatively quiet area . breakfast virtually non - existent . would recommend back - packer place - less half price quality . guest make similar comment . place get 3 * , even London * rating system seem pretty random , will never know . 
 Jul 16 2008 	 Cheap Hotel Cheap Service 	 spend last three day group 50 - odd school student staff . hotel overall treat we quite badly , however quite lucky get nice triple single bed room third floor , however member party complain give horrific camp - bed bunk bed . first night water go 11 pm + tv reception incredibly poor . call & quot ; continental breakfast , & quot ; supposedly include consist burger bap selection jam drink , honest could get well breakfast McDonalds . one hotel 's advantage 's close proximity tube station shop . stairwell steep lift slow small . basement maze , could easily confuse anyone . hotel nice surrounding , first impression reception great , however corridor room dire need refurbishment . bathroom basic , strange layout , example toilet roll holder opposite end room toilet . shower dangerous slippery , leave shower . room seem claustraphobic , light one end room . also , window difficult open , two large , bulky iron radiator sharp corner , friend manage hit leg opening window leave cut bruise . could especially dangerous small childern . small warning sign , however difficult read ankle height . , hotel worthy three star status numerous three star hotel much well location , facility service ( especially breakfast ! ) experience poor would definitely return , glad endure terrible ordeal 2 night . 
 Jun 30 2008 	 Nope . 	 great . location good ( short walk Kensington Palace ) price nice , get stick basement room ... nice . feel like old workroom convert hotel room . right next building 's pipe ( hear every flush ) , crack tile , leaky faucet , stain coverlet . know , know , get pay , STILL . perhaps room upstairs nicer ; review seem indicate . staff friendly . not spend much time anyway ; slept bathe . 
 Jun 11 2008 	 recommend 	 good location close lively Queensway . big tripple room although book double room . also stay 1996 hotel refurbish since elevator . clean room . nonchalant staff reception . breakfast ok great . 
 Jun 4 2008 	 great hotel ! 	 stay parent , young sister young brother hotel night . problem face stay room book sister double bed slim . also one big blanket could problem 're use . exception service great economically cheap alternative . close great restaurant beautiful building . though hotel restaurant 's food not good quite alternative recommend hotel want pleasant stay London without hotel bill cost earth ! 
 May 31 2008 	 would stay 	 front desk staff polite & amp ; helpful , area hotel need alot help , especially housekeeping . 8 nightsthat , sheet never change , fact bed barely make . shower terrible dangerous , nothing keep slip tub ( slippery ) . hotel noisy guest slam door & amp ; talk hallway night long . 
 Apr 11 2008 	 would stay 	 regret stay hotel . stay hostel previously much well . room tiny , door would open fully . anyone clausterphobic stay here - they would go insane . room size tuna , private room hostel big ( washroom ) . breakfest awful , bread , juice , tea coffee . would stay . 
 Apr 6 2008 	 Nice Hotel Nice Area Nice Price 	 stay 1 night share triple room . first impression good . hotel quite grand look nice area close shop , restaurant & amp ; Hyde Park / Kensington Gdns . find lobby keep high rated hotel . its quite big hotel lot european visitor stayingcar parking 4 hrs max allow , although lot space outside hotel resident . car park nearby Queensway , 5 min walk expensive £ 22 24 hr . the room pretty standard . 3 bed quite slim comfortable . view room basement . picture small tv bit dodgy watch tv . also Kettle & amp ; Tea / Coffee quite handy . bathroom neatest functional . I use hotel bar price seem reasonable location £ 2.80 per pint . the complimentary breakfast consist 3 different type roll , butter & amp ; various jam Tea / Coffee bit basic expect price . surprising get anything cheap . cook breakfast available £ 7 use this . the breakfast room nicely decorate original artwork wall . I find staff reception smart helpful . overall excellent stay would hesitate recommend other 
 Apr 4 2008 	 cold run skimpy breakfast 	 granddaughter stay Bayswater Inn March 2008 . location great , hotel miserable experience . bed old lumpy . extra towel , washcloth blanket . window room close way , extremely cold . breakfast consist large dinner - type roll jam . ask hotel staff arrange taxi us day depature ( say ) taxi never show . nearly miss connection next destination . would not stay . 
 Apr 3 2008 	 small room 	 find room small view . book last October expect well room . breakfast charge £ 9.00 per person actually £ 7.00 per person menu . bar good shut Wednesday night . television reception rubbish . I write hotel twice since last Saturday , yet , reply . 
 Mar 18 2008 	 Central London 33 Quid Night 2 People Breakfast - Great value 	 right people time get real . hotel be not Ritz ai not Pitz either . unbelievably cheap 33 quid Venere 3 pound cheap Expedia - 2 people night breakfast Central London ? come .. London 3rd expensive city world hotels - place bargain . could live 105 pound week / share breaky throw heating / water / cable tv bill . please get life ! average cost rent poky box room house area 500 quid month that s lucky ! get perfectly clean , tidy comfortable double room ensuite bathroom . reasonably furnish , bit outdate maybe great night sleep breakfast bonus - world well bad either . eatable filling .hotel great location , near shop , bar important public transport . would definatly stay .If want luxury pay luxury price . bed breakfast uk near good hotel charge double price night room .honestly think bargain paid - telly work ! ! ! 
 Mar 6 2008 		 first arrive early check time ( 10am ) bad : Front Desk Old lady trying check we RUDE OMG even front desk ? ? ? ? ? ? ? kindly ask many star hotel say 4 star ! ! ! slightly loud tone voice .... like ok fine win check we ya ? come Ops support coz nice lady could not see reservation apparently ... anyways tell we room be not ready store luggage Luggage room . ok 4 star Heck concierge ? ? ? ? give we room BAsement . trust be not good experience . do not manage complain busy time ..... continental Breakfast ? mean hot food right ? well cold Bread roll cold coffee warm Orange juice = ) good 1 * hostel.i do not even remember check honest . -5 10 term rating . 
 Feb 2 2008 	 reasonable 	 look tripadvisor prior book little concerned negative review . agree hotel " Ritz " £ 35 night pay represent good value . room clean reasonable size . £ 35 even include basic breakfast . I would recommend hotel look somewhere inexpensive spend night . situate well central London transport link / attraction . 
 Jan 28 2008 	 basic bearable 	 expect bad reading write up hotel guess prepared & amp ; make stay quite pleasant . hotel basic & amp ; rather shabby room clean & amp ; hotel 's near tube station ( 5 min walk bayswater tube circle line & amp ; 10 min paddington ) reasonable price . staff helpful & amp ; breakfast lame , bed be not comfy expect one cheap price hotel ? 's comfort & amp ; style want book elsewhere . be look reasonable price stay base see london certainly consider hotel 
 Jan 18 2008 	 well expect 	 review promise find hotel adequate need . direction get fact close bayswater tube station . triple room ( two us ) large balcony overlooking park , although access deny . road quiet London although 8 am traffic beinning build . the room basic clean kettle hairdrier . bathroom , soap clean towel provoide tap stiff make shower dificult use . foodie , not stay . breakfast breadroll butter preserve . limte also fresh much want . hot drink fruit juice . , price pay think bag real bargain ! 
 Jan 16 2008 	 introduction London 	 Bayswater Inn Princes Square , London . this hotel disappointment start finish . our travel agent assure we would ideal place stay even though make clear money issue . on arrival bayswater confront sour faced receptiomist look like would take head ask assisstance . give wrong kind room could not swap , even though request room book well advance . room receive dingy small . wre stains carpet bed linen . plumb toilet rough sealing job do around floor fixture . toilet seat poorly fit hand basin sit straight wall . the floor mat small sheet paper . poor drainage leave floor saturate several hour whie drain tiny hole wall . the bath towel change fourth day . floor main room fall 10 cm mean lie level support pillow . spare pillow supply . tv reception poor display channel . the alarm clock bed light work Foam cup couple wooden stirrer issue make tea coffee . Breakfast consist dry bread roll cup coffee juice . People require extra food greet rude , unhelpful waitress chef lose temper refuse cook people order food 9:30 , even though finish time 10:00.there enough table chair eat area many we wait long time .such disappointing introduction great city . 
 Jan 16 2008 	 bit like Faulty tower 	 book via lastminute.com , literally last minute ( 3 hour stay ) look ok outside entirely different inside . lobby quite pleasant , receptionist . suppose double room end triple 3 single bed .... hardly suitable couple ! not moan hear turn customer phone fully book , know would get change room . entire hotel need refurb , date . room service , fetch ( broken ) iron , leak water everywhere somewhat dangerous ! breakfast joke . Bread , water , OJ coffee . absolutely disgusting ! prison fare would well ! £ 31 night per room . get pay . clearly be not lot ! 
 Jan 6 2008 	 absolutely awful ! 	 unfortunate experience stay tip place begin December . bed simply uncomfortable ever stay . & quot ; continental breakfast & quot ; bread roll , coffee & amp ; vile orange juice . complain mattress several occasion nothing change last night mattress turned & amp ; piece wood stick one leg mattress not appear slope heavily . make complaint travel book company inform report complaint make . strongly advise everyone never stay hotel truly bad ever stay ! 
 Jan 3 2008 	 please 	 husband return trip London New Year 's holiday . stay bayswater truly afraid would find got read many negative review . find nice hotel , 's Ritz Carlton , price adequate . room clean , comfortable , mold bathroom everyone staff deal extremely friendly helpful . even roll jelly breakfast good . menu available want cooked breakfast . location great ! not afraid stay . 
 Dec 29 2007 	 Budget hotel luxurie close tube station ! 	 stay bayswater Inn Hotel Christmas 2007.we arrive 4 a.m. ( 6 a.m. time ! ) sure room bed large flat surface sleep would look lovely . however , genuinely please twin room - opinion , twin room LARGE ! also pleasant window face little garden Princes Square could hear bird singe night . there central heating work , , except turn whole time keep window two open , use colder climate . the shower bite tricky first get work . ( turn tap thing , change water pressure temperature time , colder water = less water pressure , hot water = high water pressure ! ) ! learn turn shower behind shower curtain fix temperature , step ! must say , water pressure well i´ve ever experience Great Britain ! also brist hot water ! ok one towel , leave floor , change . yes paper & quot ; bath mat & quot ; kind funny absorb water - know , spill shower ! would prefer pump bottle soap small bar soap . yes , 2 unpacked small bar soap , change whole time . oh notice really small insect bathroom . small thin , reddish think . like miniature , thin ant . , ot bother we bother . , tell truth , think complain fron desk would help . couple think , like infest . the cleaner come 1 p.m. every day , nice come back make - up room . the linen change arrival , stay 5 night . usually stay hotel week , change middle stay once . the bed large weird - sleep bed spring ! country , bed consist 2 3 mattress , top one ( ) purpose insulate spring . one thing like floor wall carpeting , find unhygienic hide anything , certainly wash often floor material ( hopefully ) would be . also , usual problem staff breakfast room speak bad English do . btw look & quot ; deal & quot ; good permanent one 4 night incl . english Breakfast visit London Eye Madam tussaud´s . use one , want ticket . time make reservation , make financial sense = save money take deal one extra night . a couple day go , notice GREAT deal , 39 £ per night double twin room ! incredible ! pay 76.5 £ per night per room , incl . english breakfast . the staff seem tired / fed - up / depress / know . attitude seem & quot ; won´t see anyway care ? & quot ; . know , sigh face etc , make we feel bother want key etc . one outright RUDE Christmas day , complain , 1 ) big wussy 2 ) doubt would helped . the important thing us closeness tube station . ( hubby walk long , sadly . ) also Queensway lot store Whiteley´s shopping centre nearby buy grocery snack room . also wonderful Nandos restaurant close ! Queensway lively feel safe , bustling tourist . btw stay hotel back 90´s boy great . quite sure still deserve 3 star , 2 + 3- maybe ? think get pay . still , next time think i´ll also ask couple recommendation helpful forum make decision . 
 Dec 17 2007 	 Dire experience 	 Booked hotel Late Rooms . select hotel reasonable price location , within 10 minute walk ridiculously expensive hotel attend industry dinner . on arrival , claim computer problem room I . consequently , shunt Earls Court hotel nearly £ 20 cheap ended taxi ride ( hotel pay ) . wiat 40 minute taxi back dinner . absolute mess evening . I make formal compliant , response 10 day . 
 Nov 28 2007 	 ok will not go back ! 	 book Bayswater Inn without look exact location - mad know description & quot ; ideal location Oxford Street & quot ; sell main purpose trip go Christmas shopping . take good hour Oxford Street ' m snail ! read review night come London pretty nervous would find apart location central would like breakfast exceptionally poor complaint . staff friendly helpful ask direction room clean . hotel stay want treat royalty ok 3 star hotel . will not go back purely location although must add breakfast really let like decent breakfast set day extremely disappointed ! think bread roll jam ..... may get slice toast be lucky ! ! 
 Nov 24 2007 	 never ! 	 oh dear ! work hotel fully understand get pay hotel say ' double bed continental breakfast ' that s expect ! problem start minute arrive , receptionist ( v nice girl ) check we , get room stank smoke - this suppose non smoking hotel ! ( people consideration ) , request move room , even think fully book allocate second room , great , thought find triple room request different room . duty manager ( v unhelpful , unfriendly woman ) tell we full would ' sort tomorrow ' . , I m bar , leave partner get we suitable room . eventually get room generally clean bed rather small ( think 3/4 bed ) , dust mirror frame , lampshade etc , great allergy . neither night manage 4 hour sleep ( total , continuous ) .The shower morning great saw size towel suppose dry ! ( hand towel spring mind - spare thought rugby player build south african boyfriend ) second morning venture breakfast , experience well £ 20 night , scummy hotel train station ! continental breakfast - look ! traditionally consist bread , pastry ( croissant danish ) coffee , milk juice . hard bread roll white toast ( choice ) not quite live . service also appalling - not one member staff smile say good morning , despite fact . SMILE cost nothing ! anyway , sum rant , hotel get complaint letter site book . not fool good location price - book Travel Lodge hostel - you definately well experience ! 
 Nov 18 2007 	 get pay 	 dark basement room , crunchy plastic matress , mold bathroom unwelcome staff . special request toilet paper complementary breakfast consist hamburger bun jelly . hotel certainly proof old adage & quot ; get pay & quot ; ! certainly must well way economize . consider stay strong reccomendation is- keep look ..... 
 Oct 8 2007 	 get pay 	 super nervous come site read bad review boyfriend book stay bayswater 4 day . expect bad . do not know fuss . room clean staff friendly . else people need ? like come london hang room . bed be not comfortable budget hotel great location ! can not believe many people simply love complain . get pay ! amazing trip simply come back hotel shower sleep . anyone look luxury price london really need wake call . be look small , quaint bed breakfast , place . cheap get job do . drank coffee eat toast morning merry way . make well great time . room complaint holiday . 
 Oct 5 2007 	 cheap cheerful 	 get transfer hotel orginal hotel change ownership . look review quite worried . though room clean comfortable location great ( 5mins tube ) . say though hotel staff little rude breakfast limit . one night stay fine go back London long break will stay somewhere else . 
 Sep 19 2007 	 great deal 	 girlfriend go London romantic getaway . book vacation trough travelagent website stay Bayswater Inn 5 day . book vacation come across site become nervous hotel deside give chance . pleasantly surprise standard room , staff overall experience . the room not big provide thing need great stay . room clean , fully functional quiet . the staff helpful way . help we store luggage upon arrivel room ready . help explain get b London ad on . overall hotel would not mind come back too . the location great ( central still quiet ) , price fair room adiquiet & amp ; clean . we recommend hotel except perhaps familie small child due fact entertainment facilitii kid . 
 Sep 17 2007 	 not ever stay .... 	 hotel absolutely disgusting . unfortunately , bad review correct advice anyone consider stay hotel : review true take seriously . see believe . first , whole hotel give feel uncleanliness filth . staff barely speak English one willing answer question , ask something would get look attitude needlessly occupy time . staff breakfast room especially rude . clean lady walked room without knock first still change / shower / get ready , one day still asleep wake find stranger ROOM . happen 2 3 day , also happen friend stay . furniture badly outdate , horrid condition ( especially mattress ) , feel sterilize hand every time touch something . awaken 3 a.m. one day reception want know bathroom flood ! ask extra towel , get , yet next day remove promptly clean staff . experience hotel horrible , strongly advise anyone stay . positive hotel location , ton nice , clean hotel less price area . 
 Sep 7 2007 	 Disgusting place 	 nevermind disgusting facility , staff rude charge expected pay , refuse refund . ever stay . 
 Sep 4 2007 	 room Inn 	 stay two night bayswater Inn last week , book small agent find London website . the hotel lot promise , room pokey double ( well , single and - a - bit ) bed wall , one us crawl bed night get loo , avoid bang head wall - mount tv go . the room smell strongly smoke , loo close radiator bathroom sit sideways ( much info ' m sure ) , really thick prison - esque bar window . the continental breakfast consist three type bread roll , little portion jam , coffee make tooth squeek . ' m use type breakfast offer pastry , often meat cheese . leat 's Tesco Express opposite bayswater tube station . on plus side , drink bar quite reasonably price . we book tight budge due impending parenthood , would recommend spend little pick somewhere different possible , certainly not three star tell . 
 Aug 11 2007 	 not family 	 stay June 4 - 11 , 2007 . picture look great prove picture deceive . double room make Motel six look like Ritz - Carlton . bed look like use army surplus WWII . exception night clerk , David ( joy deal quite ebullient ) , staff rather unhelpful quite dour demeanor . & quot ; Amenities & quot ; joke . believe disposable paper bath mat ( good one shower , one stay will problem ) ? one towel , face cloth , washcloth , per person . Beds & quot ; make & quot ; sheet replace , sheet clearly large stain looked like dry , wash blood . , must stay would like point hotel heterosexual feel quite uncomfortable unwelcome . not . observation since , well hotel reasonable price area . area good one , close Bayswater Queensway tube major bus route Bayswater Road . 
 Jul 28 2007 	 WARNING : check next day . 	 husband take teenager London big vacation . bayswater hotel ( 3star ) list package via travel agent . read bad review book 2 room hope good . arrive , horrified see black mold shower , bed unevenly slope wall , mold linen ... odor sour mildew present room ... soap / shampoos bath mat make paper . carpet wall stain . would not let kid touch comforter floor barefoot . afternoon make call U.S. hunt well hotel via travel co not help we . expense , change hotel next morningI since breakfast include , drank coffee sour juice would not touch anything else . smile waitstaff . blame ? take photo make case travel co. memory London begin entire waste day search clean place stay . one positive . staff helpful , kind understand plight . 
 Jul 26 2007 	 Fine hotel 	 stay hotel June 2007 mother , sister , grandmother . disagree extremly negative review hotel . basically get pay . London , , one expensive city Earth . respect , hotel excellent deal . travel agent US , reasonable standard Luxury . know book hotel would not luxurious , not pay Luxury ! ! pay clean , comfortable , conviently locate , hotel thing . room small , be nearly room London . clean least . wardrobe room hang clothe stay day . bathroom large London standard , clean . the staff accomodate , grandmother diabetic medicine refridgerate , put medicine bar fridge every night , get every morning hardly incident . breakfast pretty minimal , roll , coffee , OJ . 's continential breakfast ! location excellent , 8 min . walk bayswater Kensington station . 10 minute walk Hyde Park . plenty restaurant / pub shop around . we hardly spend time hotel explore London , be perfectly fine place lie head night . 
 Jul 17 2007 	 good location good hotel ! 	 location hotel superb , soon arrive walk Notting Hill happen upon Portobello Market . room small thing ever . bed wall one small bag find difficult find place . bad thing bed comforter , cover hair . disgusting ! ! ! ! ! remove put closet . sheet pillow clean comforter . would stay would find hotel area . 
 Jul 9 2007 	 much well expect 	 perfect hotel stay want explore city day . be clean locate good neighbourhood . breakfast high continental standard , ok . arrive hotel , worry bad review read , hotel turn much well . great location several pub area , two great tube line Kensington Gardens reach 5 minute walk . want stay hotel day long , choose another hotel much expensive . want hang around beautiful city need place sleep rest foot , hotel great . 
 Jun 5 2007 	 previous reveiw justice 	 speak English commonly use phrase Hotel .The staff mostly european langauge real problem stay . read previous review hotel think would give go price location seem good , future take notice trip review , hotel live bad review . stay room 64 , mattress collapse , ventilation , constant smell mould , floor sink ( cause problem night ) bed poorly make food leave floor 4 day . public area old unclean public toilet . surprisingly bread roll , tea orange juice breakfast quite good location .Next time London stay sister hotel Faulty Towers . 
 may 15 2007 	 's fine 	 good , clean budget hotel - bed slightly hard pillow - bathroom adequate clean high class hotel stay . get pay good value money £ 49 double room laterooms.com . place crash party gig great . close tube station feel quite safe walk round area night . 
 May 15 2007 	 maybe room ground well .... 	 would not know . put cell basement . kid - room small police hold cell . take elevator , wander maze corridor room , insert key , ... walk straight nightstand . order pull suitcase room , need first open closet door directly opposite room door , step closet , open room door way grab suitcase wander . window lock appear broken , apparently not matter much , since grand view ... window well . bathroom , nifty heated towel rack , tad narrow someone large house cat . ' m quite small , yet even discover one morning possible simultaneously burn back towel rack bash forehead faux marble ledge sink lean wash face . wall appear make rice paper , could hear every single movement every room basement . judge number family hear , mildly reassured not put solo traveller dungeon . ' m low - maintenance traveller . deal anything , long ' m room rat roach . time think seriously ask another room . since room actually quite clean , short time , decide suck deal . be definitely hotel budget traveller . 
 Mar 31 2007 	 thing know 	 nice clear hotel . descride well enough . expensive tho center city . 5 min walk nearest subway station . it be situate quiet neighboorhood everything close . pharmacy Burger King ( fast cheap food ) .if option , choose breakfast include fee . 's nothing special . waste money . bread , butter , jam . get sadwich croissant great price near . carry shampoo shower gel . hotel not provide . get small towel cause provide body towel . if come 220 ( voltage ) country get adapter charge 3 pound each . have fun see many thing London ! not forget take relax walk Hyde Park 15 min walk hotel ! 
 Mar 19 2007 	 Great Budget Shoppers 	 review see rate hotel rather poorly think great place .. money . young lady front desk , Pole Russian , speak English , helpful good fend unhappy customer think make reservation three star hotel . would say rate right Motel 6 . check week ago today . 
 Feb 20 2007 	 catch surprise 	 hotel bad thought going be . after read many review favor bayswater , find nothing wrong . possibly low expectation . ( americans tend picky ) location bayswater excellent ! pub around , far notte hill market , shop , close tube walk hyde park . clean , good size , slip shower , good . service complient helpful . breakfast decent , roll morning , long coffee , good . complaint , thing plan stay , idea would , bed litle springy , day site see whatever , tired enough sleep . week , find pleasent . 
 Feb 13 2007 	 rude receptionist 	 take 18 student ( age 18 20 ) hotel February . stay area - though hotel - recommend ( area ) . pub , restaurant , supermarket , shopping centre , cinemas , park two underground station within walking distance . also stroll park museum ( Victoria & amp ; Albert , Science etc . ) end within walk distance Harrods . if walk could even walk park Oxford Street . the bayswater inn third choice , hotel stay renovate , another ` take group . read rewievs bit apprehensive really negative experience front desk . woman call supervisor extremely rude unhelpful two student ask change room able sleep night group spanish teenager party next door . member staff friendly seem disorganised , e. g. ` find reservation even though already fill form morning . as reviewer point leave luggage luggage room access anyone . arrival & quot ; friendly supervisor & quot ; even suggest leave hotel lobby ! room single first floor size shoe box face brick wall . even though right next elevator quiet - bed nightmare though . go hotel would book twin price single . none we stay basement chance look one room underline previous reviewer say , like live hole . breakfast roll jam basically expect - London . least buffet style . stay London hotel get two piece toast it . if London , rule get much less pay . room tiny . talk value money ( London style ) would say hotel ok . sightseeing trip time spend hotel extremely limited . still would recommend hotel individual traveller . three international group stay . choir Norway , group spanish teenager we . surprisingly put floor student suppose also happen spanish group thus excessive noise night ( see ) .The hotel offer bar reasonably price , service good . in putshell , yes , would probably take group , , would never choose hotel private trip . 
 Feb 5 2007 	 get pay 	 £ 50 1 night can not really complain . room clean enough ( 4th floor ) although seem slant ! ! noisy night , due guest lack respect . bathroom small , amenity that s would expect . cover bed cigarette burn ! ! Breakfast consist bread roll , jam butter . Coffee Orange Juice . ask toast bring table quickly . full English available £ 7 ! ! ! one thing , arrive 2 pm tell could go room 3 pm ! ! ! lady reception suggest not leave luggage hotel , get impression bag steal plenty time information room , strongly advise leave valuable etc room . would stay one night location ok , 5 min Bayswater Tube . also price good 2 people stay London . 
 Feb 1 2007 	 not stay Bayswater Inn 	 Location hotel quite good , easy get central London however dodgy experience week stay . stay part group 16 us - even though tell staying room not keep record . one room break ( locked ) camera , ipod , cash steal - key left front desk . room smell cigarette smoke even though smoking mean ban inside . away trip bank report someone try access credit card account - place use hotel - order make local call hotel room ! beware ! ! not stay ! ! 
 Jan 22 2007 	 beware ! 	 hi everyone stay hotel part vacation package book Gate 1 Travel . 4 night & amp ; get back . type traveler problem stay 1 2 star hotel even hostel vacation Europe . need safe neighborhood , clean bed & amp ; ' m happy . hotel safe neighborhood offer plenty food choice & amp ; close public transportation . however negative hotel outweigh positive . initial response room & quot ; OK & quot ; upon close observation find multiple thing need repair cleaning . hotel could nice place stay owner put money update facility – decide ' cheap pack tourist every day since remodel update would cut profit . positive - reception staff pleasant deal . room basic necessary - heat , hot water shower , hair dryer , hot water maker soup & amp ; tea , & amp ; tv need item . offer free breakfast choice limit ( 3 type roll , butter & amp ; jam , coffee , tea , hot chocolate , & amp ; water orange juice / drink ) .negatives - establishment old & amp ; need basic TLC . definitely see well day - hall & amp ; room odor . bed extremely uncomfortable - could feel individual spring poke . bathroom small - ok would like toilet actually work . would not flush unless take top tank manually hold bulb flush . tell front desk never respond request fix . ( guess 's easy & amp ; cheap pretend repairman fix follow . ) shower stall small go turn around rinse back could not without bump on - off handle & amp ; turn water ( be large people either ) . mold shower stall . could not tell towel lay last day stain possibly dirty . need replace . soap leave use unwrapped & amp ; could not tell use - luckily bring use . shampoo available – luckily bring . bath mat piece paper . hand towel , one big bath towel adult room . natural light window look onto brick wall several foot away . luggage room like other site describe - locked room buzzer access - give appearance security without really secure - anyone could gain access simply press buzzer - not show anything prove guest hotel gain access . rating woud really fall 1 - 2 dot . terrible - ok . would stay – way - many negative ! 
 Jan 4 2007 	 bayswater Inn ruin trip London 	 sorry , review far complete . & quot ; hotel & quot ; simply worth review , severe warning . & quot ; extras would expect London 3 star standard hotel & quot ; ? room rat hole cellar , small prison cell , next noisy lift motor , almost natural light ; door , light shine though night ; stinky rotten . what shameless rip - off . 
 Nov 27 2006 	 never 	 arrive morning leave case luggage room , secure . entrance gain press buzzer - need show ticket press code . anybody could gain entrance walk suitcase . travel train use locker Paddington Station instead . there always long queue reception staff abrupt . book double room give twin room . staff sympathetic / helpful - tell would nothing . we extremely dismay size room - 2 foot space bed wall / wardrobe . wallpaper peel place , ceiling sag metal bar window . bed camp bed ; mattresse extremely uncomfortable - feel bruise break spring . tiny bathroom . bath mat piece paper . decorate blotchy green / white / brown tile . the wall thin - noise come straight corridor . every time someone open door think someone go walk room . lift slow make loud groan noise / shudder . 
 Nov 15 2006 	 Neutral Review 	 stay Bayswater Inn 2 night Nov. 06 . hotel book GATE1 Travel part London , Paris , Rome vacation plan C. use Trip Advisor many time past expect good , time get ready worst . stay Bayswater inn neutral average . positive negative . turn positive negative . main thing stress & quot ; get pay for . & quot ; establishment , like many area type business structure maybe apartment turn hotel . not appear bayswater build hotel . positive stay weigh negative far . bayswater Inn room simple . bed / bed , tv , clock , private bath / shower , desk chair . nothing extravagant . like use hotel sleep shower , perfect . get early morning usually make back room late night . arrive airport ( least 15min drive ) check - in allow we store luggage free . Personnel friendly attempt assist we much possible . two lift ( elevator ) , two sit area restaurant . location perfect ! hotel 2blocks subway , many fast food place like KFC , Pizza Hut , also plenty ethnic eatery , pub around . laundry mat one block away bus stop close . walk distance Marble Arch would like ( maybe 25mins leisure pace 3 - 5 minute bus . ) several money exchange service couple store ; however not go . breakfast ( # 1 negative ) consist 3 different type bread . roll poppy seed , roll without poppy seed another type bread . 2 3 different type jam choose butter bread . beverage choice orange drink ( juice ) water coffee . . see offer order restaurant menu , however also poor . participate breakfast anymore . vacation tend sway establishment good breakfast . even would consider continental breakfast . second negative , well really negative , unexpected , hotel , every hotel stay visit Europe , one give wash rag . get towel mild soap . bring rag ! ask would stay , answer would yes . overall enjoy stay . include picture room hotel . hope review help . 
 Nov 12 2006 	 Quality Services 	 hotel really provide quality service , matter staff , room restaurant . location also definitely advantage . heartfelt recommend anyone travel purpose . 
 Oct 26 2006 	 horrible Hotel 	 place terrible . the bed awful ( spring would dig wake night ) . staff unfriendly . handtowel bathmat piece paper . room dirty . breakfast much bad hostel stay half price . need say anymore ? price think terrible place stay ! 
 Sep 16 2006 	 vile 	 tiny room . mouldy bathroom . uncomfortable camp bed . smell terrible . basement room mean can not leave window open fresh air incase someone come . unfriendly staff . terrible breakfast -bread roll , cheap orange juice , mild excuse coffee . need say ? spend pound much well experience . well avoid . 
 Aug 14 2006 	 Hyed Park close . 	 Bayswater inn tourist class hotel get order since close Metro Hyde Park quite good . hotel clean , neat - nothing fancy ideal short stay London . issue breakfast basic busy see city do not matter . internet service notable overall fine . 
 Aug 13 2006 	 Moldy bathroom horrible staff 	 favor stay Bayswater Inn ! guest seven night Christmas 2005 . Moldy bathroom , staff unhelpful , heater break room , would fix cite & quot ; one around holidays & quot ; . catch bad cold due freezing room ..... would move another room . prize complaint , front desk staff mess reservation , enjoy London , go room pack everything , give room another person even though pay advance confirmation entire week ! apology , fight manager get refund . horrible , horrible , horrible hotel ! enjoy mold , broken heater people go stuff , place ! 
 Jul 4 2006 	 problem survive 	 bayswater inn good location pretty borough London , close two underground station Queensway , find need , boot pub . staff quite kind , problem . 's good comment . infact , aspect disappointing . first , arrive realize give we room basement . wet , dusty , dark . People street could see room . find also beatle bathroom lamp , fight life , die , horrible know host livinig we , think also companion likely hang ceiling gap . stay another week end bayswater , week later , trip southern England , ask room another floor . finally , staff give we ask . room well find dirty towel , dirty wrost thing could imagine . another default people underline : breakfast , poor , almost sad , humble bread disguse orange juice . coffee coloured water . I not know wether could find price well location London . 99 pound per night twin room en - suite bathroom , next time try find something well . 
